meaning,abbreviation
паскаль,Па
паскалей,Па
паскаля,Па
паскалю,Па
паскалем,Па
паскале,Па
паскалем,Па
паскале,Па
паскали,Па
паскалей,Па
паскалям,Па
паскалями,Па
паскалях,Па
герц,Гц
герца,Гц
герцу,Гц
герцем,Гц
герце,Гц
герцы,Гц
герцев,Гц
герцами,Гц
герцах,Гц
байт,Б
байта,Б
байту,Б
байтом,Б
байте,Б
байты,Б
байтов,Б
байтами,Б
байтах,Б
ватт,Вт
ватта,Вт
ватту,Вт
ваттом,Вт
ватте,Вт
ватты,Вт
ваттам,Вт
ваттами,Вт
ваттах,Вт
джоуль,Дж
джоулей,Дж
джоуля,Дж
джоулем,Дж
джоуле,Дж
джоули,Дж
джоулями,Дж
джоулях,Дж
кельвин,К
кельвина,К
кельвину,К
кельвином,К
кельвине,К
кельвины,К
кельвинов,К
кельвинами,К
кельвинами,К
кельвинах,К
кандел,кд
канделы,кд
канделе,кд
канделу,кд
канделой,кд
канделам,кд
канделами,кд
канделах,кд
радиан,рад
радиана,рад
радиану,рад
радианом,рад
радиане,рад
радианов,рад
радианам,рад
радианы,рад
радианами,рад
радианах,рад
люмен,лм
люмена,лм
люмену,лм
люменом,лм
люмене,лм
люмены,лм
люменов,лм
люменам,лм
люменами,лм
люменах,лм
вольт,В
вольта,В
вольту,В
вольтом,В
вольте,В
вольты,В
вольтам,В
вольтами,В
вольтах,В
вебер,Вб
вебера,Вб
веберу,Вб
вебером,Вб
вебере,Вб
веберы,Вб
веберов,Вб
веберам,Вб
веберами,Вб
веберах,Вб
беккерель,Бк
беккереля,Бк
беккерелю,Бк
беккерелем,Бк
беккереле,Бк
беккерели,Бк
беккерелей,Бк
беккерелям,Бк
беккерелями,Бк
беккерелях,Бк
