meaning,abbreviation
доктор архитектурных наук,дархн
доктор биологических наук,дбн
доктор ветеринарных наук,двн
доктор военных наук,двоенн
доктор географических наук,дгн
доктор геолого-минералогических наук,дгмн
доктор искусствоведения,диск
доктор исторических наук,дин
доктор медицинских наук,дмн
доктор педагогических наук,дпн
доктор политологических наук,дполн
доктор психологических наук,дпсхн
доктор сельскохозяйственных наук,дсхн
доктор социологических наук,дсоцн
доктор технических наук,дтн
доктор фармацевтических наук,дфармн
доктор физико-математических наук,дфмн
доктор филологических наук,дфилн
доктор философских наук,дфн
доктор химических наук,дхн
доктор экономических наук,дэн
доктор юридических наук,дюн
кандидат архитектурных наук,кархн
кандидат биологических наук,кбн
кандидат ветеринарных наук,квн
кандидат военных наук,квоенн
кандидат географических наук,кгн
кандидат геолого-минералогических наук,кгмн
кандидат искусствоведения,киск
кандидат исторических наук,кин
кандидат медицинских наук,кмн
кандидат педагогических наук,кпн
кандидат политологических наук,кполн
кандидат психологических наук,кпсхн
кандидат сельскохозяйственных наук,ксхн
кандидат социологических наук,ксоцн
кандидат технических наук,ктн
кандидат физико-математических наук,кфмн
кандидат фармацевтических наук,кфармн
кандидат филологических наук,кфилн
кандидат философских наук,кфн
кандидат химических наук,кхн
кандидат экономических наук,кэн
кандидат юридических наук,кюн
доктор архитектурных наук,д. арх. н.
доктор биологических наук,д. б. н.
доктор ветеринарных наук,д. в. н.
доктор военных наук,д. воен. н.
доктор географических наук,д. г. н.
доктор геолого-минералогических наук,д. гм. н.
доктор искусствоведения,д. иск.
доктор исторических наук,д. и. н.
доктор медицинских наук,д. м. н.
доктор педагогических наук,д. п. н.
доктор политологических наук,д. пол. н.
доктор психологических наук,д. псх. н.
доктор сельскохозяйственных наук,д. сх. н.
доктор социологических наук,д. соц. н.
доктор технических наук,д. т. н.
доктор фармацевтических наук,д. фарм. н.
доктор физико-математических наук,д. фм. н.
доктор филологических наук,д. фил. н.
доктор философских наук,д. ф. н.
доктор химических наук,д. х. н.
доктор экономических наук,д. э. н.
доктор юридических наук,д. ю. н.
кандидат архитектурных наук,к. арх. н.
кандидат биологических наук,к. б. н.
кандидат ветеринарных наук,к. в. н.
кандидат военных наук,к. воен. н.
кандидат географических наук,к. г. н.
кандидат геолого-минералогических наук,к. гм. н.
кандидат искусствоведения,к. иск.
кандидат исторических наук,к. и. н.
кандидат медицинских наук,к. м. н.
кандидат педагогических наук,к. п. н.
кандидат политологических наук,к. пол. н.
кандидат психологических наук,к. псх. н.
кандидат сельскохозяйственных наук,к. сх. н.
кандидат социологических наук,к. соц. н.
кандидат технических наук,к. т. н.
кандидат физико-математических наук,к. фм. н.
кандидат фармацевтических наук,к. фарм. н.
кандидат филологических наук,к. фил. н.
кандидат философских наук,к. ф. н.
кандидат химических наук,к. х. н.
кандидат экономических наук,к. э. н.
кандидат юридических наук,к. ю. н.
