meaning,abbreviation
метра,м
метров,м
метр,м
метры,м
метров,м
метру,м
метрам,м
метрами,м
метрах,м
метре,м
секунд,с
секунда,с
секунды,с
секунде,с
секунду,с
секундой,с
секундою,с
секундам,с
секундами,с
секундах,с
ампер,А
зивертов,Зв
зиверта,Зв
зиверт,Зв
зиверту,Зв
зивертом,Зв
зиверте,Зв
зиверты,Зв
зивертам,Зв
зивертами,Зв
зивертах,Зв
ньютон,Н
ньютонов,Н
ньютона,Н
ньютону,Н
ньютоном,Н
ньютоне,Н
ньютоны,Н
ньютонам,Н
ньютонами,Н
ньютонах,Н
фарад,Ф
фарада,Ф
фараду,Ф
фарадом,Ф
фараде,Ф
фарады,Ф
фарадов,Ф
фарадам,Ф
фарадами,Ф
фарадах,Ф
кулон,Кл
кулона,Кл
кулону,Кл
кулоном,Кл
кулоне,Кл
кулонов,Кл
кулонам,Кл
кулонами,Кл
кулонах,Кл
грамм,г
граммов,г
грамма,г
грамму,г
граммом,г
грамме,г
граммы,г
граммов,г
граммам,г
граммами,г
граммах,г
литров,л
литра,л
литр,л
литру,л
литром,л
литре,л
литры,л
литрам,л
литрами,л
литрах,л
паскаль,Па
паскалей,Па
паскаля,Па
паскалю,Па
паскалем,Па
паскале,Па
паскалем,Па
паскале,Па
паскали,Па
паскалей,Па
паскалям,Па
паскалями,Па
паскалях,Па
герц,Гц
герца,Гц
герцу,Гц
герцем,Гц
герце,Гц
герцы,Гц
герцев,Гц
герцами,Гц
герцах,Гц
байт,Б
байта,Б
байту,Б
байтом,Б
байте,Б
байты,Б
байтов,Б
байтами,Б
байтах,Б
ватт,Вт
ватта,Вт
ватту,Вт
ваттом,Вт
ватте,Вт
ватты,Вт
ваттам,Вт
ваттами,Вт
ваттах,Вт
джоуль,Дж
джоулей,Дж
джоуля,Дж
джоулем,Дж
джоуле,Дж
джоули,Дж
джоулями,Дж
джоулях,Дж
кельвин,К
кельвина,К
кельвину,К
кельвином,К
кельвине,К
кельвины,К
кельвинов,К
кельвинами,К
кельвинами,К
кельвинах,К
кандел,кд
канделы,кд
канделе,кд
канделу,кд
канделой,кд
канделам,кд
канделами,кд
канделах,кд
радиан,рад
радиана,рад
радиану,рад
радианом,рад
радиане,рад
радианов,рад
радианам,рад
радианы,рад
радианами,рад
радианах,рад
люмен,лм
люмена,лм
люмену,лм
люменом,лм
люмене,лм
люмены,лм
люменов,лм
люменам,лм
люменами,лм
люменах,лм
вольт,В
вольта,В
вольту,В
вольтом,В
вольте,В
вольты,В
вольтам,В
вольтами,В
вольтах,В
вебер,Вб
вебера,Вб
веберу,Вб
вебером,Вб
вебере,Вб
веберы,Вб
веберов,Вб
веберам,Вб
веберами,Вб
веберах,Вб
беккерель,Бк
беккереля,Бк
беккерелю,Бк
беккерелем,Бк
беккереле,Бк
беккерели,Бк
беккерелей,Бк
беккерелям,Бк
беккерелями,Бк
беккерелях,Бк
