meaning,abbreviation
метра,м
метров,м
метр,м
метры,м
метров,м
метру,м
метрам,м
метрами,м
метрах,м
метре,м
секунд,с
секунда,с
секунды,с
секунде,с
секунду,с
секундой,с
секундою,с
секундам,с
секундами,с
секундах,с
ампер,А
зивертов,Зв
зиверта,Зв
зиверт,Зв
зиверту,Зв
зивертом,Зв
зиверте,Зв
зиверты,Зв
зивертам,Зв
зивертами,Зв
зивертах,Зв
ньютон,Н
ньютонов,Н
ньютона,Н
ньютону,Н
ньютоном,Н
ньютоне,Н
ньютоны,Н
ньютонам,Н
ньютонами,Н
ньютонах,Н
фарад,Ф
фарада,Ф
фараду,Ф
фарадом,Ф
фараде,Ф
фарады,Ф
фарадов,Ф
фарадам,Ф
фарадами,Ф
фарадах,Ф
кулон,Кл
кулона,Кл
кулону,Кл
кулоном,Кл
кулоне,Кл
кулонов,Кл
кулонам,Кл
кулонами,Кл
кулонах,Кл
грамм,г
граммов,г
грамма,г
грамму,г
граммом,г
грамме,г
граммы,г
граммов,г
граммам,г
граммами,г
граммах,г
литров,л
литра,л
литр,л
литру,л
литром,л
литре,л
литры,л
литрам,л
литрами,л
литрах,л
