meaning,abbr
градусов цельсия,°C
градусе цельсия,°C
градусам цельсия,°C
градус цельсия,°C
градусами цельсия,°C
градусу цельсия,°C
градусом цельсия,°C
градусы цельсия,°C
градуса цельсия,°C
градусах цельсия,°C
денежные единицы,¤
денежными единицами,¤
денежных единицы,¤
денежным единицам,¤
денежной единице,¤
денежную единицу,¤
денежных единицах,¤
денежных единиц,¤
денежной единицей,¤
денежной единицы,¤
денежная единица,¤
фунтов стерлингов,£
фунты стерлингов,£
фунтами стерлингов,£
фунтах стерлингов,£
фунтам стерлингов,£
фунта стерлингов,£
фунт стерлингов,£
фунту стерлингов,£
