question,answer
"Сергей Леонидович Лагун (27 мая 1988, дер. Дерновичи, Верхнедвинский р-н, Витебская область — 22 апреля 2011, Новополоцк, Витебская область) — спортсмен-инструктор сборной команды Республики Беларусь по тяжёлой атлетике, чемпион мира и Европы среди юниоров, участник Олимпийских игр, серебр. и бронз. призёр чемпионатов мира.","Сергей Леонидович Лагун (27 мая 1988, дер. Дерновичи, Верхнедвинский район, Витебская область — 22 апреля 2011, Новополоцк, Витебская область) — спортсмен-инструктор сборной команды Республики Беларусь по тяжёлой атлетике, чемпион мира и Европы среди юниоров, участник Олимпийских игр, серебряный и бронзовый призёр чемпионатов мира."
"Погиб на 23-м г жизни 22 апреля 2011 года в автомобильной катастрофе, с ним находился тяжелоатлет Евгений Жерносек, к-рый выжил в ДТП.","Погиб на 23-м году жизни 22 апреля 2011 года в автомобильной катастрофе, с ним находился тяжелоатлет Евгений Жерносек, который выжил в ДТП."
"Профиль на sports-reference.com Архивная копия от 15 дек. 2012 на Wayback Machine","Профиль на sports-reference.com Архивная копия от 15 декабря 2012 на Wayback Machine"
"На Северных Марианских Островах конституцией утверждены три официальных языка — англ, чаморро и каролинский.","На Северных Марианских Островах конституцией утверждены три официальных языка — английский, чаморро и каролинский."
"Ввиду длительного контроля Марианских островов другими государствами, в т. числе Испанской и Германской империями, Японией и, наконец, США, коренное нас. подверглось ассимиляции, а местные языки оказались в уязвимом положении.","Ввиду длительного контроля Марианских островов другими государствами, в том числе Испанской и Германской империями, Японией и, наконец, США, коренное население подверглось ассимиляции, а местные языки оказались в уязвимом положении."
"После вступления в силу конституции гос-ва в 1978, их статус стал закреплен на законодательном уровне.","После вступления в силу конституции государства в 1978, их статус стал закреплен на законодательном уровне."
"С 1998 действует комис. по чаморро-каролинской языковой политике.","С 1998 действует Комиссия по чаморро-каролинской языковой политике."
"Чаморро является наиб. распространенным из коренных языков, имея 14,200 носителей на 2005 г по данным Отдела Статистики ООН, однако редко в качестве единственного языка (монолингвизм редок).","Чаморро является наиболее распространенным из коренных языков, имея 14,200 носителей на 2005 год по данным Отдела Статистики ООН, однако редко в качестве единственного языка (монолингвизм редок)."
"Местным правительством предпринимаются активные попытки улучшить положение коренных языков, и в 2020 г, учрежденном Годом коренных языков, впервые был отпразднован День чаморро-каролинского родного языка (англ. Chamorro-Carolinian Mother Language Day).","Местным правительством предпринимаются активные попытки улучшить положение коренных языков, и в 2020 году, учрежденном Годом коренных языков, впервые был отпразднован День чаморро-каролинского родного языка (англ. Chamorro-Carolinian Mother Language Day)."
"яз. танапаг находится под риском исчезновения, и на момент 2011 года находился в положении сдвига.","Язык танапаг находится под риском исчезновения, и на момент 2011 года находился в положении сдвига."
"англ является одним из основных языков общения и имеет статус государственного.","Английский является одним из основных языков общения и имеет статус государственного."
"На 2019, им владело ок. 58,300 жителей Северных Марианских островов.","На 2019, им владело около 58,300 жителей Северных Марианских островов."
"Так, помимо английского языка, на островах распространены тагальский, кит., япон. и корейский как языки иммигрантов и их потомков.","Так, помимо английского языка, на островах распространены тагальский, китайский, японский и корейский как языки иммигрантов и их потомков."
"В зависимости от наблюдаемого объекта и установленного объёма наблюдений, гидрологические посты имеют опред. тип и разряд:","В зависимости от наблюдаемого объекта и установленного объёма наблюдений, гидрологические посты имеют определённый тип и разряд:"
"Кроме того, ч. постов осуществляет так же и метеонаблюдения: температура воздуха, осадки, снегосъемка и пр.","Кроме того, часть постов осуществляет так же и метеонаблюдения: температура воздуха, осадки, снегосъемка и пр."
"напр., на Ниле до сих пор сохранились мн. ещё древнеегипетские ниломеры, которых было ок. 20.","Например, на Ниле до сих пор сохранились многие ещё древнеегипетские ниломеры, которых было около 20."
"В Средние вв. некоторые древние ниломеры были восстановлены, построены новые.","В Средние Века некоторые древние ниломеры были восстановлены, построены новые."
"Показатели уровня воды постоянно регистрировались, и, напр., по Родскому ниломеру сохранились данные наблюдений с 621 года нашей эры.","Показатели уровня воды постоянно регистрировались, и, например, по Родскому ниломеру сохранились данные наблюдений с 621 года нашей эры."
"Водомерный пост // Большая сов. энциклопедия : [в 30 т.] / гл. ред. А. М. Прохоров.","Водомерный пост // Большая советская энциклопедия : [в 30 т.] / гл. ред. А. М. Прохоров."
"— 3-е изд. — М. : сов. энциклопедия, 1969—1978.","— 3-е изд. — М. : Советская энциклопедия, 1969—1978."
"— М. : Большая рос. энциклопедия, 2007.","— М. : Большая российская энциклопедия, 2007."
"— (Большая рос. энциклопедия : [в 35 т.] / гл. ред. Ю. С. Осипов ; 2004—2017, т. 7).","— (Большая российская энциклопедия : [в 35 т.] / гл. ред. Ю. С. Осипов ; 2004—2017, т. 7)."
"Султан Баргаш ибн Саид приказал построить семимильную железную дорогу от своего дворца в Каменном городе до Чуквани в 1879 г.","Султан Баргаш ибн Саид приказал построить семимильную железную дорогу от своего дворца в Каменном городе до Чуквани в 1879 году."
"Первоначально два вагона Пульмана буксировали мулы, но в 1881 г султан заказал локомотив 0-4-2T у английского производителя локомотивов Bagnall.","Первоначально два вагона Пульмана буксировали мулы, но в 1881 году султан заказал локомотив 0-4-2T у английского производителя локомотивов Bagnall."
"жел. дорога эксплуатировалась до смерти султана в 1888 г, когда путь и локомотив были списаны.","Железная дорога эксплуатировалась до смерти султана в 1888 году, когда путь и локомотив были списаны."
"В 1905 г амер. компания «Арнольд Чейни» построила семимильную дорогу от города Занзибар до деревни Бубубу.","В 1905 году американская компания «Арнольд Чейни» построила семимильную дорогу от города Занзибар до деревни Бубубу."
