question,answer
"20 апреля 1928 года был освобождён, но лишён права проживания в Москве, Ленинграде и ряде других городов («- 6») с прикреплением к месту жительства.","20 апреля 1928 года был освобождён, но лишён права проживания в Москве, Ленинграде и ряде других городов («минус 6») с прикреплением к месту жительства."
"На строительстве 1-го и 2-го комплексов аммиака и карбамида в производственном объединении «Азот» норма выработки коллектива Владимира Фещенко достигала 180 %.","На строительстве 1-го и 2-го комплексов аммиака и карбамида в производственном объединении «Азот» норма выработки коллектива Владимира Фещенко достигала 180 процентов."
"Перед свадьбой Александры Жуковский продал Холх и передал ей на подарок одиннадцать тысяч ₽.","Перед свадьбой Александры Жуковский продал Холх и передал ей на подарок одиннадцать тысяч рублей."
"Я получала 18 $ в неделю, работая официанткой в ресторане.","Я получала 18 долларов в неделю, работая официанткой в ресторане."
"Майк сказал „Я найду тебе работу [штатной] контуровщицы, ты будешь получать 35 $ в неделю и внештатно работать на выходных.","Майк сказал „Я найду тебе работу [штатной] контуровщицы, ты будешь получать 35 долларов в неделю и внештатно работать на выходных."
"Майк заплатил за всё, и это стоило ему 350 $».","Майк заплатил за всё, и это стоило ему 350 долларов»."
"Кроме того, они подтвердили, что при инфицировании вирусом культуры клеток мозга происходит значительное увеличение уровня β-амилоида, из которого и формируются бляшки.","Кроме того, они подтвердили, что при инфицировании вирусом культуры клеток мозга происходит значительное увеличение уровня бета-амилоида, из которого и формируются бляшки."
"Аллокин-α по характеру фармакологического действия наиболее сходен с α-интерфероном.","Аллокин-альфа по характеру фармакологического действия наиболее сходен с α-интерфероном."
"Механизм действия препарата не изучен, за пределами РФ Аллокин-α неизвестен, клинических испытаний, подтверждающих эффективность препарата, не проводилось.","Механизм действия препарата не изучен, за пределами РФ Аллокин-альфа неизвестен, клинических испытаний, подтверждающих эффективность препарата, не проводилось."
"В 1865—1870 годах выгода от впускания свиней в лес для прокорма, сравнительно с хлевным содержанием их, составила в гёттингенском общинном лесе около 65 ₽ дохода на десятину.","В 1865—1870 годах выгода от впускания свиней в лес для прокорма, сравнительно с хлевным содержанием их, составила в гёттингенском общинном лесе около 65 рублей дохода на десятину."
"Приз МФФИИС (сувенирный мяч, стоимостью 160 млрд ₺, украшенный бриллиантами) Дзенга продал на аукционе, а вырученные деньги отдал на благотворительность.","Приз МФФИИС (сувенирный мяч, стоимостью 160 млрд лир, украшенный бриллиантами) Дзенга продал на аукционе, а вырученные деньги отдал на благотворительность."
"Со второго сезона Ривера также начала получать сольные № в сериале, первый из которых был в пятом эпизоде второго сезона под названием «The Rocky Horror Glee Show».","Со второго сезона Ривера также начала получать сольные номера в сериале, первый из которых был в пятом эпизоде второго сезона под названием «The Rocky Horror Glee Show»."
"Картина оказалась коммерчески успешной, особенно учитывая её довольно ограниченный бюджет в 1,4 миллиона $.","Картина оказалась коммерчески успешной, особенно учитывая её довольно ограниченный бюджет в 1,4 миллиона долларов."
"Она собрала 36 миллионов $ в Северной Америке, что позволило ей стать в 1974 году 11-м самым кассовым фильмом года.","Она собрала 36 миллионов долларов в Северной Америке, что позволило ей стать в 1974 году 11-м самым кассовым фильмом года."
"«Большая перенумерация» состоялась 2 сентября 1931 года, в результате которой № домов увеличились с 20 до 100 на каждый квартал.","«Большая перенумерация» состоялась 2 сентября 1931 года, в результате которой номера домов увеличились с 20 до 100 на каждый квартал."
"Восточно-Западная адресация в этом районе начинается с цифры ноль (вместо знака -).","Восточно-Западная адресация в этом районе начинается с цифры ноль (вместо знака минус)."
"Средний уровень дохода в городе составил $40 146 $, а средний доход на семью показал значение в $50 271 $.","Средний уровень дохода в городе составил $40 146 доллара, а средний доход на семью показал значение в $50 271 долларов."
"Доход на душу населения в городе — 22 643 $.","Доход на душу населения в городе — 22 643 доллара."
"При этом все формы приватизации общественных средств считались противоречащими конституции, = как и бюрократический произвол или технократическая узурпация средств производства, в том числе монополизация принятия управленческих решений.","При этом все формы приватизации общественных средств считались противоречащими конституции, равно как и бюрократический произвол или технократическая узурпация средств производства, в том числе монополизация принятия управленческих решений."
"Расстояние между крайними точками =:","Расстояние между крайними точками равно:"
"Объём внешнего товарооборота (включая торговлю с другими регионами РФ) в 2014 году составил 12,9 млрд $ (в 2000 году 1,4 млрд $): в том числе экспорт 5264,9 млн $, а импорт 7646,5 млн $.","Объём внешнего товарооборота (включая торговлю с другими регионами РФ) в 2014 году составил 12,9 млрд долларов (в 2000 году 1,4 млрд долларов): в том числе экспорт 5264,9 млн долларов, а импорт 7646,5 млн долларов."
"Для торговли Приморья с зарубежьем характерно абсолютное преобладание экспорта над импортом: в 2014 году экспорт края за таможенную границу РФ составил 1294,4 млн $, а импорт только 55,0 млн $.","Для торговли Приморья с зарубежьем характерно абсолютное преобладание экспорта над импортом: в 2014 году экспорт края за таможенную границу РФ составил 1294,4 млн долларов, а импорт только 55,0 млн долларов."
"Средний прожиточный минимум 4975 ₽ (3 кв. 2007), 6071 рубль (4 кв. 2008), для работающих — 5321 руб. (2007), для пенсионеров — 3968 руб. (2007), для детей — 4810 ₽ (2007).","Средний прожиточный минимум 4975 рублей (3 кв. 2007), 6071 рубль (4 кв. 2008), для работающих — 5321 руб. (2007), для пенсионеров — 3968 руб. (2007), для детей — 4810 рублей (2007)."
