question,answer
"В 2013 г было принято решение продолжить тур с целью продвижения грядущего альбома Demi.","В 2013 году было принято решение продолжить тур с целью продвижения грядущего альбома Demi."
"Hot Chelle Rae (сев. Америка—2012)","Hot Chelle Rae (Северная Америка—2012)"
"Owl City (сев. Америка—2012)","Owl City (Северная Америка—2012)"
"We the Kings (сев. Америка—2012)","We the Kings (Северная Америка—2012)"
"51 Близнецов (лат. 51 Geminorum), BQ Близнецов (лат. BQ Geminorum) — двойная переменная звезда в созвездии Близнецов на расстоянии приблизительно 585 световых лет (ок. 179 парсеков) от Солнца.","51 Близнецов (лат. 51 Geminorum), BQ Близнецов (лат. BQ Geminorum) — двойная переменная звезда в созвездии Близнецов на расстоянии приблизительно 585 световых лет (около 179 парсеков) от Солнца."
"Радиус — ок. 37,73 солнечных, светимость — ок. 2000 солнечных.","Радиус — около 37,73 солнечных, светимость — около 2000 солнечных."
"Эффективная температура — ок. 3640 К.","Эффективная температура — около 3640 К."
"Проходил с 24 сентября по 26 октября в Тбилиси (груз. ССР).","Проходил с 24 сентября по 26 октября в Тбилиси (Грузинская ССР)."
"— М.: сов. энциклопедия, 1990.","— М.: Советская энциклопедия, 1990."
"«64» (еженедельное прилож. к газете «сов. Спорт»), Номер 40, 1974 года.","«64» (еженедельное приложение к газете «Советский Спорт»), Номер 40, 1974 года."
"ж. «Шахматы» (изд. комитета по физической культуре и спорту при Совете Министров Латвийской ССР и шахматной федерации Латвийской ССР), Номер 3, февр. 1975 года.","Журнал «Шахматы» (издание комитета по физической культуре и спорту при Совете Министров Латвийской ССР и шахматной федерации Латвийской ССР), Номер 3, февраль 1975 года."
"В период «бесфаворитья» 1779—1780 гг. наряду с Левашовым, Стахиевым и Страховым считался любимцем императрицы, от которой получил (по данным, приводимым у К. Валишевского) в общей сложности 300000 руб..","В период «бесфаворитья» 1779—1780 гг. наряду с Левашовым, Стахиевым и Страховым считался любимцем императрицы, от которой получил (по данным, приводимым у К. Валишевского) в общей сложности 300000 рублей."
"рус. биогр. словарь:","Русский биографический словарь:"
"Роман Капитонович Назаров (1905 г, Каширский уезд Московской губернии, рос. империя — 1984) — сов. партийный деятель.","Роман Капитонович Назаров (1905 год, Каширский уезд Московской губернии, Российская империя — 1984) — советский партийный деятель."
"чл. Коммунистической партии с 1920 года, первый секр. Хабаровского краевого комитета ВКП(б) в 1946 — 1949 гг.","Член Коммунистической партии с 1920 года, первый секретарь Хабаровского краевого комитета ВКП(б) в 1946 — 1949 годах."
"Роман Капитонович Назаров род. в 1905 г в Каширском уезде Московской губернии, рос. империя в семье рабочего.","Роман Капитонович Назаров родился в 1905 году в Каширском уезде Московской губернии, Российская империя в семье рабочего."
"С детства работал по найму, а в 1917 г, в 12 лет, был отдал на обучение к портному и проработал у него ок. года.","С детства работал по найму, а в 1917 году, в 12 лет, был отдал на обучение к портному и проработал у него около года."
"В 1918 г мастерская портного была закрыта, и Назаров вернулся в родную деревню, где жил до 1921 года.","В 1918 году мастерская портного была закрыта, и Назаров вернулся в родную деревню, где жил до 1921 года."
"Только в 1921 г ему удалось устроится на работу в Москве, учеником на фабрику «Кардолента», где работал его отец.","Только в 1921 году ему удалось устроится на работу в Москве, учеником на фабрику «Кардолента», где работал его отец."
"В 1921 г он вступил в комсомол (РКСМ), в январе 1924 года по «Ленинскому призыву» вступил в Российскую коммунистическую партию (большевиков).","В 1921 году он вступил в комсомол (РКСМ), в январе 1924 года по «Ленинскому призыву» вступил в Российскую коммунистическую партию (большевиков)."
"Работая на фабрике Р. К. Назаров начал активно участвовать в общественной и партийной жизни, в 1929 г был избран председателем завкома фабрики, а в 1930 г секретарём фабричного парткома.","Работая на фабрике Р. К. Назаров начал активно участвовать в общественной и партийной жизни, в 1929 году был избран председателем завкома фабрики, а в 1930 году секретарём фабричного парткома."
"В 1931 г Назаров был отозван с фабрики и был назначен инструктором Замоскворецкого райкома ВКП(б), а через г, в 1932 г был направлен секретарём парткома на 1-ю ситценабивную фабрику.","В 1931 году Назаров был отозван с фабрики и был назначен инструктором Замоскворецкого райкома ВКП(б), а через год, в 1932 году был направлен секретарём парткома на 1-ю ситценабивную фабрику."
