question,answer
"Чемпионка России 2015 года в помещении в беге на 1500 м.","Чемпионка России 2015 года в помещении в беге на 1500 метров."
"В 2012 г стала серебряным призёром первенства России среди юниоров на дистанции 1500 м с результатом 4.35,29.","В 2012 году стала серебряным призёром первенства России среди юниоров на дистанции 1500 метров с результатом 4.35,29."
"Там Галина также подтвердила свой класс, выиграв дистанцию 3000 м с личным рекордом (9.15,54).","Там Галина также подтвердила свой класс, выиграв дистанцию 3000 метров с личным рекордом (9.15,54)."
"В 2016 г заняла шестое место на Кубке России в беге на 1500 м с личным рекордом 4.14,14.","В 2016 году заняла шестое место на Кубке России в беге на 1500 метров с личным рекордом 4.14,14."
"Трижды становилась чемпионкой России в эстафетном беге в составе команды Башкортостана: в 2015 г — 4×800 и 4×1500 м, в 2016 г — 4×1500 м.","Трижды становилась чемпионкой России в эстафетном беге в составе команды Башкортостана: в 2015 году — 4×800 и 4×1500 метров, в 2016 году — 4×1500 метров."
"Однако подразделениям руандийской армии удалось их перехватить в 19 км к югу от Кигали.","Однако подразделениям руандийской армии удалось их перехватить в 19 километрах к югу от Кигали."
"Столица гос-ва — Кигали — располагается на расстоянии 1900 км от Атлантического океана и на расстоянии 1100 км от Индийского.","Столица государства — Кигали — располагается на расстоянии 1900 километров от Атлантического океана и на расстоянии 1100 километров от Индийского."
"Протяжённость границ Руанды с другими государствами составляет 893 км.","Протяжённость границ Руанды с другими государствами составляет 893 километра."
"По той же реке Кагера пролегает граница на востоке с Танзанией общей протяжённостью в 217 км.","По той же реке Кагера пролегает граница на востоке с Танзанией общей протяжённостью в 217 километров."
"дл. этой границы также составляет 217 км.","Длина этой границы также составляет 217 километров."
"Самая короткая граница Руанды — на севере, с Угандой, её протяжённость составляет 169 км.","Самая короткая граница Руанды — на севере, с Угандой, её протяжённость составляет 169 километров."
"Это связано с тем, что большая ч. территории страны действительно представляет собой холмистую местность, ведь гос-во расположено на холмистом плоскогорье, в 1400—2000 м над уровень моря (средняя выс. — 1598 м).","Это связано с тем, что большая часть территории страны действительно представляет собой холмистую местность, ведь государство расположено на холмистом плоскогорье, в 1400—2000 метров над уровень моря (средняя высота — 1598 метров)."
"Холмы достигают в высоту 200—600 м.","Холмы достигают в высоту 200—600 метров."
"Самая низкая точка Руанды — р. Рурузи, 950 м над уровнем моря.","Самая низкая точка Руанды — река Рурузи, 950 метров над уровнем моря."
"Самая высокая — вулкан Карисимби, высотой в 4519 м.","Самая высокая — вулкан Карисимби, высотой в 4519 метров."
"Объединившись с ними, она разворачивается на 130 ° и направляется на границу с Бурунди.","Объединившись с ними, она разворачивается на 130 градусов и направляется на границу с Бурунди."
"р. падает вниз по жёлобу на высоту до 800 км, образуя множество водопадов и порогов.","Река падает вниз по жёлобу на высоту до 800 километров, образуя множество водопадов и порогов."
"Пройдя 135 км, она впадает в другое крупное оз. — Танганьика, самое длинное пресноводное оз. мира.","Пройдя 135 километров, она впадает в другое крупное озеро — Танганьика, самое длинное пресноводное озеро мира."
"В целом водная поверхность составляет 5,3 % от общей площади страны, 1670 квадратных км.","В целом водная поверхность составляет 5,3 % от общей площади страны, 1670 квадратных километров."
"Среднегодовой уровень осадков — 785 мм.","Среднегодовой уровень осадков — 785 миллиметров."
"Среднегодовая температура — +18—20 ° по Цельсию.","Среднегодовая температура — +18—20 градусов по Цельсию."
"Самая высокая температура в августе, поднимается в среднем до 28 °.","Самая высокая температура в августе, поднимается в среднем до 28 градусов."
"Самая низкая — в горах Конго-Нильского гребня, но даже там не опускается ниже +10 ° ночью.","Самая низкая — в горах Конго-Нильского гребня, но даже там не опускается ниже +10 градусов ночью."
"В мае-сентябре 1942 года в урочище были вырыты ямы длиной от 25 до 50 м, шириной 10-12 м, и глубиной 4 м.","В мае-сентябре 1942 года в урочище были вырыты ямы длиной от 25 до 50 метров, шириной 10-12 метров, и глубиной 4 метра."
"Все вагоны подавались на железнодорожную ветку, к-рый проходила от центральной магистрали на 250—300 м к ямам-могилам.","Все вагоны подавались на железнодорожную ветку, которая проходила от центральной магистрали на 250—300 метров к ямам-могилам."
"В июне 1942 года также были расстреляны ок. 800 рабочих военных складов — их убили и закопали возле бараков в 400 м от станции по направлению к трассе м.-Варшава.","В июне 1942 года также были расстреляны около 800 рабочих военных складов — их убили и закопали возле бараков в 400 метрах от станции по направлению к трассе Москва-Варшава."
"Также в сентябре 1942 года немцы убили ок. 200 чел. из Берёзы в 200 м южнее дороги м.-Варшава по направлению к деревне Смолярка, и там же их закопали.","Также в сентябре 1942 года немцы убили около 200 человек из Берёзы в 200 метрах южнее дороги Москва-Варшава по направлению к деревне Смолярка, и там же их закопали."
"д. находится в центральной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах восточной оконечности Валдайской возвышенности, на левом берегу реки Тверцы, на расстоянии примерно 16 км (по прямой) к юго-востоку от Торжка, административного центра района.","Деревня находится в центральной части Тверской области, в зоне хвойно-широколиственных лесов, в пределах восточной оконечности Валдайской возвышенности, на левом берегу реки Тверцы, на расстоянии примерно 16 километров (по прямой) к юго-востоку от Торжка, административного центра района."
"д. расположена в 10 км на северо-запад от райцентра посёлка Лежнево.","Деревня расположена в 10 километрах на северо-запад от райцентра посёлка Лежнево."
"Общая дл. улицы составляет 473 м.","Общая длина улицы составляет 473 метра."
"отд. отсек камеры вмещал 122 м 35-мм киноплёнки.","Отдельный отсек камеры вмещал 122 метра 35-мм киноплёнки."
"пл. острова 91,503 квадратных км.","Площадь острова 91,503 квадратных километра."
"с. находится в северо-западной части Пензенской области, в лесостепной зоне, в пределах северной окраины Керенско-Чембарской возвышенности, на правом берегу реки Парцы, на расстоянии примерно 10 км (по прямой) к северо-востоку от города Спасска, административного центра района.","Село находится в северо-западной части Пензенской области, в лесостепной зоне, в пределах северной окраины Керенско-Чембарской возвышенности, на правом берегу реки Парцы, на расстоянии примерно 10 километров (по прямой) к северо-востоку от города Спасска, административного центра района."
"Абсолютная выс. — 177 м над уровнем моря.","Абсолютная высота — 177 метров над уровнем моря."
"В 700 м севернее озера Мокуа-Вел расположено оз. Буада","В 700 метрах севернее озера Мокуа-Вел расположено озеро Буада"
"Находится на высоте 42 м над уровнем моря, в северо-восточной части полуострова Пелопоннеса, в 96 км к юго-западу от Афин, в 10 км к северо-западу от Нафплиона (традиц. гавань Аргоса) и в 34 км к северо-востоку от Триполиса.","Находится на высоте 42 метра над уровнем моря, в северо-восточной части полуострова Пелопоннеса, в 96 километрах к юго-западу от Афин, в 10 километрах к северо-западу от Нафплиона (традиционная гавань Аргоса) и в 34 километрах к северо-востоку от Триполиса."
"пл. 49,772 квадратного км.","Площадь 49,772 квадратного километра."
"Исток и первые неск. сот м течения находятся в Краснобаковском районе, затем р. течёт по Варнавинскому району и, наконец, перед устьем снова перетекает на территорию Краснобаковского района.","Исток и первые несколько сот метров течения находятся в Краснобаковском районе, затем река течёт по Варнавинскому району и, наконец, перед устьем снова перетекает на территорию Краснобаковского района."
"Ноотамаа имеет пл. 58 000 квадратных м и находится недалеко от западного побережья острова Сааремаа.","Ноотамаа имеет площадь 58 000 квадратных метров и находится недалеко от западного побережья острова Сааремаа."
"Первоначально в автомобиль установлен двигатель на основе блока RHS рабочим объемом 7,6 л компоновки V8, подготовленный компанией Mast Motorsports.","Первоначально в автомобиль установлен двигатель на основе блока RHS рабочим объемом 7,6 литра компоновки V8, подготовленный компанией Mast Motorsports."
"Впадает в боковую старицу Вятки (в ту же старицу впадает р. Лебяжья) у нежилой деревни Лоевка в трёх км к северо-западу от посёлка Барановка.","Впадает в боковую старицу Вятки (в ту же старицу впадает река Лебяжья) у нежилой деревни Лоевка в трёх километрах к северо-западу от посёлка Барановка."
"Через 45 с командир сказал остальным в кабине, что локатор ожил, на что второй пилот спросил, можно ли снижаться до 2000 футов, но командир ответил, что разрешения на снижение ещё не давали.","Через 45 секунд командир сказал остальным в кабине, что локатор ожил, на что второй пилот спросил, можно ли снижаться до 2000 футов, но командир ответил, что разрешения на снижение ещё не давали."
"В 11:08:05 в 50 м правее продолжения оси ВПП №04R и в 914 м от её торца летевший сквозь туман в северном направлении рейс DL723 на высоте всего 3,5 м врезался в дамбу на берегу аэропорта Логан и взорвался; от удара о дамбу и взрыва лайнер полностью разрушился, относительно уцелела только хвостовая ч.","В 11:08:05 в 50 метрах правее продолжения оси ВПП №04R и в 914 метрах от её торца летевший сквозь туман в северном направлении рейс DL723 на высоте всего 3,5 метра врезался в дамбу на берегу аэропорта Логан и взорвался; от удара о дамбу и взрыва лайнер полностью разрушился, относительно уцелела только хвостовая часть."
"Центральную ч. аймака пересекает монг. Алтай, с высотами от 3000 до 4000 м (гора Сутай-Хайрхан высотой 4220 м).","Центральную часть аймака пересекает Монгольский Алтай, с высотами от 3000 до 4000 метров (гора Сутай-Хайрхан высотой 4220 м)."
"12 февраля 2008 года в Москве в районе дома № 1 на улице Солянка произошло ДТП с участием автомобиля Кирьянова, в ходе которого автомобиль пересёк двойную сплошную линию и наехал на москвичку Елену Федотову, к-рый, в свою очередь, переходила дорогу в неположенном месте — в 150 м от пешеходного перехода.","12 февраля 2008 года в Москве в районе дома № 1 на улице Солянка произошло ДТП с участием автомобиля Кирьянова, в ходе которого автомобиль пересёк двойную сплошную линию и наехал на москвичку Елену Федотову, которая, в свою очередь, переходила дорогу в неположенном месте — в 150 метрах от пешеходного перехода."
"Стоит на автомагистрали Р119 (Елецкое ш.), в 1,5 км к северо-западу проходит ш. М4 «Дон».","Стоит на автомагистрали Р119 (Елецкое шоссе), в 1,5 километра к северо-западу проходит шоссе М4 «Дон»."
"Ближайшая ж.-д. станция — Улусарка (с. Улусарка) находится в 1,5 км южнее Екатериновки.","Ближайшая железнодорожная станция — Улусарка (село Улусарка) находится в 1,5 километра южнее Екатериновки."
"Беличьи квакши, как правило, обосновываются в одном месте в траве и не отходят от него более чем на 28 м во время охоты.","Беличьи квакши, как правило, обосновываются в одном месте в траве и не отходят от него более чем на 28 метров во время охоты."
