question,answer
"20 декабря 2021 года запланированный на январь 2022 года Давосский форум был перенесен на лето из-за неопределенности, связанной с распространением нового ο-штамма коронавируса.","20 декабря 2021 года запланированный на январь 2022 года Давосский форум был перенесен на лето из-за неопределенности, связанной с распространением нового омикрон-штамма коронавируса."
"Фонд финансирует его 1000 компаний-членов, как правило, это транснациональные компании с оборотом более пяти миллиардов $ (в зависимости от отрасли и региона).","Фонд финансирует его 1000 компаний-членов, как правило, это транснациональные компании с оборотом более пяти миллиардов долларов (в зависимости от отрасли и региона)."
"В 2011 году ежегодное членство стоило 52 тысячи $ для отдельного члена, 263 тысяч для «отраслевого партнёра» и 527 тысяч для «стратегического партнёра».","В 2011 году ежегодное членство стоило 52 тысячи долларов для отдельного члена, 263 тысяч для «отраслевого партнёра» и 527 тысяч для «стратегического партнёра»."
"Входная плата составляет 19 тысяч $ на человека.","Входная плата составляет 19 тысяч долларов на человека."
"В 2014 году ВЭФ увеличил ежегодные сборы на 20 %, сделав стоимость для «стратегического партнёра» от 500 до 600 тысяч швейцарских франков (523—628 тысяч $).","В 2014 году ВЭФ увеличил ежегодные сборы на 20 процентов, сделав стоимость для «стратегического партнёра» от 500 до 600 тысяч швейцарских франков (523—628 тысяч долларов)."
"Их песня «Маленькая девочка» («Папа, купи мне машину») стала хитом № один в Югославии.","Их песня «Маленькая девочка» («Папа, купи мне машину») стала хитом номер один в Югославии."
"Бецкой был холост, но имел ряд «воспитанниц», включая Анастасию Соколову, которой он завещал 80 000 ₽ серебром и 40 000 ассигнациями, а также два каменных дома на Дворцовой набережной.","Бецкой был холост, но имел ряд «воспитанниц», включая Анастасию Соколову, которой он завещал 80 000 рублей серебром и 40 000 ассигнациями, а также два каменных дома на Дворцовой набережной."
"Объём мирового рынка наноматериалов в 2001 году составлял 555 млн $, а в 2005 году он составил более 900 млн $.","Объём мирового рынка наноматериалов в 2001 году составлял 555 млн долларов, а в 2005 году он составил более 900 млн долларов."
"Д. Медведев также подчеркнул, что Роснано до 2015 года на эти цели будет выделено 318 млрд ₽.","Д. Медведев также подчеркнул, что Роснано до 2015 года на эти цели будет выделено 318 млрд рублей."
"Входная плата составляет 10 гонконгских $; для инвалидов, студентов очной формы обучения и лиц, достигших возраста 60 лет, — 5 HKD; для групп от 20 человек действует скидка 30 %.","Входная плата составляет 10 гонконгских долларов; для инвалидов, студентов очной формы обучения и лиц, достигших возраста 60 лет, — 5 HKD; для групп от 20 человек действует скидка 30 %."
"Компания была основана братьями Грэм — Джозефом, Робертом и Рэем Остином на базе автомобильной компании Paige, которая была куплена 10 июня 1927 года за 4 миллиона $.","Компания была основана братьями Грэм — Джозефом, Робертом и Рэем Остином на базе автомобильной компании Paige, которая была куплена 10 июня 1927 года за 4 миллиона долларов."
"Компаньоны внесли по 100 тысяч ₽ каждый в результате чего основной капитал Товарищества на паях составил 400 тысяч руб.","Компаньоны внесли по 100 тысяч рублей каждый в результате чего основной капитал Товарищества на паях составил 400 тысяч руб."
"Символьные имена сигналов используются вместо номеров, так как в разных реализациях № сигналов могут различаться.","Символьные имена сигналов используются вместо номеров, так как в разных реализациях номера сигналов могут различаться."
