"question","answer","measure"
"26 марта весь состав дивизии прибыл на станцию Либерозе, находящуюся в 25 км севернее Котбуса и в 30 км от линии фронта.","26 марта весь состав дивизии прибыл на станцию Либерозе, находящуюся в 25 километрах севернее Котбуса и в 30 километрах от линии фронта.","measure"
"Абсолютная выс. — 207 м над уровнем моря.","Абсолютная высота — 207 метров над уровнем моря.","measure"
"Специализировался в беге на 800 м.","Специализировался в беге на 800 метров.","measure"
"На след. г на чемпионате Африки выиграл золотую медаль в беге на 800 м и бронзовую медаль на дистанции 1500 м.","На следующий год на чемпионате Африки выиграл золотую медаль в беге на 800 метров и бронзовую медаль на дистанции 1500 метров.","measure"
"Абсолютная выс. — 164 м над уровнем моря.","Абсолютная высота — 164 метра над уровнем моря.","measure"
"Впадает на территории Ганы в водохранилище В.","Впадает на территории Ганы в водохранилище Вольта.","measure"
"Одрикс (фр.), радиопередающая антенна высотой 205 м","Одрикс (фр.), радиопередающая антенна высотой 205 метров","measure"
"Бержерак, антенна в Монбазияке высотой 60 м","Бержерак, антенна в Монбазияке высотой 60 метров","measure"
"Восстановительные работы были поручены немецкому скульптору Йохену Гц, к-рый задал жителям города вопрос «По вашему мнению, ради чего стоит рисковать своей жизнью?».","Восстановительные работы были поручены немецкому скульптору Йохену Герцу, который задал жителям города вопрос «По вашему мнению, ради чего стоит рисковать своей жизнью?».","measure"
"Самыми посещаемыми туристическими объектами в Дордони являются город Сарла-ла-Канеда, пещера Ласко II, замок Кастельно, сад Маркессак, скала Сен-Кристоф (обрывистая скала длиной ок. км) и Аквариум Чёрного Перигора","Самыми посещаемыми туристическими объектами в Дордони являются город Сарла-ла-Канеда, пещера Ласко II, замок Кастельно, сад Маркессак, скала Сен-Кристоф (обрывистая скала длиной около километра) и Аквариум Чёрного Перигора","measure"
"коммуна Бертрик-Бюре — тисовое дерево, возрастом более 800 лет и имеющее в окружности 9 м.","коммуна Бертрик-Бюре — тисовое дерево, возрастом более 800 лет и имеющее в окружности 9 метров.","measure"
"мон. находится на правом берегу реки Камп, в её излучине, в двух км ниже по течению реки от посёлка Цветль.","Монастырь находится на правом берегу реки Камп, в её излучине, в двух километрах ниже по течению реки от посёлка Цветль.","measure"
"Самцы прилетают на место гнездовья на неск. дней раньше самок, иногда пролетая до 200 км в сутки.","Самцы прилетают на место гнездовья на несколько дней раньше самок, иногда пролетая до 200 километров в сутки.","measure"
"Абсолютная выс. — 1222 м над уровнем моря.","Абсолютная высота — 1222 метра над уровнем моря.","measure"
"Абсолютная выс. — 218 м над уровнем моря.","Абсолютная высота — 218 метров над уровнем моря.","measure"
"Живущие здесь лягушки «Рико», известные как «коки» (Eleutherdactylus coqui), являются излюбленным символом острова, хотя их присутствие можно ощутить только по звуку и мало кто из туристов может их увидеть — самая большая «коки» не более 5 см в длину.","Живущие здесь лягушки «Рико», известные как «коки» (Eleutherdactylus coqui), являются излюбленным символом острова, хотя их присутствие можно ощутить только по звуку и мало кто из туристов может их увидеть — самая большая «коки» не более 5 сантиметров в длину.","measure"
"Корневая система довольно развитая, поэтому необходим слой грунта толщиной не менее 5 см.","Корневая система довольно развитая, поэтому необходим слой грунта толщиной не менее 5 сантиметров.","measure"
"14 августа — первый сов. эксперимент. вертолёт ЦАГИ 1-ЭА был поднят на высоту 605 м, установив неофициальный мир. рекорд.","14 августа — первый советский экспериментальный вертолёт ЦАГИ 1-ЭА был поднят на высоту 605 метров, установив неофициальный мировой рекорд.","measure"
"Общий вес скульптурной композиции составляет ок. 600 кг.","Общий вес скульптурной композиции составляет около 600 килограмм.","measure"
