"г","56804"
"чел.","9915"
"род.","3647"
"гг","5829"
"в","576"
"рус.","1217"
"млн","1174"
"тыс.","1962"
"ум.","1934"
"англ.","83"
"долл.","1234"
"букв.","212"
"экз.","382"
"обр.","306"
"руб.","846"
"сокр.","182"
"клб","132"
"млрд","169"
"трлн","15"
" д.","2247"
" к-рый","6693"
" прим.","426"
" т.","3208"
" неск.","2001"
" гг.","2185"
" дек.","2541"
" м.","1518"
" лит-ра","304"
" с.","1557"
" ч.","2098"
" вв.","2049"
" нас.","1185"
" ок.","2278"
" род.","1471"
" кол-во","1052"
" им.","1488"
" напр.","1182"
" сов.","1739"
" назв.","1491"
" кн.","1142"
" мир.","923"
" б.","978"
" нац.","807"
" гл.","877"
" ин-т","850"
" офиц.","1165"
" рев.","175"
" наиб.","1042"
" др.","688"
" рус.","1054"
" рос.","1672"
" пос.","562"
" впосл.","750"
" гос.","1099"
" пл.","820"
" вкл.","664"
" посл.","520"
" р-н","1080"
" имп.","236"
" гр.","574"
" изв.","645"
" науч.","500"
" нач.","557"
" мн.","869"
" зол.","521"
" ж.","691"
" чл.","927"
" засл.","529"
" отд.","531"
" междунар.","484"
" моск.","647"
" дир.","462"
" реж.","734"
" сообщ.","185"
" вел.","422"
" худ.","491"
" адм.","436"
" сев.","368"
" совр.","335"
" ун-т","614"
" амер.","772"
" франц.","439"
" дл.","486"
" зап.","336"
" юж.","297"
" англ","339"
" единств.","418"
" иск-во","356"
" быв.","492"
" вып.","344"
" стр-во","443"
" гос-ва","542"
" пр-во","450"
" произ-во","505"
" орг-ция","321"
" яз.","596"
" польск.","217"
" изд-во","377"
" изд.","446"
" рук-во","280"
" вост.","244"
" полит.","402"
" серебр.","373"
" през.","488"
" в.","437"
" з.","189"
" мл.","317"
" р.","440"
" след.","350"
" нар.","433"
" историч.","401"
" произв.","126"
" выс.","415"
" вест.","173"
" центр.","312"
" гор.","534"
" творч.","256"
" художеств.","280"
" располож.","274"
" б-ка","301"
" предс.","413"
" ред.","359"
" вопр.","255"
" об-во","411"
" ф-т","312"
" оз.","344"
" мат-лы","260"
" уч-ще","352"
" собр.","251"
" сб.","393"
" нем.","431"
" мин-во","244"
" греч.","105"
" ж.-д.","251"
" лит.","270"
" бронз.","298"
" ю.","214"
" газ.","361"
" л.","181"
" белорус.","179"
" ниж.","161"
" гал.","129"
" шир.","126"
" укр.","338"
" итал.","219"
" первонач.","111"
" монг.","37"
" рим.","184"
" пост.","183"
" врем.","109"
" географич.","69"
" зам.","345"
" созд.","186"
" древн.","128"
" респ.","245"
" япон.","165"
" обществ.","250"
" бульв.","38"
" теоретич.","27"
" кон.","268"
" объед.","60"
" биогр.","255"
" терр.","307"
" постр.","148"
" гос-во","231"
" окт.","211"
" собств.","177"
" дерев.","143"
" кит.","152"
" летоп.","114"
" регион.","65"
" секр.","276"
" акад.","295"
" рук.","237"
" технич.","163"
" дет.","266"
" мон.","258"
" о-в","252"
" пр.","85"
" исп.","156"
" б-ца","95"
" болг.","109"
" иссл.","167"
" брит.","279"
" переим.","28"
" мемор.","150"
" жел.","159"
" связ.","97"
" жен.","302"
" св.","203"
" комис.","123"
" арх-ра","69"
" авг.","149"
" соч.","63"
" сотр-во","90"
" пам.","552"
" наст.","130"
" пом.","104"
" апр.","103"
" террит.","138"
" европ.","140"
" уник.","70"
" муз.","319"
" нидерл.","59"
" кап.","22"
" эксперимент.","46"
" анс.","84"
" фактич.","28"
" архит.","181"
" доп.","148"
" коммерч.","65"
" груз.","98"
" графич.","52"
" исслед.","56"
" высш.","166"
" христ.","178"
" сент.","122"
" колл.","87"
" зав.","173"
" сотр.","196"
" революц.","64"
" откр.","193"
" муницип.","252"
" опред.","92"
" театр.","156"
" чуваш.","28"
" демокр.","60"
" дополнит.","125"
" внутр.","87"
" авт.","59"
" иностр.","62"
" соц.","172"
" др.-рус.","18"
" док-т","58"
" австр.","108"
" общ.","68"
" иллюстрир.","40"
" гражд.","99"
" ш.","199"
" универс.","39"
" бр.","176"
" евр.","95"
" посв.","144"
" фин.","64"
" нояб.","107"
" четв.","30"
" азерб.","38"
" венгер.","75"
" сузд.","11"
" араб.","41"
" опубл.","52"
" публ.","49"
" предисл.","38"
" кн-во","7"
" уч.","59"
" хоз.","65"
" строит.","49"
" пед.","114"
" урал.","77"
" бельг.","53"
" документ.","132"
" дол.","37"
" церк.","79"
" рец.","99"
" классич.","83"
" искусств.","44"
" тематич.","14"
" перc.","35"
" км","39"
" персон.","63"
" драм.","72"
" внеш.","60"
" разл.","21"
" конф.","67"
" этнографич.","20"
" республ.","70"
" информ.","89"
" действит.","74"
" скульпт.","33"
" одноим.","90"
" социалистич.","72"
" традиц.","95"
" м","30"
" кам.","153"
" качеств.","11"
" функц.","16"
" янв.","113"
" петерб.","43"
" тип.","78"
" монумент.","16"
" будд.","14"
" дипломатич.","38"
" княж.","26"
" бар.","159"
" ленингр.","97"
" голл.","25"
" академич.","49"
" яросл.","39"
" правительств.","17"
" псевд.","54"
" тов.","41"
" ср.-век.","44"
" п-ов","36"
" декор.","25"
" мифол.","14"
" верх.","93"
" просв.","31"
" докл.","73"
" издат.","63"
" заключ.","19"
" филологич.","63"
" комм.","44"
" татар.","63"
" редакц.","10"
" муж.","124"
" пер.","151"
" норв.","46"
" хут.","186"
" археологич.","43"
" слав.","44"
" с.-петерб.","31"
" производств.","39"
" пожизн.","11"
" вспомогат.","22"
" цв.","30"
" публич.","59"
" всесоюз.","46"
" кавказ.","42"
" зал.","73"
" рис.","125"
" австрал.","49"
" чечен.","20"
" специализир.","30"
" февр.","83"
" швед.","104"
" чл.-корр.","121"
" образоват.","55"
" см","3"
" драг.","8"
" библ.","10"
" сиб.","65"
" чугун.","5"
" корр.","32"
" бум.","11"
" стан.","34"
" азиат.","20"
" нумизматич.","7"
" загран.","5"
" прилож.","68"
" стилистич.","3"
" архитект.","47"
" бюлл.","19"
" справоч.","13"
" изобразит.","18"
" эстетич.","13"
" систематич.","18"
" самостоят.","60"
" яз-знание","8"
" уезд.","25"
" илл.","62"
" сохр.","21"
" мрам.","17"
" органич.","11"
" организац.","14"
" идеологич.","16"
" многочисл.","12"
" сост.","35"
" стекл.","19"
" эт.","47"
" послесл.","7"
" просп.","84"
" визант.","36"
" метал.","29"
" пластич.","5"
" количеств.","3"
" краеведч.","54"
" послед.","13"
" благотворит.","27"
" индивид.","50"
" хронолоrич.","7"
" фотогр.","9"
" религ.","51"
" письм.","61"
" всерос.","52"
" альм.","55"
"abbreviation","10"
" район.","57"
" т-во","44"
" башк.","59"
" осет.","22"
" прикл.","39"
" заруб.","23"
" философ.","69"
" дис.","38"
" печ.","44"
" наб.","33"
" торжеств.","43"
" старообрядч.","11"
" этнич.","31"
" губ.","26"
" синтетич.","10"
" эмоц.","14"
" наим.","27"
" позд.","18"
" экологич.","22"
" крест.","27"
" экз.","27"
" централиз.","13"
" аналитич.","27"
" наруж.","11"
" периодич.","12"
" кирп.","46"
" провинц.","17"
" ежекварт.","6"
" словесн.","10"
" преп.","34"
" фундамент.","20"
" звук.","30"
" испр.","15"
" коллекц.","7"
" преим.","3"
" типологич.","3"
" высококачеств.","4"
" перераб.","4"
" стихотв.","8"
" реставрац.","2"
" черкес.","4"
" сканд.","9"
" языч.","5"
" епарх.","10"
" реконстр.","7"
" систематизир.","1"
