abbreviation,encounters
г,7756
к-рый,2036
чел.,1155
т.,1120
сов.,724
ок.,700
гг,679
вв.,667
ч.,663
дек.,660
неск.,606
гг.,581
им.,556
род.,519
м.,515
д.,505
рос.,497
с.,441
назв.,387
напр.,346
кн.,345
офиц.,339
гос.,328
амер.,325
нас.,322
впосл.,311
кол-во,306
рус.,306
наиб.,305
ум.,291
тыс.,278
пл.,276
б.,269
чл.,267
мн.,267
гл.,264
ин-т,245
р-н,237
мир.,231
долл.,215
пос.,212
изв.,208
гр.,206
нац.,206
ж.,200
др.,195
засл.,194
моск.,192
вкл.,192
сб.,176
р.,171
пам.,167
през.,165
предс.,164
произ-во,163
млн,161
франц.,159
нем.,156
худ.,156
единств.,153
нач.,151
ун-т,150
муз.,149
выс.,143
ред.,143
реж.,141
нар.,140
центр.,138
б-ка,138
отд.,137
вел.,135
дл.,135
посл.,135
историч.,135
изд-во,135
междунар.,134
зол.,134
брит.,131
полит.,130
гос-ва,129
след.,126
в.,126
адм.,125
быв.,123
мат-лы,122
стр-во,122
яз.,122
зам.,122
науч.,122
пр-во,120
изд.,117
уч-ще,116
сев.,112
дир.,111
о-в,111
об-во,108
гор.,106
укр.,104
ф-т,101
респ.,101
оз.,99
лит-ра,98
жен.,97
совр.,96
юж.,95
дет.,95
кон.,93
вып.,93
экз.,91
терр.,90
серебр.,89
руб.,89
иск-во,89
лит.,89
художеств.,87
ж.-д.,86
творч.,85
англ,84
итал.,83
мл.,81
имп.,76
орг-ция,75
рук-во,74
авг.,73
св.,73
газ.,73
зап.,73
откр.,72
вопр.,71
собр.,70
польск.,68
обществ.,68
муницип.,68
мон.,67
ю.,66
биогр.,63
собств.,63
рук.,63
бронз.,62
вест.,60
пост.,60
высш.,60
мин-во,59
окт.,59
архит.,58
япон.,58
акад.,57
располож.,55
сотр.,55
сообщ.,55
секр.,53
вост.,52
гос-во,52
рис.,50
созд.,50
документ.,49
дерев.,49
ш.,48
мемор.,48
обр.,47
л.,46
швед.,46
бр.,45
соц.,45
рим.,44
исп.,44
сент.,43
янв.,43
конф.,43
комис.,42
з.,42
ниж.,42
дополнит.,41
постр.,41
рев.,41
зав.,41
иссл.,40
древн.,39
гражд.,39
шир.,39
хут.,39
врем.,38
белорус.,38
греч.,38
кит.,37
муж.,37
наст.,37
пом.,37
псевд.,37
театр.,36
европ.,36
классич.,36
доп.,36
рец.,35
посв.,35
произв.,35
жел.,34
бар.,33
колл.,33
альм.,33
технич.,33
кам.,33
террит.,33
район.,33
сотр-во,32
традиц.,32
апр.,30
пр.,30
соч.,29
просп.,29
анс.,29
тип.,28
ленингр.,28
гал.,28
венгер.,28
нояб.,28
уч.,28
авт.,27
пер.,27
внутр.,27
б-ца,27
зал.,26
татар.,26
февр.,26
болг.,26
церк.,26
общ.,25
иностр.,25
религ.,25
пед.,25
уник.,25
связ.,25
информ.,25
австрал.,25
летоп.,24
фин.,24
сокр.,24
самостоят.,24
первонач.,24
нидерл.,24
докл.,24
груз.,23
австр.,23
верх.,23
социалистич.,23
слав.,22
опубл.,22
республ.,22
илл.,22
чл.-корр.,22
сиб.,21
одноим.,21
евр.,21
коммерч.,21
драм.,21
христ.,21
опред.,20
всерос.,20
бельг.,19
объед.,19
внеш.,19
азерб.,19
благотворит.,19
комм.,19
демокр.,19
док-т,19
клб,19
архитект.,19
публ.,18
голл.,18
норв.,18
издат.,18
арх-ра,18
букв.,18
млрд,17
этнич.,17
академич.,17
петерб.,16
ср.-век.,16
дол.,16
краеведч.,16
дис.,16
урал.,16
фундамент.,16
сост.,15
письм.,15
эт.,15
кирп.,15
т-во,15
иллюстрир.,15
эксперимент.,15
регион.,15
производств.,15
яросл.,15
публич.,14
заруб.,14
торжеств.,13
четв.,13
филологич.,13
философ.,13
цв.,13
графич.,13
башк.,13
индивид.,13
корр.,12
просв.,12
предисл.,12
действит.,12
аналитич.,11
революц.,11
крест.,11
строит.,11
преп.,11
методич.,11
прилож.,11
этнографич.,11
тов.,10
визант.,10
араб.,10
кап.,10
км,10
исслед.,10
хоз.,10
археологич.,10
фактич.,10
персон.,10
наб.,9
разл.,9
губ.,9
азиат.,9
прим.,9
м,9
всесоюз.,9
образоват.,9
дипломатич.,9
переим.,9
бульв.,8
специализир.,8
п-ов,8
географич.,8
метал.,8
правительств.,8
пожизн.,8
искусств.,7
функц.,7
теоретич.,7
систематич.,7
стихотв.,7
перc.,7
изобразит.,7
полиграф.,7
пгр.,7
с.-петерб.,7
чуваш.,7
универс.,7
мордов.,7
наим.,6
сохр.,6
чечен.,6
драг.,6
др.-рус.,6
наруж.,5
позд.,5
заключ.,5
якут.,5
декор.,5
экологич.,5
будд.,5
кавказ.,5
периодич.,5
бюлл.,5
провинц.,5
фольк.,5
мрам.,4
потомств.,4
загран.,4
звук.,4
стекл.,4
печ.,4
см.,4
эмоц.,4
подмоск.,3
эксп.,3
яз-знание,3
идеологич.,3
черкес.,3
скульпт.,3
стан.,3
отт.,3
справоч.,3
организац.,3
библ.,3
социологич.,3
экспедиц.,3
вспомогат.,3
догматич.,3
сканд.,2
фотогр.,2
квалифицир.,2
послед.,2
количеств.,2
языч.,2
купеч.,2
епарх.,2
монг.,2
монумент.,2
осет.,2
коллекц.,2
испр.,2
уезд.,2
эстетич.,2
прикл.,2
стилистич.,2
ведомств.,2
флам.,2
кн-во,2
сузд.,2
централиз.,2
терминологич.,2
керамич.,1
многочисл.,1
лит-ведение,1
старообрядч.,1
чугун.,1
археогр.,1
зап.-европ.,1
abbreviation,1
систематизир.,1
прижизн.,1
ингуш.,1
размещ.,1
тематич.,1
перераб.,1
реорганиз.,1
аристократич.,1
учрежд.,1
бум.,1
редакц.,1
лекц.,1
княж.,1
методологич.,1
реконстр.,1
эволюц.,1
гуманистич.,1
синод.,1
мифол.,1
