question,answer
"Большинство деґредаду засылались в колонии или (особенно в первые гг) просто оставались на незнакомом берегу, где отбывали свое наказание.","Большинство деґредаду засылались в колонии или (особенно в первые годы) просто оставались на незнакомом берегу, где отбывали свое наказание."
"Дегредаду, заброшенным на незнакомые берегах (известные как порт. lançados, букв. — «заброшенный»), часто поручали разведки и контакты с неизвестными народами.","Дегредаду, заброшенным на незнакомые берегах (известные как порт. lançados, буквально — «заброшенный»), часто поручали разведки и контакты с неизвестными народами."
"В первые гг открытий Португалии и развития империи в 15-16 веках корабли обычно имели на борту небольшое количество дегредаду, для выполнения задач, которые считались слишком опасными или тяжелыми для обычных членов экипажа; например, достигнув незнакомого берега, дегредаду сходили на берег, чтобы проверить, не были ли местные жители враждебными.","В первые годы открытий Португалии и развития империи в 15-16 веках корабли обычно имели на борту небольшое количество дегредаду, для выполнения задач, которые считались слишком опасными или тяжелыми для обычных членов экипажа; например, достигнув незнакомого берега, дегредаду сходили на берег, чтобы проверить, не были ли местные жители враждебными."
"Многие первые бразильские колонии также были основаны при участии колонистив-дегредаду, например, Вашку Фернандес Коутинью имел около 70 заключенных для основания Эспириту-Санту в 1536 г; Королевский губернатор Том де Соуза, чтобы основать Сальвадор, первую столицу Колониальной Бразилии в 1549 г, имел их 400—600.","Многие первые бразильские колонии также были основаны при участии колонистив-дегредаду, например, Вашку Фернандес Коутинью имел около 70 заключенных для основания Эспириту-Санту в 1536 году; Королевский губернатор Том де Соуза, чтобы основать Сальвадор, первую столицу Колониальной Бразилии в 1549 году, имел их 400—600."
"Антонио Фернандес — бывший плотник, который был сослан в Софал в 1500 или 1505 гг; Фернандес продолжал проводить серию морских разведывательных путешествий в 1512—1515 гг, в 300 милях вглубь земель Мономатапа и Матабелеленд.","Антонио Фернандес — бывший плотник, который был сослан в Софал в 1500 или 1505 годах; Фернандес продолжал проводить серию морских разведывательных путешествий в 1512—1515 годах, в 300 милях вглубь земель Мономатапа и Матабелеленд."
"Заброшенный на побережье Южной Бразилии в 1502 г, он добрался до великого вождя индейцев гуарани в Кананеа.","Заброшенный на побережье Южной Бразилии в 1502 году, он добрался до великого вождя индейцев гуарани в Кананеа."
"В 1533 г «Бакалавр», как известно, провел рейд, чтобы освободить и уничтожить португальскую колонию Сан-Висенте.","В 1533 году «Бакалавр», как известно, провел рейд, чтобы освободить и уничтожить португальскую колонию Сан-Висенте."
"В 1511 г Рамалью стал вождем племени Тупинихим плато Пиратини.","В 1511 году Рамалью стал вождем племени Тупинихим плато Пиратини."
"Давиде Мерола тренировался в футбольных академиях клубов «Юве Саммаритана» и «Капуя», пока в 2014 г не стал игроком академии миланского клуба «Интернационале».","Давиде Мерола тренировался в футбольных академиях клубов «Юве Саммаритана» и «Капуя», пока в 2014 году не стал игроком академии миланского клуба «Интернационале»."
"В составе молодёжной команды «Интера» выиграл молодёжный суперкубок Италии, молодёжный чемпионат Италии и турнир Виареджо, в 2016 и 2017 г становился лучшим бомбардиром молодёжной команды.","В составе молодёжной команды «Интера» выиграл молодёжный суперкубок Италии, молодёжный чемпионат Италии и турнир Виареджо, в 2016 и 2017 году становился лучшим бомбардиром молодёжной команды."
"Футбольные турниры начали проводиться в Швейцарии с конца XIX в.","Футбольные турниры начали проводиться в Швейцарии с конца XIX века."
"Федерация футбола Швейцарии была основана в 1895 г, а уже через два года прошёл первый национальный турнир, победителем которого стал «Грассхоппер».","Федерация футбола Швейцарии была основана в 1895 году, а уже через два года прошёл первый национальный турнир, победителем которого стал «Грассхоппер»."
"Этой возможностью в 1932 г воспользовалась «Лозанна».","Этой возможностью в 1932 году воспользовалась «Лозанна»."
"Так, к примеру, в последние гг перед реформой 2003 года практиковалась схема с разделением участников на группы после регулярного чемпионата: клубы, занявшие верхние места в таблице определяли чемпиона и участников еврокубков, а клубы из нижней части таблицы в турнире с командами из второго по классу дивизиона выясняли, кто на следующий сезон будет выступать в элитном классе, а кого ждёт Национальная лига Б.","Так, к примеру, в последние годы перед реформой 2003 года практиковалась схема с разделением участников на группы после регулярного чемпионата: клубы, занявшие верхние места в таблице определяли чемпиона и участников еврокубков, а клубы из нижней части таблицы в турнире с командами из второго по классу дивизиона выясняли, кто на следующий сезон будет выступать в элитном классе, а кого ждёт Национальная лига Б."
"Лига была реформирована в 2003 г.","Лига была реформирована в 2003 году."
"В соответствии с позицией в таблице коэффициентов УЕФА на 2022 г, в еврокубках участвуют 3 команды.","В соответствии с позицией в таблице коэффициентов УЕФА на 2022 год, в еврокубках участвуют 3 команды."
"Мунир Караматович Биккулов род. 25 марта 1944 г. в д. Габдрафиково Переволоцкого района Оренбургской области.","Мунир Караматович Биккулов родился 25 марта 1944 г. в д. Габдрафиково Переволоцкого района Оренбургской области."
"Создан в 1934 г как геолого-почвенно-географический, до 2019 года носил название географического.","Создан в 1934 году как геолого-почвенно-географический, до 2019 года носил название географического."
"В 1922/1923 учебном г в составе БГУ был создан педагогический факультет, который имел четыре отделения: этнолого-лингвистическое, социально-экономическое, природоведческо-историческое и физико-математическое.","В 1922/1923 учебном году в составе БГУ был создан педагогический факультет, который имел четыре отделения: этнолого-лингвистическое, социально-экономическое, природоведческо-историческое и физико-математическое."
"На данный г приходится и основание Музея минералогии и петрографии, впоследствии (с 1973 г.)","На данный год приходится и основание Музея минералогии и петрографии, впоследствии (с 1973 г.)"
"В этом же г была основана кафедра экономической географии.","В этом же году была основана кафедра экономической географии."
"В 1939/1940 учебном г были защищены первые кандидатские диссертации: В.А. Дементьевым и А.Х. Шкляром.","В 1939/1940 учебном году были защищены первые кандидатские диссертации: В.А. Дементьевым и А.Х. Шкляром."
"В гг войны здание факультета было разрушено, оборудование разграблено.","В годы войны здание факультета было разрушено, оборудование разграблено."
"В первые послевоенные гг прием на первый курс составлял 20-40 чел..","В первые послевоенные годы прием на первый курс составлял 20-40 человек."
"В 1951-1958 гг. на геологическом отделении осуществлялась подготовка геологов по специальности «Поиск и разведка полезных ископаемых», прием составлял 50 чел..","В 1951-1958 гг. на геологическом отделении осуществлялась подготовка геологов по специальности «Поиск и разведка полезных ископаемых», прием составлял 50 человек."
"С вводом в строй главного корпуса университета (1961 г.) значительно увеличился прием студентов на первый курс дневного отделения (до 125 чел.).","С вводом в строй главного корпуса университета (1961 г.) значительно увеличился прием студентов на первый курс дневного отделения (до 125 человек)."
"В 1960 г. открылось вечернее отделение (прием составил 50 чел.), велась подготовка специалистов-географов на заочной форме обучения (прием 75 чел.).","В 1960 г. открылось вечернее отделение (прием составил 50 человек), велась подготовка специалистов-географов на заочной форме обучения (прием 75 человек)."
"В 1966-1970 гг. в состав факультета было возвращено геологическое отделение, велась подготовка по специальности «Гидрогеология», факультет в эти гг вновь назывался геолого-географическим.","В 1966-1970 гг. в состав факультета было возвращено геологическое отделение, велась подготовка по специальности «Гидрогеология», факультет в эти годы вновь назывался геолого-географическим."
"В 1983 г. деканом географического факультета был назначен Р.А. Жмойдяк, в этом г на факультете был открыт читальный зал географических наук; факультет был награжден Почетной грамотой ВЦСПС за вклад в подготовку кадров для туристских организаций СССР.","В 1983 г. деканом географического факультета был назначен Р.А. Жмойдяк, в этом году на факультете был открыт читальный зал географических наук; факультет был награжден Почетной грамотой ВЦСПС за вклад в подготовку кадров для туристских организаций СССР."
"В этом г географический факультет был переименован в факультет географии и геоинформатики, кафедра почвоведения и земельных информационных систем была переименована в кафедру почвоведения и геоинформационных систем, кафедра геодезии и картографии – в кафедру геодезии и космоаэрокартографии.","В этом году географический факультет был переименован в факультет географии и геоинформатики, кафедра почвоведения и земельных информационных систем была переименована в кафедру почвоведения и геоинформационных систем, кафедра геодезии и картографии – в кафедру геодезии и космоаэрокартографии."
"За послевоенные гг факультет подготовил около 15 тыс. специалистов.","За послевоенные годы факультет подготовил около 15 тыс. специалистов."
"На условиях совмещения преподавательскую деятельность ведут более 30 чел. (3 доктора и 11 кандидатов наук), в штате факультета более 20 научных сотрудников.","На условиях совмещения преподавательскую деятельность ведут более 30 человек (3 доктора и 11 кандидатов наук), в штате факультета более 20 научных сотрудников."
"В структуру факультета входит Музей землеведения . Два раза в г музей проводит международную минералогическую выставку-ярмарку «Каменная сказка».","В структуру факультета входит Музей землеведения . Два раза в год музей проводит международную минералогическую выставку-ярмарку «Каменная сказка»."
"На конец 2021 года профессорско-преподавательский состав насчитывает более 120 чел.:","На конец 2021 года профессорско-преподавательский состав насчитывает более 120 человек:"
"Учебно-вспомогательный персонал составляет 36 чел..","Учебно-вспомогательный персонал составляет 36 человек."
"Геология», публикуемый с периодичностью 2 раза в г.","Геология», публикуемый с периодичностью 2 раза в год."
"Сегодня вестник выходит тиражом в 120 экз. с периодичностью два раза в г.","Сегодня вестник выходит тиражом в 120 экземпляров с периодичностью два раза в год."
"род. в 1900 г в Ростове-на-Дону.","Родился в 1900 году в Ростове-на-Дону."
"ум. в Барнауле в 1991 г.","Умер в Барнауле в 1991 году."
"Приход имеет большое историческое значение, так как именно здесь в 1625 г высадились первые британские поселенцы.","Приход имеет большое историческое значение, так как именно здесь в 1625 году высадились первые британские поселенцы."
"С 1898 года работал в Баку; в 1903 г переехал в Петербург, где служил в страховой компании «Надежда», с 1907 года помощник присяжного поверенного.","С 1898 года работал в Баку; в 1903 году переехал в Петербург, где служил в страховой компании «Надежда», с 1907 года помощник присяжного поверенного."
"В 1908 и 1910 гг — инспектор Русско-Азиатского банка (с 1915 — заведующий Одесским отделением и вице-директор).","В 1908 и 1910 годах — инспектор Русско-Азиатского банка (с 1915 — заведующий Одесским отделением и вице-директор)."
"В 1890-х гг вёл хронику одесской жизни в журнале «По морю и суше» (1892—1894); опубликовал здесь рассказ «В стенах Хаджибея», печатал театральные рецензии в газете «Театр» (1896—1898); опубликовал здесь фарс «Дуэль», сатирические стихи и театральные рецензии в «Одесской газете» (1897).","В 1890-х годах вёл хронику одесской жизни в журнале «По морю и суше» (1892—1894); опубликовал здесь рассказ «В стенах Хаджибея», печатал театральные рецензии в газете «Театр» (1896—1898); опубликовал здесь фарс «Дуэль», сатирические стихи и театральные рецензии в «Одесской газете» (1897)."
