question,answer
"Крестьяне Зеленовки арендовали у местных помещиков по 10 руб. за казенную десятину поемные луга, на которых по 8-10 возов сена с десятины, из расчета по 15-18 пудов на воз.","Крестьяне Зеленовки арендовали у местных помещиков по 10 рублей за казенную десятину поемные луга, на которых по 8-10 возов сена с десятины, из расчета по 15-18 пудов на воз."
"Зеленовские крестьяне нанимались возить дрова к местным купцам- лесопромышленникам Аржанову и Сбитневу к Волге за 12 верст от села, получая по 4 руб. за пятерик дров, из расчета 14 возок в пятерике сырых дров по 28 копеек за каждый воз.","Зеленовские крестьяне нанимались возить дрова к местным купцам- лесопромышленникам Аржанову и Сбитневу к Волге за 12 верст от села, получая по 4 рубля за пятерик дров, из расчета 14 возок в пятерике сырых дров по 28 копеек за каждый воз."
"В 1882 г. один крестьянин д. Зеленовки арендовал у Мильковича 10 десятин земли под пахоту по 4 руб. за десятину, в задаток крестьянин выплатил помещику 20 руб. или 40 % платы.","В 1882 г. один крестьянин д. Зеленовки арендовал у Мильковича 10 десятин земли под пахоту по 4 рубля за десятину, в задаток крестьянин выплатил помещику 20 рублей или 40 % платы."
"На протяжении истории Османской империи, равно как и прежде в многонациональной Византии, все наивысшие церковные посты в иерархии православной церкви обеих империй занимали именно этнические греки (при османах — фанариоты), хотя православными были по большей части балканские славяне (сербы, болгары, болоховцы и др.), а также тюркоязычные гагаузы, некоторые албанцы и особенно многочисленные валахи (румыны).","На протяжении истории Османской империи, равно как и прежде в многонациональной Византии, все наивысшие церковные посты в иерархии православной церкви обеих империй занимали именно этнические греки (при османах — фанариоты), хотя православными были по большей части балканские славяне (сербы, болгары, болоховцы и др.), а также тюркоязычные гагаузы, некоторые албанцы и особенно многочисленные валахи (румыны)."
"Жалование его составляло 400 руб. в г.","Жалование его составляло 400 рублей в год."
"Более того, Гегесий считает, что мудрец не считает никого другого достойным его самого, и даже если кто-либо предоставит ему величайшие блага, то это всё равно будет неравноценно по сравнению с величием мудреца (Diog. Laert. II 93-95).","Более того, Гегесий считает, что мудрец не считает никого другого достойным его самого, и даже если кто-либо предоставит ему величайшие блага, то это всё равно будет неравноценно по сравнению с величием мудреца (Diog. Laert. II 93-95)."
"Фильм стал финансовым разочарованием, собрав 179 млн долл. во всём мире и оказавшись наим. прибыльным из серии.","Фильм стал финансовым разочарованием, собрав 179 миллионов долларов во всём мире и оказавшись наименее прибыльным из серии."
"Общий бюджет фильма оценивается в 110 млн долл. США.","Общий бюджет фильма оценивается в 110 миллионов долларов США."
"Общие низкие сборы фильма — 66 млн долл. в США и 113 млн в иных странах (425 млн руб. в СНГ; 1.7 млн зрителей) не позволили студии сохранить формат следующей части «Дивергент, глава 4: Асцендент».","Общие низкие сборы фильма — 66 миллионов долларов в США и 113 миллионов в иных странах (425 млн рублей в СНГ; 1.7 млн зрителей) не позволили студии сохранить формат следующей части «Дивергент, глава 4: Асцендент»."
"Ему было назначено содержание: пенсия — 10 тыс. руб., жалование пожизн. — 8 тыс. руб. и два с половиной надела земли — один под Анапой, др. близ Пятигорска.","Ему было назначено содержание: пенсия — 10 тысяч рублей, жалование пожизненное — 8 тысяч рублей и два с половиной надела земли — один под Анапой, другой близ Пятигорска."
"Была достойна восхищения и его двухэтажная водяная мельница на реке Кума, и его винокуренный завод, к-рый обошёлся хозяину в 70 тыс. руб..","Была достойна восхищения и его двухэтажная водяная мельница на реке Кума, и его винокуренный завод, который обошёлся хозяину в 70 тысяч рублей."
"// «Из номера в номер» — 1993.","// «Из номера в номер» — 1993."
"Курское изд. «моск. комсомолец Черноземье» писало, что в ноябре 2022 года на эти работы было подписано три госконтракта на 12 млрд руб..","Курское издание «Московский комсомолец Черноземье» писало, что в ноябре 2022 года на эти работы было подписано три госконтракта на 12 млрд рублей."
