question,answer
"Скандинавский производственный комплекс VIII в из Старой Ладоги","Скандинавский производственный комплекс VIII века из Старой Ладоги"
"Численность населения составляет более 117400 чел..","Численность населения составляет более 117400 человек."
"Население Евлахского района в 1939 г:","Население Евлахского района в 1939 году:"
"Население Евлахского района в 1959 г:","Население Евлахского района в 1959 году:"
"В гг существования Азербайджанской Советской Социалистической Республики, здесь имелись табачно-ферментационные заводы, элеватор, комбикормовый завод, молочный завод и хлопкоочистительный комбинат.","В годы существования Азербайджанской Советской Социалистической Республики, здесь имелись табачно-ферментационные заводы, элеватор, комбикормовый завод, молочный завод и хлопкоочистительный комбинат."
"В 2009 г провёл 5 матчей за «Николаев», затем 10 матчей в первенстве Казахстана за «Кайсар».","В 2009 году провёл 5 матчей за «Николаев», затем 10 матчей в первенстве Казахстана за «Кайсар»."
"Вместе с юношеской сборной до 19 лет дошёл до финала чемпионата Европы в 2000 г в Германии.","Вместе с юношеской сборной до 19 лет дошёл до финала чемпионата Европы в 2000 году в Германии."
"В 2001 г играл на чемпионате мира U-20 в Аргентине, где Украина вышла в 1/8 финала.","В 2001 году играл на чемпионате мира U-20 в Аргентине, где Украина вышла в 1/8 финала."
"Таити последний раз участвовал в 1965 г.","Таити последний раз участвовал в 1965 году."
"Чили последний раз участвовал в 1969 г.","Чили последний раз участвовал в 1969 году."
"Парагвай последний раз участвовал в 1972 г.","Парагвай последний раз участвовал в 1972 году."
"Кипр последний раз участвовал в 1973 г.","Кипр последний раз участвовал в 1973 году."
"Ямайка и Испания последний раз участвовали в 1975 г.","Ямайка и Испания последний раз участвовали в 1975 году."
"Население по переписи 2001 года составляет 590 чел..","Население по переписи 2001 года составляет 590 человек."
"род. в рабочей семье в провинции Перник.","Родился в рабочей семье в провинции Перник."
"С 1936 года вступил в Рабочий молодёжный союз (РМС), а в 1939 г стал членом регионального комитета.","С 1936 года вступил в Рабочий молодёжный союз (РМС), а в 1939 году стал членом регионального комитета."
"В 1941 г был призван в армию, откуда в 1943 г бежал.","В 1941 году был призван в армию, откуда в 1943 году бежал."
"В том же г вступил в подпольную Болгарскую коммунистическую партию и был заочно приговорён к смертной казни.","В том же году вступил в подпольную Болгарскую коммунистическую партию и был заочно приговорён к смертной казни."
"В 1944 г был арестован, но бежал во время бомбардировок в марте того же года.","В 1944 году был арестован, но бежал во время бомбардировок в марте того же года."
"С октября 1944 по 1945 г был заведующим отделом культурно-воспитательной работы в областном комитете РМС.","С октября 1944 по 1945 год был заведующим отделом культурно-воспитательной работы в областном комитете РМС."
"В 1945—1950 гг — секретарь по организационным вопросам Димитровского коммунистического молодёжного союза, в 1950—1952 гг первым секретарем районной организации БКП в Бургасе.","В 1945—1950 годах — секретарь по организационным вопросам Димитровского коммунистического молодёжного союза, в 1950—1952 годах первым секретарем районной организации БКП в Бургасе."
"С 1961 по 1988 г входил в состав Политбюро ЦК БКП и занимал ряд правительственных постов.","С 1961 по 1988 год входил в состав Политбюро ЦК БКП и занимал ряд правительственных постов."
"Затем он стал председателем парламента и занимал эту должность до первых многопартийных выборов в 1990 г.","Затем он стал председателем парламента и занимал эту должность до первых многопартийных выборов в 1990 году."
"Принял участие в отстранении лидера партии Тодора Живкова от должности в 1989 г.","Принял участие в отстранении лидера партии Тодора Живкова от должности в 1989 году."
"Он получил место в парламенте на выборах, но ушёл в отставку в том же г по состоянию здоровья.","Он получил место в парламенте на выборах, но ушёл в отставку в том же году по состоянию здоровья."
"В 1990 г был включён в Высший Совет БСП, но в конце года принял решение об уходе из политической жизни.","В 1990 году был включён в Высший Совет БСП, но в конце года принял решение об уходе из политической жизни."
"По переписи 2002 года население — 28 чел. (13 мужчин, 15 женщин).","По переписи 2002 года население — 28 человек (13 мужчин, 15 женщин)."
