question,answer
"жалоба на Гофреда де Сердань, архиепископа Нарбонны, которую Беренгар написал в 1046 г папскому легату;","жалоба на Гофреда де Сердань, архиепископа Нарбонны, которую Беренгар написал в 1046 году папскому легату;"
"В 1049 г подарил итальянскому монастырю Святого Михаила в Монт-де-ла-Клюсе сеньорию Монблоре в Лигурии, которую его предок Матфред выменял у графа Раймонда Тулузского.","В 1049 году подарил итальянскому монастырю Святого Михаила в Монт-де-ла-Клюсе сеньорию Монблоре в Лигурии, которую его предок Матфред выменял у графа Раймонда Тулузского."
"В 1066 г Беренгер (или его сын Бернар) заключил мировое соглашение с архиепископом Нарбонна, завершившее давнюю тяжбу.","В 1066 году Беренгер (или его сын Бернар) заключил мировое соглашение с архиепископом Нарбонна, завершившее давнюю тяжбу."
"Вероятно, вскоре он ум., так как был уже в очень преклонном возрасте.","Вероятно, вскоре он умер, так как был уже в очень преклонном возрасте."
"Свен Торгрен род. 4 октября 1994 года в коммуне Соллентуна, Швеция, в семье Магнуса и Маргареты Торгрен.","Свен Торгрен родился 4 октября 1994 года в коммуне Соллентуна, Швеция, в семье Магнуса и Маргареты Торгрен."
"В 2010 г получил лицензию FIS и 30 октября 2010 года провел свою первую гонку на этапе Кубке мира в Лондоне, став 16-м в биг-эйре.","В 2010 году получил лицензию FIS и 30 октября 2010 года провел свою первую гонку на этапе Кубке мира в Лондоне, став 16-м в биг-эйре."
"В 2011 г Свен Торгрен принял участие в Чемпионате мира по сноуборду в Ла-Молине.","В 2011 году Свен Торгрен принял участие в Чемпионате мира по сноуборду в Ла-Молине."
"В 2014 г Свен Торгрен принял участие в соревнованиях по слоупстайлу на Олимпиаде в Сочи.","В 2014 году Свен Торгрен принял участие в соревнованиях по слоупстайлу на Олимпиаде в Сочи."
"В 2015 г на всемирных экстремальных играх в Аспене стал 3-м слоупстайле.","В 2015 году на всемирных экстремальных играх в Аспене стал 3-м слоупстайле."
"В 2017 г Свен Торгрен стал 6-м в биг-эйре на Чемпионате мира по сноуборду в испанской Сьерра-Неваде и выиграл золото в слоупстайле на всемирных экстремальных играх в норвежском Хафьеле.","В 2017 году Свен Торгрен стал 6-м в биг-эйре на Чемпионате мира по сноуборду в испанской Сьерра-Неваде и выиграл золото в слоупстайле на всемирных экстремальных играх в норвежском Хафьеле."
"Юрий Николаевич Волков род. 1 февраля 1940 года в Иркутске.","Юрий Николаевич Волков родился 1 февраля 1940 года в Иркутске."
"В 1967 г стал бронзовым призёром чемпионата СССР.","В 1967 году стал бронзовым призёром чемпионата СССР."
"В 1974 г вернулся в Иркутск, где стал работать тренером.","В 1974 году вернулся в Иркутск, где стал работать тренером."
"С 1979 по 1983 г был старшим тренером сборной СССР по прыжкам с шестом.","С 1979 по 1983 год был старшим тренером сборной СССР по прыжкам с шестом."
"С 1985 по 2000 г тренировал спортсменов в Киеве, Краснодаре, Австралии, Мексике, США.","С 1985 по 2000 год тренировал спортсменов в Киеве, Краснодаре, Австралии, Мексике, США."
"В 2000 г вернулся работать в Иркутск.","В 2000 году вернулся работать в Иркутск."
"Голотип был собран на востоке штата Западная Австралия, ещё четыре экз. — в Большой пустыне Виктория.","Голотип был собран на востоке штата Западная Австралия, ещё четыре экземпляра — в Большой пустыне Виктория."
"В пищеварительном тракте известных экз. находили мелких млекопитающих — ложную мышь (Pseudomys sp.), тушканчиковую мышь Notomys alexis, а также узконогих сумчатых мышей (Sminthopsis sp.).","В пищеварительном тракте известных экземпляров находили мелких млекопитающих — ложную мышь (Pseudomys sp.), тушканчиковую мышь Notomys alexis, а также узконогих сумчатых мышей (Sminthopsis sp.)."
"Относительно неагрессивный, при появлении чел. поднимает голову и наблюдает, а не принимает защитную позу или убегает.","Относительно неагрессивный, при появлении человека поднимает голову и наблюдает, а не принимает защитную позу или убегает."
"род. в поселке Усьва, Пермская область.","Родился в поселке Усьва, Пермская область."
