question,answer
"Уде́льные кня́жества (уде́лы) (от делить) — территории (земли, стороны, страны) на Руси в XII—XVI веках, находившиеся во владении отдельных князей (удельный кн.).","Уде́льные кня́жества (уде́лы) (от делить) — территории (земли, стороны, страны) на Руси в XII—XVI веках, находившиеся во владении отдельных князей (удельный князь)."
"Княжеские уделы возникли на территории Древнерусского гос-ва (Киевской Руси) в период феодальной раздробленности Руси.","Княжеские уделы возникли на территории Древнерусского государства (Киевской Руси) в период феодальной раздробленности Руси."
"По мере роста числа наследников на территории Древней (Киевской) Руси (Русь Северо-Восточная и Русь Северо-Западная) к середине XII вв. образовалось множество отдельных (удельных) княжеств.","По мере роста числа наследников на территории Древней (Киевской) Руси (Русь Северо-Восточная и Русь Северо-Западная) к середине XII века образовалось множество отдельных (удельных) княжеств."
"терр. удельного княжества являлась владением князя.","Территория удельного княжества являлась владением князя."
"Появление удельных княжеств прекратилось в связи с образованием Русского централизованного гос-ва.","Появление удельных княжеств прекратилось в связи с образованием Русского централизованного государства."
"Последнее удельное княжество в Московском царстве — Угличское — было ликвидировано в 1591 г после смерти Дмитрия, сына Ивана IV Васильевича.","Последнее удельное княжество в Московском царстве — Угличское — было ликвидировано в 1591 году после смерти Дмитрия, сына Ивана IV Васильевича."
"В Великом княжестве Литовском отдельные удельные княжества просуществовали до конца XVIII вв.","В Великом княжестве Литовском отдельные удельные княжества просуществовали до конца XVIII века."
"По В. О. Ключевскому, понятие «удел» появилось в исторических документах позднее XII вв.:","По В. О. Ключевскому, понятие «удел» появилось в исторических документах позднее XII века:"
"Уделами назывались те княжества, на которые распалась Северо-Восточная, верхневолжская Русь с XIII вв., за исключением княжества Владимирского, что значит — были княжества младших князей.","Уделами назывались те княжества, на которые распалась Северо-Восточная, верхневолжская Русь с XIII века, за исключением княжества Владимирского, что значит — были княжества младших князей."
"Самый этот термин «удел» становится известен в памятниках только с XIV вв.","Самый этот термин «удел» становится известен в памятниках только с XIV века."
"Служилый кн.","Служилый князь"
": тип. М. О. Вольфа, 1880—1882.",": Типография М. О. Вольфа, 1880—1882."
"Церковно-уставные грамоты удельных князей XII вв. // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.).","Церковно-уставные грамоты удельных князей XII века // Энциклопедический словарь Брокгауза и Ефрона : в 86 т. (82 т. и 4 доп.)."
"Удельно-вечевой период // м. энциклопедический словарь Брокгауза и Ефрона.","Удельно-вечевой период // Малый энциклопедический словарь Брокгауза и Ефрона."
"Ростовские и Белозерские удельные князья // рус. биогр. словарь : в 25 томах.","Ростовские и Белозерские удельные князья // Русский биографический словарь : в 25 томах."
"Дорогобужские удельные князья // рус. биогр. словарь : в 25 томах.","Дорогобужские удельные князья // Русский биографический словарь : в 25 томах."
"Смоленские удельные князья // рус. биогр. словарь : в 25 томах.","Смоленские удельные князья // Русский биографический словарь : в 25 томах."
"Стародубские (удельные князья) // рус. биогр. словарь : в 25 томах.","Стародубские (удельные князья) // Русский биографический словарь : в 25 томах."
"Удельное княжество — статья из б. советской энциклопедии.","Удельное княжество — статья из Большой советской энциклопедии."
"/ В. Д. Назаров // Большая рос. энциклопедия : [в 35 т.] / гл. ред. Ю. С. Осипов.","/ В. Д. Назаров // Большая российская энциклопедия : [в 35 т.] / гл. ред. Ю. С. Осипов."
"— М. : Большая рос. энциклопедия, 2004—2017.","— М. : Большая российская энциклопедия, 2004—2017."
