question,answer
"с. находится в юго-восточной части Рязанской области, в лесостепной зоне, в пределах Окско-Донской равнины, к западу от автодороги 61К-012, на расстоянии примерно 5 км (по прямой) к северо-западу от города Шацка, административного центра района.","Село находится в юго-восточной части Рязанской области, в лесостепной зоне, в пределах Окско-Донской равнины, к западу от автодороги 61К-012, на расстоянии примерно 5 километров (по прямой) к северо-западу от города Шацка, административного центра района."
"Абсолютная выс. — 148 м над уровнем моря.","Абсолютная высота — 148 метров над уровнем моря."
"В 1960 г его прах перезахоронен в братскую могилу в сквере в центре посёлка городского типа — с 1983 года и города Каменец Каменецкого района Брестской области Белоруссии, — в которой покоятся 1544 воина Красной Армии и 68 партизан, и над которой в 1975 г возведён железобетонный монумент со скульптурной фигурой скорбящего воина, высотой одиннадцать м.","В 1960 году его прах перезахоронен в братскую могилу в сквере в центре посёлка городского типа — с 1983 года и города Каменец Каменецкого района Брестской области Белоруссии, — в которой покоятся 1544 воина Красной Армии и 68 партизан, и над которой в 1975 году возведён железобетонный монумент со скульптурной фигурой скорбящего воина, высотой одиннадцать метров."
"Сражения были сняты на пустынном пляже в нескольких км от мексиканского курорта Кабо-Сан-Лукас.","Сражения были сняты на пустынном пляже в нескольких километрах от мексиканского курорта Кабо-Сан-Лукас."
"Он имел высоту 11,4 м и весил 11 тонн.","Он имел высоту 11,4 метра и весил 11 тонн."
"д. находится в восточной части Псковской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Шелони, на расстоянии примерно 11 км (по прямой) к северо-западу от посёлка городского типа Дедовичи, административного центра района.","Деревня находится в восточной части Псковской области, в зоне хвойно-широколиственных лесов, на правом берегу реки Шелони, на расстоянии примерно 11 километров (по прямой) к северо-западу от посёлка городского типа Дедовичи, административного центра района."
"Птицы имели огромные размеры: размах крыльев от 3,5 м, масса ок. 15 кг.","Птицы имели огромные размеры: размах крыльев от 3,5 метров, масса около 15 кг."
"дл. реки составляет 23 км.","Длина реки составляет 23 километра."
"выс. истока — ок. 240 м над уровнем моря.","Высота истока — около 240 метров над уровнем моря."
"шир. реки в нижнем течении до 18 м, глубина до 0,5 м.","Ширина реки в нижнем течении до 18 метров, глубина до 0,5 метра."
"Впадает в Межу в 211 км от её устья.","Впадает в Межу в 211 километрах от её устья."
"с. расположено в южной части района, на берегу озера Сарыколь, на расстоянии примерно 71 км (по прямой) к юго-западу от административного центра района — города Щучинск, в 12 км к юго-западу от административного центра сельского округа — села Веденовка.","Село расположено в южной части района, на берегу озера Сарыколь, на расстоянии примерно 71 километров (по прямой) к юго-западу от административного центра района — города Щучинск, в 12 километрах к юго-западу от административного центра сельского округа — села Веденовка."
"Абсолютная выс. — 404 м над уровнем моря.","Абсолютная высота — 404 метров над уровнем моря."
"Yseop может писать финансовые отчёты, исполнительные резюме, персонализированные продажи или маркетинговые документы и многое другое со скоростью тыс. страниц в с и на нескольких языках, вкл. англ, исп., франц. и нем.","Yseop может писать финансовые отчёты, исполнительные резюме, персонализированные продажи или маркетинговые документы и многое другое со скоростью тысяч страниц в секунду и на нескольких языках, включая английский, испанский, французский и немецкий."
"Населённый пункт расположен рядом с деревней Нижнее Никитино в 3 км на з. от административного центра округа — города Красноуфимск.","Населённый пункт расположен рядом с деревней Нижнее Никитино в 3 километрах на запад от административного центра округа — города Красноуфимск."
"д. находится в восточной части Тверской области, в зоне хвойно-широколиственных лесов, к востоку от автодороги 28Н-1274, на расстоянии примерно 34 км (по прямой) к востоку от посёлка городского типа Рамешки, административного центра округа.","Деревня находится в восточной части Тверской области, в зоне хвойно-широколиственных лесов, к востоку от автодороги 28Н-1274, на расстоянии примерно 34 километров (по прямой) к востоку от посёлка городского типа Рамешки, административного центра округа."
"Абсолютная выс. — 155 м над уровнем моря.","Абсолютная высота — 155 метров над уровнем моря."
"Однако по данным раскопок, Иерусалим в перc. период представлял собой крошечную деревушку размером 150×250 м с населением не больше 400 чел., без всяких укреплений, а городская стена, приписываемая Неемии, построена только во II веке до н. э.","Однако по данным раскопок, Иерусалим в персидский период представлял собой крошечную деревушку размером 150×250 метров с населением не больше 400 человек, без всяких укреплений, а городская стена, приписываемая Неемии, построена только во II веке до н. э."
"дл. реки составляет 2-3 км, с постоянным течением в низовье — 200 м.","Длина реки составляет 2-3 км, с постоянным течением в низовье — 200 метров."
"Исток расположен в лесу в двух км к северо-востоку от Ленинградского ш.","Исток расположен в лесу в двух километрах к северо-востоку от Ленинградского шоссе."
"Водоток пересекает ш. и протекает 600 м по восточной границе Зеленограда.","Водоток пересекает шоссе и протекает 600 метров по восточной границе Зеленограда."
"Далее входит в город и через 150 м впадает в Ржавку.","Далее входит в город и через 150 метров впадает в Ржавку."
"В ста м от устья Левой Ржавки находится родник, к-рый признан памятником природы регионального значения.","В ста метрах от устья Левой Ржавки находится родник, который признан памятником природы регионального значения."
