question,answer
"В своём духовном завещании Тимофей Саввич Морозов просил своих детей 5 % со стоимости всех полученных ими в наследство имений отчислить на помощь неимущим ближним, в том числе 100 тыс. ₽ — на призрение душевнобольных в Москве.","В своём духовном завещании Тимофей Саввич Морозов просил своих детей 5 % со стоимости всех полученных ими в наследство имений отчислить на помощь неимущим ближним, в том числе 100 тыс. рублей — на призрение душевнобольных в Москве."
"Однако, по словам руководства MTV, премия не предусматривает возможность отказа от неё, и Земфира все = считается лауреатом.","Однако, по словам руководства MTV, премия не предусматривает возможность отказа от неё, и Земфира все равно считается лауреатом."
"3 ₽","3 рубля"
"5 ₽","5 рублей"
"10 ₽","10 рублей"
"1.000 ₽","1.000 рублей"
"3.000 ₽","3.000 рублей"
"5.000 ₽","5.000 рублей"
"1.000 ₽","1.000 рублей"
"3.000 ₽","3.000 рублей"
"5.000 ₽","5.000 рублей"
"В начале 1998 года, аналогично деноминации российского ₽, была проведена деноминация ₽ ОТЗ (1000 старых ₽ равнялись 1 новому).","В начале 1998 года, аналогично деноминации российского рубля, была проведена деноминация рубля ОТЗ (1000 старых рублей равнялись 1 новому)."
"3 ₽","3 рубля"
"5 ₽","5 рублей"
"10 ₽","10 рублей"
"10 ₽","10 рублей"
"1.000 ₽","1.000 рублей"
"3.000 ₽","3.000 рублей"
"5.000 ₽","5.000 рублей"
"100 ₽","100 рублей"
"500 ₽","500 рублей"
"1.000 ₽","1.000 рублей"
"3.000 ₽","3.000 рублей"
"5.000 ₽","5.000 рублей"
"В начале 1998 года, аналогично деноминации российского ₽, была проведена деноминация ₽ ОТЗ-2 (1000 старых ₽ равнялись 1 новому).","В начале 1998 года, аналогично деноминации российского рубля, была проведена деноминация рубля ОТЗ-2 (1000 старых рублей равнялись 1 новому)."
"3 ₽","3 рубля"
"5 ₽","5 рублей"
"500 ₽","500 рублей"
"1.000 ₽","1.000 рублей"
"5.000 ₽","5.000 рублей"
"В начале 1998 года, аналогично деноминации российского ₽, была проведена деноминация ₽ завода «Авангард» (1000 старых ₽ равнялись 1 новому).","В начале 1998 года, аналогично деноминации российского рубля, была проведена деноминация рубля завода «Авангард» (1000 старых рублей равнялись 1 новому)."
"2 ₽","2 рубля"
"5 ₽","5 рублей"
"10 ₽","10 рублей"
"50 ₽","50 рублей"
"1.000 ₽","1.000 рублей"
"3.000 ₽","3.000 рублей"
"5.000 ₽","5.000 рублей"
"Первоначально устройство использовались только как адресная книга, куда вводились № телефонов и имена.","Первоначально устройство использовались только как адресная книга, куда вводились номера телефонов и имена."
"Его подписная цена за год составляла 2 ₽ за год с доставкой на дом, практиковалась и бесплатная раздача газеты, развеска на городских рекламных столбах.","Его подписная цена за год составляла 2 рубля за год с доставкой на дом, практиковалась и бесплатная раздача газеты, развеска на городских рекламных столбах."
"Последний № «Ярославского вестника» вышел 28 февраля 1906 года, редактор-издатель благодарил читателей, извинился за финансовую неуспешность.","Последний номер «Ярославского вестника» вышел 28 февраля 1906 года, редактор-издатель благодарил читателей, извинился за финансовую неуспешность."
"Подобное изготовление корсетов приводит к ненужным страданиям пациентов и к отдалённым минимальным результатам ношения корсета, по сравнению с оригинальными корсетами Шено, которые значительно уменьшают дуги искривлений не только на рентгеновском снимке в корсете, а главное приводят к выраженному значительному уменьшению ° искривлений после отмены корсета и красивой симметричной форме спины выросших пациентов.","Подобное изготовление корсетов приводит к ненужным страданиям пациентов и к отдалённым минимальным результатам ношения корсета, по сравнению с оригинальными корсетами Шено, которые значительно уменьшают дуги искривлений не только на рентгеновском снимке в корсете, а главное приводят к выраженному значительному уменьшению градусов искривлений после отмены корсета и красивой симметричной форме спины выросших пациентов."
"Первые готовые № мюзикла (весь первый акт и три песни из второго) под аккомпанемент фортепиано Миранда представил 27 июля 2013 года на студенческом фестивале.","Первые готовые номера мюзикла (весь первый акт и три песни из второго) под аккомпанемент фортепиано Миранда представил 27 июля 2013 года на студенческом фестивале."
"Его научные интересы в те годы включали изучение рыночной циклической экономики НЭПа, движения конъюнктуры и методов сознательного регулирования хозяйственных процессов по схеме «рынок + план», а также анализ оперативной и долгосрочной народнохозяйственной динамики.","Его научные интересы в те годы включали изучение рыночной циклической экономики НЭПа, движения конъюнктуры и методов сознательного регулирования хозяйственных процессов по схеме «рынок плюс план», а также анализ оперативной и долгосрочной народнохозяйственной динамики."
"Цветовая γ определяется сочетанием красного кирпича и белого камня, который нередко образовывал белые полоски, называемые «слоями сала» (нидерл. speklagen).","Цветовая гамма определяется сочетанием красного кирпича и белого камня, который нередко образовывал белые полоски, называемые «слоями сала» (нидерл. speklagen)."
"Песня стала первым синглом реализованным на фирме MCA (каталожный № #40000) после закрытия MCA лейблов Uni, Decca Records, Kapp и Coral.","Песня стала первым синглом реализованным на фирме MCA (каталожный номер #40000) после закрытия MCA лейблов Uni, Decca Records, Kapp и Coral."
"Симпозиумы покрывают такие темы космологии и астрофизики как: γ-всплески и компактные звёзды, космические лучи высоких энергий, тёмная энергия и тёмная материя, общая теория относительности, чёрные дыры и новая физика, относящаяся к космологии.","Симпозиумы покрывают такие темы космологии и астрофизики как: гамма-всплески и компактные звёзды, космические лучи высоких энергий, тёмная энергия и тёмная материя, общая теория относительности, чёрные дыры и новая физика, относящаяся к космологии."
