question,answer
"«Хорн» (нем. Sportverein Horn) — австр. футбольный клуб из города Хорн, земля Нижняя Австрия, выступающий в австрийской Второй лиге.","«Хорн» (нем. Sportverein Horn) — австрийский футбольный клуб из города Хорн, земля Нижняя Австрия, выступающий в австрийской Второй лиге."
"Так как в преддверии Чемпионата Европы 2008 в Австрии в кубке участвовали только любительские и полупрофессиональные команды, то Хорн сумел завоевать этот престижный трофей, хотя за г до этого добрался только до стадии четвертьфинала.","Так как в преддверии Чемпионата Европы 2008 в Австрии в кубке участвовали только любительские и полупрофессиональные команды, то Хорн сумел завоевать этот престижный трофей, хотя за год до этого добрался только до стадии четвертьфинала."
"Целью компании «Honda ESTILO» было возвращение клуба в высш. дивизион Австрии и участие в Еврокубках.","Целью компании «Honda ESTILO» было возвращение клуба в высший дивизион Австрии и участие в Еврокубках."
"В команду было инвестировано более двух млн евро, а также привлечены японские спонсоры.","В команду было инвестировано более двух миллионов евро, а также привлечены японские спонсоры."
"Несмотря на успехи клуба, связ. с приходом инвесторов, среди болельщиков была распространена критика команды за утраченную идентичность клуба.","Несмотря на успехи клуба, связанный с приходом инвесторов, среди болельщиков была распространена критика команды за утраченную идентичность клуба."
"офиц. сайт клуба (нем.)","Официальный сайт клуба (нем.)"
"Станция является частью гидросистемы Пангани, к-рый также включает ГЭС Пангани-Фоллс и Хале.","Станция является частью гидросистемы Пангани, которая также включает ГЭС Пангани-Фоллс и Хале."
"Формальное открытие станции состоялось в 1969 г, при этом водохранилище было построено в 1965 г.","Формальное открытие станции состоялось в 1969 году, при этом водохранилище было построено в 1965 году."
"стр-во плотины и гидроэлектростанции было совмещено с расширением сетей в регионе.","Строительство плотины и гидроэлектростанции было совмещено с расширением сетей в регионе."
"В 2003 г японские учёные опубликовали докл., в котором рассмотрели различные аспекты уменьшения уровня воды в реках и водохранилище, а также возможности решения проблемы.","В 2003 году японские учёные опубликовали доклад, в котором рассмотрели различные аспекты уменьшения уровня воды в реках и водохранилище, а также возможности решения проблемы."
"В частности учёные пришли к выводу, что из двух основных рек, впадающих в водохранилище, р. Руву намного сильнее подвержена пересыханию, в то время как р. Кикулетва пересыхает реже и может быть использована для наполнения бассейна реки Руву.","В частности учёные пришли к выводу, что из двух основных рек, впадающих в водохранилище, река Руву намного сильнее подвержена пересыханию, в то время как река Кикулетва пересыхает реже и может быть использована для наполнения бассейна реки Руву."
"Вместе с тем, по мнению организации Earth Report стр-во дамбы велось исключительно ради электрических мощностей и местные проблемы, связанные в частности с окружающей средой, в рассмотрение не брались.","Вместе с тем, по мнению организации Earth Report строительство дамбы велось исключительно ради электрических мощностей и местные проблемы, связанные в частности с окружающей средой, в рассмотрение не брались."
"стр-во дамбы и водохранилища привело к изменению природного ландшафта, что отразилось на местных жителях и привело к конфликтам и трениям среди них по вопросу использования территорий.","Строительство дамбы и водохранилища привело к изменению природного ландшафта, что отразилось на местных жителях и привело к конфликтам и трениям среди них по вопросу использования территорий."
"Для урегулирования ситуации и решения проблем с использованием воды из водохранилища была создана орг-ция Pangani Basin Water Office.","Для урегулирования ситуации и решения проблем с использованием воды из водохранилища была создана организация Pangani Basin Water Office."
"Алекса́ндр Никола́евич Портно́в (5 июля 1947, Южно-Сахалинск — 23 апреля 2010, Иваново) — сов. и рос. философ, специалист в области теории познания, антропологии, семиотики, переводчик философских трудов А. Гелена, М. Бубера, Л. Клагеса, М. Хайдеггера, К. Ясперса, А. Шюца.","Алекса́ндр Никола́евич Портно́в (5 июля 1947, Южно-Сахалинск — 23 апреля 2010, Иваново) — советский и российский философ, специалист в области теории познания, антропологии, семиотики, переводчик философских трудов А. Гелена, М. Бубера, Л. Клагеса, М. Хайдеггера, К. Ясперса, А. Шюца."
"род. 5 июля 1947 года.","Родился 5 июля 1947 года."
"Окончил ф-т иностранных языков Ивановского государственного педагогического института по кафедре романо-германских языков, аспирант кафедры философии Ивановского государственного университета.","Окончил факультет иностранных языков Ивановского государственного педагогического института по кафедре романо-германских языков, аспирант кафедры философии Ивановского государственного университета."
"В 1980 г под научным руководством Н. П. Антонова защитил диссертацию на соискание учёной степени кандидата философских наук по теме «Роль языка в познании и осознании действительности».","В 1980 году под научным руководством Н. П. Антонова защитил диссертацию на соискание учёной степени кандидата философских наук по теме «Роль языка в познании и осознании действительности»."
"С 1991 по 2010 гг. — зав. кафедрой философии Ивановского государственного университета.","С 1991 по 2010 годы — заведующий кафедрой философии Ивановского государственного университета."
"В 1997 г защитил диссертацию на соискание учёной степени доктора философских наук по теме «Взаимосвязь языка и сознания в философии XIX—XX веков: методологич. анализ основных направлений исследования».","В 1997 году защитил диссертацию на соискание учёной степени доктора философских наук по теме «Взаимосвязь языка и сознания в философии XIX—XX веков: методологический анализ основных направлений исследования»."
"В 2001 г присвоено учёное звание профессора.","В 2001 году присвоено учёное звание профессора."
"чл. Учёного совета ИвГУ, предс. докторского диссертационного совета Д. 212.062.01 по философским наукам (1999—2010), предс. Ивановского отделения Российского философского общества (2004—2010), зам. руководителя Ивановского регионального отделения Научного Совета РАН по методологии искусственного интеллекта чл. диссертационного совета по филологическим наукам, преподавал в ИГХТУ, ИГЭУ, в других вузах Иваново.","Член Учёного совета ИвГУ, Председатель докторского диссертационного совета Д. 212.062.01 по философским наукам (1999—2010), Председатель Ивановского отделения Российского философского общества (2004—2010), заместитель руководителя Ивановского регионального отделения Научного Совета РАН по методологии искусственного интеллекта член диссертационного совета по филологическим наукам, преподавал в ИГХТУ, ИГЭУ, в других вузах Иваново."
"Изучена проблема развития «яз. и сознание» в философии XVIII—XX вв.","Изучена проблема развития «язык и сознание» в философии XVIII—XX вв."
"— 4-е изд., перераб. и доп. — М.: академич. проект, 2002.","— 4-е изд., перераб. и доп. — М.: Академический проект, 2002."
"Памяти Александра Николаевича Портнова // изв. высших учебных заведений.","Памяти Александра Николаевича Портнова // Известия высших учебных заведений."
"ж. социально—гуманитарных исследований.","Журнал социально—гуманитарных исследований."
"Неизреченное слово: (мемор. сб., посвященный профессору Александру Николаевичу Портнову).","Неизреченное слово: (мемориальный сборник, посвященный профессору Александру Николаевичу Портнову)."
"Решетнёвские чте́ния — междунар. научно-практическая конф., проводимая Сибирским государственным аэрокосмическим университетом, АО «Информационные спутниковые системы» и АО «Красноярский машиностроительный завод».","Решетнёвские чте́ния — международная научно-практическая конференция, проводимая Сибирским государственным аэрокосмическим университетом, АО «Информационные спутниковые системы» и АО «Красноярский машиностроительный завод»."
"Участие в проведении конференции принимают Красноярский науч. центр СО РАН, Красноярский краевой фонд науки и ЦКБ «Геофизика».","Участие в проведении конференции принимают Красноярский научный центр СО РАН, Красноярский краевой фонд науки и ЦКБ «Геофизика»."
"Мероприятие проводится по решению учёного совета № 2 от 26 февраля 1997 года каждый г 10 ноября — в день рождения советского конструктора-ракетчика Михаила Фёдоровича Решетнёва.","Мероприятие проводится по решению учёного совета № 2 от 26 февраля 1997 года каждый год 10 ноября — в день рождения советского конструктора-ракетчика Михаила Фёдоровича Решетнёва."
"Участие в конференции принимают специалисты предприятий аэрокосмической отрасли, науч. сотрудники и преподаватели, а также соискатели учёных степеней и студенты российских и зарубежных вузов.","Участие в конференции принимают специалисты предприятий аэрокосмической отрасли, научные сотрудники и преподаватели, а также соискатели учёных степеней и студенты российских и зарубежных вузов."
"Решетнёвские чтения замышлялись как мероприятие, посв. памяти знаменитого советского и российского конструктора Михаила Решетнёва, скончавшегося в 1996 г.","Решетнёвские чтения замышлялись как мероприятие, посвящённое памяти знаменитого советского и российского конструктора Михаила Решетнёва, скончавшегося в 1996 году."
"Впервые в 2001-2003 гг. в Решетнёвских чтениях стали принимать участие видные учёные Красноярского края и других регионов России.","Впервые в 2001-2003 годы в Решетнёвских чтениях стали принимать участие видные учёные Красноярского края и других регионов России."
"В 2004 г (VIII-ая конф.) формат чтений был снова изменён оргкомитетом.","В 2004 году (VIII-ая конференция) формат чтений был снова изменён оргкомитетом."
"Такое расширение привело к тому, что в 2005 г конф. была объявлена международной.","Такое расширение привело к тому, что в 2005 году конференция была объявлена международной."
"На момент создания Решетнёвских чтений работало 5 секций, в 2004 их число возросло вдвое, в 2008 — почти вчетверо, на 2012 г существует 22 секции.","На момент создания Решетнёвских чтений работало 5 секций, в 2004 их число возросло вдвое, в 2008 — почти вчетверо, на 2012 год существует 22 секции."
"С 2000-х и по наст. время работа докладчиков становится не только теоретической, но и практической.","С 2000-х и по настоящее время работа докладчиков становится не только теоретической, но и практической."
"Выступления многих участников конференций, таких как Александр Лазуткин (работа над темой «совр. состояние и перспективы развития космонавтики»), Владимир Халиманович («Основные направления совершенствования экспериментальной отработки космических аппаратов»), Владимир Клешков («Утилизация ракетно-космической техники») и Валерий Владимиров («Дистанционное зондирование земли в практической жизни»), получили высокую оценку в научном сообществе и нашли своё практическое применение в различных организациях.","Выступления многих участников конференций, таких как Александр Лазуткин (работа над темой «Современное состояние и перспективы развития космонавтики»), Владимир Халиманович («Основные направления совершенствования экспериментальной отработки космических аппаратов»), Владимир Клешков («Утилизация ракетно-космической техники») и Валерий Владимиров («Дистанционное зондирование земли в практической жизни»), получили высокую оценку в научном сообществе и нашли своё практическое применение в различных организациях."
"Основными участниками конференции являются сотрудники аэрокосмического университета, предприятий Красноярска и Железногорска, науч. работники КНЦ СО РАН и его институтов, аспиранты и докторанты, студенты российских и зарубежных вузов.","Основными участниками конференции являются сотрудники аэрокосмического университета, предприятий Красноярска и Железногорска, научные работники КНЦ СО РАН и его институтов, аспиранты и докторанты, студенты российских и зарубежных вузов."
