question,answer
"Устав состоит из нескольких последовательных ° (степеней), организационно относящихся к различным масонским организациям или орденам, каждая из которых осуществляет над ними своё иерархическое управление.","Устав состоит из нескольких последовательных градусов (степеней), организационно относящихся к различным масонским организациям или орденам, каждая из которых осуществляет над ними своё иерархическое управление."
"Более точно, Йоркский устав — это совокупность отдельных масонских орденов и соответствующих им °, по отдельности работавших бы независимо друг от друга.","Более точно, Йоркский устав — это совокупность отдельных масонских орденов и соответствующих им градусов, по отдельности работавших бы независимо друг от друга."
"Королевская арка — первый орден Йоркского устава, в который масон может вступить по достижении ° мастера.","Королевская арка — первый орден Йоркского устава, в который масон может вступить по достижении градуса мастера."
"Масоны, достигшие этого °, могут продолжить продвижение в крипту или прямо к тамплиерам (если разрешено; требования среди юрисдикций различны).","Масоны, достигшие этого градуса, могут продолжить продвижение в крипту или прямо к тамплиерам (если разрешено; требования среди юрисдикций различны)."
"Совет крипты посвящает в четыре обозначенных выше °.","Совет крипты посвящает в четыре обозначенных выше градуса."
"В противоположность стандартной системе °, существующей во всём масонстве, Орден тамплиеров состоит ещё из трёх орденов, + одного «проходного» ордена:","В противоположность стандартной системе градусов, существующей во всём масонстве, Орден тамплиеров состоит ещё из трёх орденов, плюс одного «проходного» ордена:"
"В США этот градус входит в число смежных масонских °.","В США этот градус входит в число смежных масонских градусов."
"В Шотландии градус метки проходят в символической ложе, как логическое завершение ° подмастерья, но для присвоения этого ° требуется, чтобы кандидат был мастером масоном.","В Шотландии градус метки проходят в символической ложе, как логическое завершение градуса подмастерья, но для присвоения этого градуса требуется, чтобы кандидат был мастером масоном."
"В Англии, Европе и Австралазии капитул святой королевской арки должен содержаться символической ложей и иметь одинаковый с ней № (в большинстве случаев — и то же название (титул)); однако, СКА — орден независимый, не связанный с символическими градусами.","В Англии, Европе и Австралазии капитул святой королевской арки должен содержаться символической ложей и иметь одинаковый с ней номер (в большинстве случаев — и то же название (титул)); однако, СКА — орден независимый, не связанный с символическими градусами."
"В таких странах Орден королевской арки состоит из одного ° «королевской арки», хотя для инсталляции трёх основных его офицеров проводится отдельно для каждого одна и та же церемония.","В таких странах Орден королевской арки состоит из одного градуса «королевской арки», хотя для инсталляции трёх основных его офицеров проводится отдельно для каждого одна и та же церемония."
"В качестве компромисса, при слиянии в 1813 году двух противоборствовавших великих лож (одна из них признавала королевскую арку «четвёртым градусом», другая же его игнорировала), английские масоны признают королевскую арку соответствующим «истинному, древнему масонству», но принято, что это не дополнительный градус, а просто логическое завершение третьего °.","В качестве компромисса, при слиянии в 1813 году двух противоборствовавших великих лож (одна из них признавала королевскую арку «четвёртым градусом», другая же его игнорировала), английские масоны признают королевскую арку соответствующим «истинному, древнему масонству», но принято, что это не дополнительный градус, а просто логическое завершение третьего градуса."
"Однако, это было уступкой компромиссу, идущей вразрез обычной масонской (ритуальной) практики, и в конце концов 10 ноября 2004 года (после долгих обсуждений специальной рабочей группой) великим капитулом (на его «регулярном» собрании в Лондоне) был сделан «откат» к прежним традициям ритуальной практики, отринув это положение компромисса; королевская арка была провозглашена отдельным градусом со всеми вытекающими из этого обстоятельствами, хотя и — развитием третьего °.","Однако, это было уступкой компромиссу, идущей вразрез обычной масонской (ритуальной) практики, и в конце концов 10 ноября 2004 года (после долгих обсуждений специальной рабочей группой) великим капитулом (на его «регулярном» собрании в Лондоне) был сделан «откат» к прежним традициям ритуальной практики, отринув это положение компромисса; королевская арка была провозглашена отдельным градусом со всеми вытекающими из этого обстоятельствами, хотя и — развитием третьего градуса."
"Из-за различий в ритуале, масоны в градусе КА из Англии не могут входить в шотландские капитулы КА без прохождения ими этого ° по шотландскому варианту ритуала.","Из-за различий в ритуале, масоны в градусе КА из Англии не могут входить в шотландские капитулы КА без прохождения ими этого градуса по шотландскому варианту ритуала."
"До достижения ° КА кандидат должен быть в градусе метки и превосходного мастера.","До достижения градуса КА кандидат должен быть в градусе метки и превосходного мастера."
"В этой системе три °:","В этой системе три градуса:"
"Членство по приглашению, а кандидаты должны быть в градусе мастера масона, достигшими ° святой королевской арки и принимать принцип святой и неделимой Троицы.","Членство по приглашению, а кандидаты должны быть в градусе мастера масона, достигшими градуса святой королевской арки и принимать принцип святой и неделимой Троицы."
"До войны троллейбус развивался в центре, частично заменяя снятые трамвайные линии по Крещатику и улице Красноармейской, однако приоритет всё = оставался за трамваем.","До войны троллейбус развивался в центре, частично заменяя снятые трамвайные линии по Крещатику и улице Красноармейской, однако приоритет всё равно оставался за трамваем."
"9 апреля 1950 года пущен маршрут № 6 «пл. Л. Толстого — ул. Полевая», который появился вследствие сокращения маршрута № 7 на прежнюю длину и с последующим изменением № маршрута на № 6.","9 апреля 1950 года пущен маршрут № 6 «пл. Л. Толстого — ул. Полевая», который появился вследствие сокращения маршрута № 7 на прежнюю длину и с последующим изменением номера маршрута на № 6."
"Максимальное количество троллейбусных поездов Škoda 9Tr составило 296 единиц эксплуатировалось в Киеве в 1983 году, что составляло 55 % от всего парка киевских троллейбусов.","Максимальное количество троллейбусных поездов Škoda 9Tr составило 296 единиц эксплуатировалось в Киеве в 1983 году, что составляло 55 процентов от всего парка киевских троллейбусов."
"С 8 октября 2014 года троллейбусный маршрут № 46 сменил № на № 50, а 46к — на 50к.","С 8 октября 2014 года троллейбусный маршрут № 46 сменил номер на № 50, а 46к — на 50к."
"Хант заключает с ней сделку: за десять миллионов $ он достанет ей подлинный список агентов.","Хант заключает с ней сделку: за десять миллионов долларов он достанет ей подлинный список агентов."
"Идея третьей схемы квазистационарного реактора, так называемого пробкотрона (=открытой/зеркальной ловушки): пусть остаются две особых точки (концы реактора) и оттуда утекает плазма — если нагрев новой плазмы будет идти быстрее, всё = будет положительный выход энергии.","Идея третьей схемы квазистационарного реактора, так называемого пробкотрона (=открытой/зеркальной ловушки): пусть остаются две особых точки (концы реактора) и оттуда утекает плазма — если нагрев новой плазмы будет идти быстрее, всё равно будет положительный выход энергии."
"Так как числа Бетти двумерной сферы равны 1, 0, 1, 0, 0, …, то число Лефшеца (полный след на гомологии) тождественного отображения = 2.","Так как числа Бетти двумерной сферы равны 1, 0, 1, 0, 0, …, то число Лефшеца (полный след на гомологии) тождественного отображения равно 2."
"Следует серия смешных приключений, включая званый обед, на котором Дживс и Вустер изображают двух «товарищей», причем Дживс демонстрирует познания советских идеологических клише («Коммунизм есть социализм + электрификация всей страны»).","Следует серия смешных приключений, включая званый обед, на котором Дживс и Вустер изображают двух «товарищей», причем Дживс демонстрирует познания советских идеологических клише («Коммунизм есть социализм плюс электрификация всей страны»)."
"Перигелий равен 0,9 а. е., афелий — 2,6 а. е., эксцентриситет — 0,48 и наклонение — 15 ° относительно плоскости эклиптики.","Перигелий равен 0,9 а. е., афелий — 2,6 а. е., эксцентриситет — 0,48 и наклонение — 15 градусов относительно плоскости эклиптики."
"„Измислици за деца“ (Анини приказки, Янини притчи, Джуджето и 7-те снежанки, Рицарят на печалния образ, Най-чудното чудо, Духът на баща Μ) – в три тома, 1999 г.","„Измислици за деца“ (Анини приказки, Янини притчи, Джуджето и 7-те снежанки, Рицарят на печалния образ, Най-чудното чудо, Духът на баща ми) – в три тома, 1999 г."
"„Дяволите в ада ще Μ ръкопляскат.","„Дяволите в ада ще ми ръкопляскат."
"Некоторые матчи (в том числе 1-2 в туре в прямом эфире), а также основную аналитическую передачу канала «90 минут Плюс» (в записи) показывал канал «Спорт +».","Некоторые матчи (в том числе 1-2 в туре в прямом эфире), а также основную аналитическую передачу канала «90 минут Плюс» (в записи) показывал канал «Спорт плюс»."
"По оценке «Спорт-Экспресс», сумма контракта РФПЛ c IMG Media составляет 15 миллионов $ за трехлетний срок соглашения.","По оценке «Спорт-Экспресс», сумма контракта РФПЛ c IMG Media составляет 15 миллионов долларов за трехлетний срок соглашения."
"Франшиза стала одной из наиболее известных в Японии за всю историю, достигнув 1,5 миллиарда $ в продажах за первые три года своего существования.","Франшиза стала одной из наиболее известных в Японии за всю историю, достигнув 1,5 миллиарда долларов в продажах за первые три года своего существования."
"Линейчатая конструкция, имеющая форму однополостного гиперболоида, является жёсткой: если балки соединить шарнирно, гиперболоидная конструкция всё = будет сохранять свою форму под действием внешних сил.","Линейчатая конструкция, имеющая форму однополостного гиперболоида, является жёсткой: если балки соединить шарнирно, гиперболоидная конструкция всё равно будет сохранять свою форму под действием внешних сил."
"Для закрепления успеха в США в 1958 году Bic приобретает за 1 млн $ 60 % доли Waterman Pen Company, старейшей компании по производству перьевых ручек.","Для закрепления успеха в США в 1958 году Bic приобретает за 1 млн долларов 60 % доли Waterman Pen Company, старейшей компании по производству перьевых ручек."
"Многие люди всё = желали видеть в Бундеслиге команду из Берлина и поэтому на следующий сезон в Бундеслиге обосновалась команда «Тасмания 1900», которая в том же сезоне установила главный антирекорд Бундеслиги, выиграв всего два матча, четыре раза сыграв вничью и проиграв двадцать восемь раз при разнице мячей 15:108.","Многие люди всё равно желали видеть в Бундеслиге команду из Берлина и поэтому на следующий сезон в Бундеслиге обосновалась команда «Тасмания 1900», которая в том же сезоне установила главный антирекорд Бундеслиги, выиграв всего два матча, четыре раза сыграв вничью и проиграв двадцать восемь раз при разнице мячей 15:108."
"Число хромосом = 2n = 54.","Число хромосом равно 2n = 54."
"Получил престижный № 10, пришедший на смену 22-му номеру, под которым Илич играл в «Партизане».","Получил престижный номер 10, пришедший на смену 22-му номеру, под которым Илич играл в «Партизане»."
"В 1994 году № с песней Лещенко «Два сердца» поставил Григорий Гурвич в ретроспективном спектакле-ревю «Сто лет кабаре» своего московского театра-кабаре «Летучая Мышь».","В 1994 году номер с песней Лещенко «Два сердца» поставил Григорий Гурвич в ретроспективном спектакле-ревю «Сто лет кабаре» своего московского театра-кабаре «Летучая Мышь»."
"После даты назначения или освобождения от должности стоит № соответствующего указа президента Российской Федерации.","После даты назначения или освобождения от должности стоит номер соответствующего указа президента Российской Федерации."
"Исполнял партии в балетах русских, советских и зарубежных композиторов, а также танцевальные № в оперных спектаклях.","Исполнял партии в балетах русских, советских и зарубежных композиторов, а также танцевальные номера в оперных спектаклях."
"По официальным данным, на каждых выборах ФДСЕ получал не менее 97 % голосов.","По официальным данным, на каждых выборах ФДСЕ получал не менее 97 процентов голосов."
"В течение следующих 5 лет на территорию национального парка было потрачено 10 миллионов $ при финансовой поддержке фонда Говарда Баффета.","В течение следующих 5 лет на территорию национального парка было потрачено 10 миллионов долларов при финансовой поддержке фонда Говарда Баффета."
"В 2017 парк посетило около 37 тысяч человек и принесло парку 1.6 миллиона $.","В 2017 парк посетило около 37 тысяч человек и принесло парку 1.6 миллиона долларов."
"В 2018 году это число выросло до 44 тысяч и парк заработал 2 миллиона $.","В 2018 году это число выросло до 44 тысяч и парк заработал 2 миллиона долларов."
"В 2019 году парк заработал 2.2 миллиона $, и его посетило около 49 тысяч человек.","В 2019 году парк заработал 2.2 миллиона долларов, и его посетило около 49 тысяч человек."
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн."
"Так, тюменские спортсмены смогут получить 3,5 млн ₽ за золото, 2,5 млн за серебро, 1,5 млн за бронзу; южноуральские спортсмены получат 3 млн ₽ за золото, 2 млн за серебро, 1 млн за бронзу; спортсмены из ХМАО — Югры получат 7 млн ₽ за золото, 5 млн за серебро, 3 млн за бронзу.","Так, тюменские спортсмены смогут получить 3,5 млн рублей за золото, 2,5 млн за серебро, 1,5 млн за бронзу; южноуральские спортсмены получат 3 млн рублей за золото, 2 млн за серебро, 1 млн за бронзу; спортсмены из ХМАО — Югры получат 7 млн рублей за золото, 5 млн за серебро, 3 млн за бронзу."
"По итогам Олимпиады, по оценкам Международной профессиональной ассоциацией журналистов (AIPS), Россия наградила своих спортсменов бонусами на общую сумму 5,802 млн $.","По итогам Олимпиады, по оценкам Международной профессиональной ассоциацией журналистов (AIPS), Россия наградила своих спортсменов бонусами на общую сумму 5,802 млн долларов."
