"abbreviation","3"
"г","17512"
"к-рый","4828"
"чел.","3072"
"т.","2213"
"дек.","1758"
"ок.","1646"
"ч.","1606"
"гг","1624"
"вв.","1523"
"неск.","1451"
"гг.","1305"
"род.","1154"
"м.","1057"
"назв.","995"
"с.","967"
"им.","961"
"напр.","933"
"д.","965"
"сов.","919"
"нас.","863"
"кн.","785"
"тыс.","785"
"кол-во","806"
"офиц.","818"
"рос.","772"
"р-н","708"
"наиб.","719"
"гос.","660"
"рус.","656"
"мн.","655"
"гл.","634"
"б.","638"
"чл.","625"
"ум.","598"
"мир.","598"
"пл.","619"
"нац.","558"
"ин-т","529"
"впосл.","524"
"вкл.","501"
"млн","473"
"гр.","440"
"долл.","425"
"мон.","421"
"изв.","432"
"моск.","416"
"ж.","416"
"др.","416"
"амер.","414"
"нач.","401"
"пр-во","402"
"гос-ва","392"
"посл.","379"
"яз.","391"
"ун-т","351"
"стр-во","366"
"междунар.","344"
"през.","366"
"дл.","353"
"пос.","345"
"зол.","342"
"быв.","342"
"единств.","340"
"отд.","344"
"р.","329"
"пам.","325"
"вел.","311"
"зам.","301"
"респ.","287"
"в.","307"
"предс.","307"
"полит.","294"
"выс.","301"
"след.","289"
"произ-во","291"
"гор.","290"
"сб.","279"
"нем.","281"
"реж.","309"
"засл.","288"
"изд.","268"
"историч.","282"
"сев.","285"
"франц.","283"
"науч.","269"
"худ.","289"
"уч-ще","262"
"центр.","265"
"ред.","260"
"зап.","264"
"дир.","269"
"совр.","230"
"изд-во","238"
"вып.","227"
"нар.","242"
"адм.","244"
"муз.","237"
"руб.","232"
"юж.","213"
"мат-лы","220"
"кон.","217"
"о-в","214"
"вост.","212"
"об-во","199"
"серебр.","197"
"жен.","206"
"имп.","206"
"оз.","198"
"рук-во","201"
"ф-т","201"
"терр.","193"
"располож.","200"
"художеств.","198"
"газ.","180"
"муницип.","178"
"мл.","172"
"вопр.","180"
"бронз.","172"
"англ","186"
"б-ка","180"
"иск-во","188"
"секр.","168"
"дет.","158"
"орг-ция","171"
"биогр.","165"
"св.","164"
"брит.","169"
"гос-во","162"
"укр.","171"
"откр.","154"
"ю.","149"
"собств.","147"
"авг.","146"
"собр.","144"
"рук.","145"
"экз.","140"
"польск.","131"
"мин-во","133"
"врем.","127"
"ж.-д.","130"
"япон.","122"
"созд.","136"
"пост.","128"
"обществ.","132"
"вест.","116"
"посв.","123"
"ш.","113"
"итал.","132"
"архит.","123"
"лит-ра","121"
"творч.","120"
"документ.","106"
"л.","132"
"сообщ.","112"
"высш.","120"
"технич.","108"
"янв.","106"
"окт.","111"
"комис.","105"
"сент.","102"
"лит.","107"
"бр.","103"
"жел.","123"
"иссл.","114"
"сотр.","105"
"кит.","106"
"муж.","104"
"внутр.","102"
"соц.","98"
"кам.","100"
"постр.","103"
"европ.","103"
"зав.","101"
"гражд.","97"
"дерев.","101"
"бар.","101"
"наст.","91"
"швед.","89"
"террит.","93"
"февр.","89"
"з.","91"
"арх-ра","81"
"театр.","85"
"исп.","90"
"рис.","83"
"верх.","82"
"нояб.","82"
"апр.","82"
"сиб.","82"
"летоп.","79"
"рим.","81"
"доп.","89"
"рец.","75"
"обр.","75"
"церк.","72"
"шир.","86"
"дополнит.","76"
"рев.","76"
"опред.","79"
"гал.","76"
"авт.","74"
"докл.","69"
"ленингр.","76"
"пом.","79"
"греч.","84"
"хут.","68"
"сокр.","66"
"тип.","66"
"первонач.","73"
"ниж.","76"
"белорус.","75"
"азерб.","70"
"древн.","71"
"мемор.","68"
"классич.","65"
"груз.","66"
"колл.","65"
"зал.","65"
"букв.","63"
"произв.","69"
"акад.","68"
"связ.","60"
"млрд","58"
"информ.","59"
"академич.","56"
"традиц.","59"
"сотр-во","63"
"внеш.","58"
"просп.","66"
"дол.","58"
"демокр.","56"
"евр.","55"
"австр.","56"
"географич.","52"
"архитект.","61"
"социалистич.","53"
"уник.","51"
"драм.","54"
"пед.","46"
"письм.","47"
"док-т","46"
"прилож.","54"
"религ.","51"
"одноим.","48"
"христ.","47"
"венгер.","48"
"австрал.","46"
"анс.","65"
"общ.","42"
"регион.","48"
"с.-петерб.","46"
"пер.","45"
"действит.","41"
"хоз.","41"
"персон.","40"
"революц.","43"
"философ.","41"
"коммерч.","41"
"б-ца","38"
"пр.","53"
"просв.","37"
"п-ов","41"
"торжеств.","41"
"татар.","37"
"конф.","38"
"фин.","39"
"пгр.","39"
"публ.","35"
"исслед.","40"
"издат.","42"
"краеведч.","36"
"кирп.","36"
"район.","35"
"иностр.","34"
"объед.","35"
"чл.-корр.","35"
"всерос.","35"
"бельг.","34"
"бульв.","32"
"башк.","51"
"строит.","35"
"клб","34"
"самостоят.","31"
"норв.","31"
"яросл.","33"
"петерб.","29"
"араб.","33"
"эт.","32"
"всесоюз.","30"
"болг.","36"
"филологич.","31"
"индивид.","32"
"км","28"
"псевд.","31"
"метал.","28"
"производств.","28"
"прикл.","28"
"слав.","32"
"опубл.","29"
"соч.","29"
"публич.","34"
"урал.","28"
"визант.","29"
"уч.","29"
"республ.","28"
"универс.","26"
"нидерл.","27"
"наб.","24"
"ср.-век.","23"
"искусств.","26"
"м","26"
"голл.","30"
"четв.","24"
"послед.","24"
"образоват.","22"
"сост.","26"
"экологич.","22"
"дис.","24"
"корр.","25"
"эксперимент.","24"
"фактич.","24"
"позд.","19"
"прим.","22"
"дипломатич.","20"
"этнич.","23"
"комм.","20"
"организац.","19"
"заключ.","19"
"уезд.","19"
"илл.","19"
"фундамент.","19"
"иллюстрир.","20"
"печ.","20"
"скульпт.","19"
"перc.","23"
"цв.","20"
"альм.","19"
"азиат.","20"
"крест.","20"
"графич.","24"
"предисл.","17"
"монг.","26"
"декор.","17"
"преп.","23"
"систематич.","15"
"бюлл.","18"
"этнографич.","17"
"археологич.","15"
"разл.","15"
"теоретич.","16"
"специализир.","14"
"наим.","16"
"пожизн.","15"
"тов.","15"
"качеств.","15"
"монумент.","13"
"справоч.","16"
"вспомогат.","16"
"кавказ.","14"
"аналитич.","13"
"переим.","17"
"многочисл.","13"
"правительств.","13"
"кап.","13"
"чечен.","12"
"губ.","14"
"благотворит.","14"
"др.-рус.","13"
"старообрядч.","12"
"экспедиц.","12"
"заруб.","12"
"эмоц.","10"
"стекл.","12"
"сузд.","13"
"т-во","14"
"бум.","14"
"провинц.","10"
"сохр.","12"
"учрежд.","11"
"мрам.","10"
"изобразит.","11"
"испр.","10"
"керамич.","8"
"звук.","8"
"методич.","8"
"купеч.","7"
"идеологич.","10"
"потомств.","7"
"пластич.","10"
"княж.","9"
"см.","7"
"библ.","8"
"социологич.","9"
"послесл.","7"
"будд.","7"
"централиз.","6"
