abbreviation,encounters
г,10741
к-рый,2764
чел.,1918
т.,1426
гг,1062
дек.,960
ч.,957
ок.,940
вв.,901
неск.,851
гг.,830
род.,746
д.,742
сов.,714
м.,685
им.,641
с.,623
рос.,595
назв.,572
нас.,520
напр.,493
рус.,471
офиц.,468
р-н,457
тыс.,449
кол-во,448
наиб.,432
мн.,411
ум.,401
гос.,391
чл.,386
кн.,385
мир.,380
б.,351
гл.,351
амер.,350
ин-т,339
впосл.,336
нац.,332
пл.,331
яз.,293
др.,288
нач.,256
моск.,255
изв.,252
посл.,251
б-ка,244
худ.,244
вел.,238
вкл.,238
ж.,231
гос-ва,230
засл.,230
стр-во,228
гор.,220
гр.,219
млн,218
в.,212
отд.,210
дл.,209
пос.,207
зол.,206
единств.,203
реж.,201
междунар.,198
пам.,197
ун-т,194
быв.,193
дир.,192
долл.,190
науч.,187
франц.,186
полит.,182
след.,180
р.,178
выс.,173
адм.,168
изд.,168
изд-во,167
през.,165
пр-во,157
сб.,157
об-во,156
нем.,156
нар.,153
центр.,152
зап.,151
историч.,151
сев.,149
газ.,149
укр.,148
о-в,147
предс.,145
зам.,144
совр.,143
акад.,141
уч-ще,137
художеств.,137
руб.,136
англ,136
брит.,136
муз.,128
мл.,127
мат-лы,127
мон.,124
серебр.,124
рук.,123
иск-во,121
л.,121
юж.,120
имп.,120
ред.,116
терр.,114
рук-во,114
респ.,111
вып.,111
произ-во,111
оз.,110
ф-т,110
секр.,110
муницип.,107
обществ.,106
располож.,102
гос-во,101
бронз.,101
дет.,101
творч.,100
кон.,99
лит.,99
орг-ция,97
вост.,96
жен.,95
чуваш.,93
откр.,92
вопр.,92
з.,91
ж.-д.,89
комис.,89
собр.,88
лит-ра,88
св.,87
окт.,86
архит.,82
итал.,82
сотр.,80
созд.,76
технич.,76
сообщ.,75
собств.,75
ю.,74
исп.,72
зав.,71
иссл.,71
биогр.,71
авг.,71
экз.,71
гражд.,70
религ.,69
жел.,69
театр.,68
муж.,67
япон.,67
польск.,65
рим.,63
кит.,63
посв.,62
бр.,61
кам.,61
пост.,60
древн.,59
европ.,59
террит.,59
доп.,59
рис.,59
апр.,58
постр.,58
греч.,57
хут.,57
пер.,57
наст.,56
шир.,56
ш.,56
перc.,56
вест.,55
высш.,54
пом.,54
внутр.,53
дерев.,52
бар.,52
произв.,51
белорус.,51
ниж.,50
связ.,50
мин-во,50
колл.,50
сиб.,50
чл.-корр.,50
авт.,50
врем.,49
нояб.,47
летоп.,47
швед.,46
арх-ра,46
просп.,46
букв.,45
дополнит.,45
анс.,45
янв.,43
февр.,43
обр.,43
мемор.,42
опред.,41
соц.,41
слав.,40
документ.,40
докл.,39
демокр.,39
сент.,38
издат.,38
уч.,37
регион.,37
дол.,37
ленингр.,37
груз.,37
евр.,36
республ.,36
первонач.,35
уник.,35
тип.,35
классич.,34
традиц.,34
драм.,33
австр.,33
рец.,33
архитект.,32
гал.,32
церк.,32
псевд.,31
географич.,31
пед.,31
сокр.,30
фин.,30
араб.,30
краеведч.,30
революц.,29
хоз.,29
сотр-во,29
публич.,29
млрд,29
действит.,28
верх.,28
коммерч.,28
наб.,28
австрал.,27
одноим.,27
письм.,27
самостоят.,26
христ.,26
татар.,26
академич.,26
прилож.,26
башк.,25
корр.,24
бульв.,24
соч.,24
информ.,24
азерб.,24
иностр.,24
торжеств.,23
конф.,23
общ.,23
философ.,22
объед.,22
петерб.,22
с.-петерб.,22
внеш.,22
зал.,22
социалистич.,22
якут.,22
рев.,22
п-ов,21
б-ца,21
образоват.,21
исслед.,21
клб,21
голл.,21
бельг.,20
нидерл.,20
док-т,20
дис.,20
сост.,19
иллюстрир.,19
эксперимент.,19
т-во,19
болг.,19
пр.,18
эт.,18
археологич.,18
яросл.,18
библ.,18
комм.,18
венгер.,17
всесоюз.,17
четв.,17
визант.,17
кап.,16
губ.,16
публ.,16
дипломатич.,16
наим.,15
строит.,15
тематич.,15
фактич.,15
км,15
альм.,15
позд.,15
опубл.,15
разл.,15
искусств.,15
прикл.,15
стан.,14
этнич.,14
кирп.,14
благотворит.,14
персон.,14
пгр.,13
кавказ.,13
илл.,13
всерос.,13
организац.,13
норв.,13
декор.,13
экологич.,12
метал.,11
звук.,11
филологич.,11
урал.,11
эмоц.,11
предисл.,11
индивид.,10
аналитич.,10
район.,10
сохр.,10
прим.,10
ср.-век.,10
теоретич.,10
тов.,10
мрам.,9
м,9
централиз.,9
провинц.,9
др.-рус.,9
послед.,9
универс.,9
заруб.,9
производств.,9
будд.,9
азиат.,9
пожизн.,8
флам.,8
княж.,8
специализир.,8
редакц.,8
вспомогат.,8
периодич.,8
печ.,8
мордов.,8
многочисл.,8
преп.,8
скульпт.,8
монг.,8
драг.,8
систематич.,7
правительств.,7
методич.,7
