abbreviation,encounters
г,9370
к-рый,2371
чел.,1502
т.,1232
дек.,936
ч.,855
гг,843
вв.,823
ок.,821
неск.,733
гг.,705
д.,582
род.,576
р-н,569
им.,516
сов.,515
назв.,512
с.,484
нас.,475
кол-во,459
напр.,452
м.,451
рос.,437
кн.,400
офиц.,388
рус.,384
наиб.,375
чл.,360
тыс.,350
б.,349
гл.,345
мн.,322
гос.,319
ум.,303
ин-т,300
пл.,298
мир.,291
впосл.,285
млн,283
изв.,277
нац.,267
вкл.,266
ун-т,257
моск.,252
амер.,251
долл.,249
яз.,246
ж.,245
др.,220
адм.,219
нач.,214
пос.,206
гр.,204
гос-ва,198
гор.,198
дл.,194
стр-во,188
выс.,187
зол.,183
посл.,181
зам.,180
реж.,180
междунар.,179
отд.,173
науч.,172
единств.,170
быв.,168
засл.,163
р.,161
след.,159
през.,159
худ.,155
нем.,155
франц.,154
предс.,154
дир.,148
сев.,147
в.,145
руб.,141
пр-во,140
полит.,135
нар.,135
пам.,135
совр.,134
о-в,133
вел.,129
историч.,129
уч-ще,127
изд.,127
об-во,127
мин-во,126
произ-во,123
англ,123
зап.,122
брит.,120
центр.,116
серебр.,112
сб.,112
укр.,112
изд-во,110
гос-во,108
вопр.,108
юж.,106
муницип.,106
мл.,105
ф-т,105
млрд,105
вып.,104
кон.,103
терр.,102
художеств.,101
б-ка,101
рук-во,101
ред.,97
ж.-д.,96
дет.,96
бронз.,94
мон.,94
располож.,93
имп.,93
респ.,93
газ.,93
мат-лы,93
секр.,91
собств.,89
итал.,87
муз.,87
оз.,85
обществ.,84
биогр.,83
окт.,83
вест.,82
орг-ция,80
вост.,80
рук.,80
иск-во,79
созд.,79
акад.,79
жен.,79
сотр.,74
ю.,72
авг.,72
св.,71
технич.,70
архит.,69
откр.,69
польск.,68
рис.,66
собр.,64
жел.,63
ш.,63
творч.,61
бр.,61
гражд.,61
европ.,61
япон.,61
рим.,60
ниж.,60
п-ов,60
иссл.,59
высш.,58
зав.,57
лит.,56
швед.,55
лит-ра,55
постр.,55
дополнит.,54
исп.,53
экз.,53
террит.,51
з.,51
посв.,50
кам.,50
обр.,50
сент.,50
врем.,49
драм.,48
сообщ.,47
шир.,47
конф.,47
мемор.,47
древн.,46
театр.,46
л.,45
ленингр.,45
сокр.,45
бар.,45
хут.,45
пост.,44
дерев.,44
действит.,43
комис.,41
церк.,40
белорус.,40
соц.,39
опред.,39
груз.,39
кит.,39
летоп.,38
янв.,37
христ.,37
традиц.,37
верх.,37
произв.,36
пед.,36
евр.,36
сотр-во,36
гал.,35
тип.,35
документ.,35
письм.,35
академич.,35
муж.,34
нояб.,34
фин.,34
просп.,34
м,33
сиб.,33
греч.,32
пом.,31
австр.,31
пр.,31
наст.,30
анс.,30
араб.,30
внеш.,29
информ.,29
визант.,28
связ.,28
февр.,28
апр.,28
коммерч.,28
букв.,28
внутр.,27
социалистич.,27
чл.-корр.,27
док-т,26
уник.,26
арх-ра,26
колл.,26
зал.,25
пер.,25
б-ца,25
строит.,25
соч.,25
первонач.,25
общ.,24
австрал.,23
уч.,23
башк.,23
одноим.,23
революц.,23
чечен.,22
урал.,22
докл.,22
опубл.,22
республ.,22
классич.,22
самостоят.,22
рев.,22
регион.,22
иностр.,21
филологич.,21
авт.,21
объед.,20
доп.,20
всесоюз.,20
район.,20
прилож.,20
кирп.,19
болг.,19
публ.,19
илл.,19
религ.,19
азиат.,19
венгер.,18
азерб.,18
индивид.,18
архитект.,18
географич.,18
стан.,18
хоз.,18
дис.,18
рец.,18
этнич.,17
альм.,17
искусств.,17
перc.,17
цв.,17
нидерл.,16
тов.,16
петерб.,16
издат.,16
всерос.,16
иллюстрир.,16
яросл.,16
торжеств.,16
ср.-век.,16
персон.,15
образоват.,15
уезд.,15
татар.,15
демокр.,15
просв.,15
т-во,15
публич.,15
благотворит.,15
псевд.,15
с.-петерб.,15
философ.,14
исслед.,14
производств.,14
трлн,14
эт.,14
краеведч.,14
клб,13
кавказ.,13
кап.,12
четв.,12
графич.,12
аналитич.,12
слав.,12
заключ.,11
норв.,11
правительств.,11
бельг.,11
эксперимент.,11
наб.,11
универс.,11
прикл.,11
позд.,11
качеств.,10
послед.,10
вспомогат.,10
археологич.,10
фактич.,10
км,10
крест.,10
печ.,10
потомств.,9
др.-рус.,9
наим.,9
централиз.,9
сканд.,9
комм.,8
заруб.,8
многочисл.,8
бюлл.,8
специализир.,8
провинц.,8
чуваш.,8
функц.,8
дипломатич.,7
фольк.,7
губ.,7
этнографич.,7
сост.,7
изобразит.,7
корр.,7
теоретич.,7
переим.,7
голл.,7
дол.,6
учрежд.,6
якут.,6
декор.,6
разл.,6
организац.,6
справоч.,6
преп.,6
метал.,6
сохр.,6
стекл.,6
языч.,6
флам.,6
яз-знание,5
предисл.,5
будд.,5
пгр.,5
скульпт.,5
загран.,5
пожизн.,5
синод.,4
мрам.,4
бульв.,4
систематич.,4
органич.,4
эмоц.,4
фундамент.,4
старообрядч.,4
прим.,4
ингуш.,4
пластич.,4
полиграф.,4
идеологич.,4
экологич.,3
редакц.,3
звук.,3
квалифицир.,3
стилистич.,3
княж.,3
коллекц.,3
монумент.,3
бум.,3
методич.,3
количеств.,3
ведомств.,3
преим.,3
эволюц.,3
эксп.,3
эстетич.,3
периодич.,3
наруж.,3
синтетич.,2
реорганиз.,2
осет.,2
подмоск.,2
догматич.,2
см.,2
нумизматич.,2
керамич.,2
мифол.,2
монг.,2
мордов.,2
орнамент.,2
фотогр.,2
библ.,2
купеч.,2
испр.,2
типологич.,2
тематич.,2
епарх.,2
чугун.,1
реконстр.,1
социологич.,1
abbreviation,1
аристократич.,1
невостреб.,1
прижизн.,1
национализ.,1
классицистич.,1
зап.-европ.,1
археогр.,1
