"Компания инвестировала 181000$ на внедрение нового подхода к управлению проектами для повышения результативности.","Компания инвестировала 181000 долларов на внедрение нового подхода к управлению проектами для повышения результативности."
"На модернизацию сельскохозяйственного оборудования выделено 1,5 млн $, что позволит увеличить урожайность.","На модернизацию сельскохозяйственного оборудования выделено 1,5 миллиона долларов, что позволит увеличить урожайность."
"Компания инвестировала 30000$ на повышение уровня безопасности в складских помещениях.","Компания инвестировала 30000 долларов на повышение уровня безопасности в складских помещениях."
"Мы выделили 279000$ на организацию нового международного проекта для улучшения имиджа компании.","Мы выделили 279000 долларов на организацию нового международного проекта для улучшения имиджа компании."
"Компания потратила 30000$ на разработку новых сервисов для улучшения клиентского опыта.","Компания потратила 30000 долларов на разработку новых сервисов для улучшения клиентского опыта."
"Мы вложили 22000$ в исследование новых рынков для расширения географии продаж.","Мы вложили 22000 долларов в исследование новых рынков для расширения географии продаж."
"Для создания новых торговых точек в разных странах было выделено 178000$ на организацию точек продаж.","Для создания новых торговых точек в разных странах было выделено 178000 долларов на организацию точек продаж."
"Стоимость обновления технологической линии составила 240000$, включая установку новых станков.","Стоимость обновления технологической линии составила 240000 долларов, включая установку новых станков."
"Мы оплатили 8 600$ за установку автоматизированной системы безопасности в офисе.","Мы оплатили 8 600 долларов за установку автоматизированной системы безопасности в офисе."
"Мы инвестировали 25000$ в организацию нового отдела для улучшения поддержки клиентов.","Мы инвестировали 25000 долларов в организацию нового отдела для улучшения поддержки клиентов."
"Я потратил 800$ на новые гаджеты для своего офиса, включая умный динамик.","Я потратил 800 долларов на новые гаджеты для своего офиса, включая умный динамик."
"Компания потратила 18000$ на создание инновационной рекламной кампании.","Компания потратила 18000 долларов на создание инновационной рекламной кампании."
"Компания инвестировала 27000$ в улучшение своей маркетинговой кампании для привлечения новых клиентов.","Компания инвестировала 27000 долларов в улучшение своей маркетинговой кампании для привлечения новых клиентов."
"За эксклюзивный контракт артист получил 2 млн $, что стало рекордной суммой для его жанра.","За эксклюзивный контракт артист получил 2 миллиона долларов, что стало рекордной суммой для его жанра."
"Вложив 500 000$ в модернизацию производства, компания повысила свою конкурентоспособность.","Вложив 500 000 долларов в модернизацию производства, компания повысила свою конкурентоспособность."
"Компания инвестировала 25000$ на обучение и развитие персонала для повышения производительности.","Компания инвестировала 25000 долларов на обучение и развитие персонала для повышения производительности."
"Компания выделила 20000$ на улучшение программного обеспечения для автоматизации работы.","Компания выделила 20000 долларов на улучшение программного обеспечения для автоматизации работы."
"Dropbox был признан одним из самых ценных стартапов в США и мире с оценкой более 10 миллиардов $ США.","Dropbox был признан одним из самых ценных стартапов в США и мире с оценкой более 10 миллиардов долларов США."
"Компания инвестировала 30000$ на создание инновационного программного обеспечения для оптимизации работы сотрудников.","Компания инвестировала 30000 долларов на создание инновационного программного обеспечения для оптимизации работы сотрудников."
"Разработка рекламной кампании обошлась в 45 000$, включая производство видеороликов.","Разработка рекламной кампании обошлась в 45 000 долларов, включая производство видеороликов."
"Стоимость участия в международной выставке составила 3 800$, что принесло новые контракты.","Стоимость участия в международной выставке составила 3 800 долларов, что принесло новые контракты."
"Компания выделила 148000$ на разработку нового логистического решения для повышения скорости доставки.","Компания выделила 148000 долларов на разработку нового логистического решения для повышения скорости доставки."
"Фильм также стал кассовым провалом, заработав 164 миллиона $ по всему миру при производственном бюджете в 160 миллионов $.","Фильм также стал кассовым провалом, заработав 164 миллиона долларов по всему миру при производственном бюджете в 160 миллионов долларов."
"Для увеличения объемов производства выделено 27000$ на приобретение новых станков.","Для увеличения объемов производства выделено 27000 долларов на приобретение новых станков."
"Мы инвестировали 22000$ в улучшение экологической устойчивости производства.","Мы инвестировали 22000 долларов в улучшение экологической устойчивости производства."
"Мы выделили 104000$ на создание нового исследовательского лабораторного комплекса.","Мы выделили 104000 долларов на создание нового исследовательского лабораторного комплекса."
"Мы выделили 22000$ на проведение семинаров для повышения квалификации менеджеров.","Мы выделили 22000 долларов на проведение семинаров для повышения квалификации менеджеров."
"Стоимость международной выставки составила 750 000$, включая аренду и декор.","Стоимость международной выставки составила 750 000 долларов, включая аренду и декор."
"Для внедрения новых технологий в производство было выделено 30000$, чтобы повысить качество продукции.","Для внедрения новых технологий в производство было выделено 30000 долларов, чтобы повысить качество продукции."
"Компания выделила 349000$ на организацию нового мероприятия для привлечения инвесторов.","Компания выделила 349000 долларов на организацию нового мероприятия для привлечения инвесторов."
"«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн $ США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название.","«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн долларов США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название."
"C бюджетом в 7 миллионов $ фильм набрал > 15 миллионов $.","C бюджетом в 7 миллионов долларов фильм набрал больше 15 миллионов долларов."
"Мы вложили 210000$ в открытие нового производственного подразделения на территории промышленного парка.","Мы вложили 210000 долларов в открытие нового производственного подразделения на территории промышленного парка."
"Мы потратили 22000$ на улучшение условий работы сотрудников и повышение их удовлетворенности.","Мы потратили 22000 долларов на улучшение условий работы сотрудников и повышение их удовлетворенности."
"На развитие нового сервиса было потрачено 35000$, чтобы улучшить клиентский опыт.","На развитие нового сервиса было потрачено 35000 долларов, чтобы улучшить клиентский опыт."
"На обновление дизайна офиса было затрачено 36 000$, включая мебель и декор.","На обновление дизайна офиса было затрачено 36 000 долларов, включая мебель и декор."
"Мы инвестировали 27000$ в технологию для улучшения качества наших услуг и удовлетворенности клиентов.","Мы инвестировали 27000 долларов в технологию для улучшения качества наших услуг и удовлетворенности клиентов."
"На реализацию экологического проекта выделили 3 750,000$, чтобы сократить выбросы в атмосферу.","На реализацию экологического проекта выделили 3 750 000 долларов, чтобы сократить выбросы в атмосферу."
"На организацию корпоративных мероприятий было потрачено 25000$, чтобы укрепить командный дух.","На организацию корпоративных мероприятий было потрачено 25000 долларов, чтобы укрепить командный дух."
"Компания инвестировала 375000$ в покупку нового оборудования для производства высококачественных товаров.","Компания инвестировала 375000 долларов в покупку нового оборудования для производства высококачественных товаров."
"Мы заказали консультационные услуги за 3 500$, чтобы оптимизировать бизнес-процессы.","Мы заказали консультационные услуги за 3 500 долларов, чтобы оптимизировать бизнес-процессы."
"Мы потратили 30000$ на создание нового корпоративного тренинга для сотрудников.","Мы потратили 30000 долларов на создание нового корпоративного тренинга для сотрудников."
"Компания выделила 35000$ на организацию нового отдела для повышения производственных мощностей.","Компания выделила 35000 долларов на организацию нового отдела для повышения производственных мощностей."
"Компания выделила 24000$ на организацию нового центра обслуживания клиентов для улучшения качества сервиса.","Компания выделила 24000 долларов на организацию нового центра обслуживания клиентов для улучшения качества сервиса."
"Для улучшения качества обслуживания клиентов было выделено 30000$ на покупку новой техники.","Для улучшения качества обслуживания клиентов было выделено 30000 долларов на покупку новой техники."
"Компания потратила 30000$ на продвижение нового продукта на рынке.","Компания потратила 30000 долларов на продвижение нового продукта на рынке."
"Мы выделили 255000$ на разработку новых методов обслуживания клиентов для увеличения их лояльности.","Мы выделили 255000 долларов на разработку новых методов обслуживания клиентов для увеличения их лояльности."
"Мы потратили 15000$ на оптимизацию внутренней логистики для ускорения процессов.","Мы потратили 15000 долларов на оптимизацию внутренней логистики для ускорения процессов."
"Для создания новой платформы для аналитики данных было инвестировано 158000$ на разработку ПО.","Для создания новой платформы для аналитики данных было инвестировано 158000 долларов на разработку ПО."
"Стоимость внедрения системы управления проектами составила 45000$, включая обучение персонала.","Стоимость внедрения системы управления проектами составила 45000 долларов, включая обучение персонала."
"Мы вложили 15000$ в обучение специалистов по работе с клиентами в сфере IT.","Мы вложили 15000 долларов в обучение специалистов по работе с клиентами в сфере IT."
"Мы потратили 345000$ на запуск кампании по продвижению нового продукта на рынок.","Мы потратили 345000 долларов на запуск кампании по продвижению нового продукта на рынок."
"После окончания Техасской революции оригинал письма был доставлен семье Тревиса в Алабаму, а в 1893 году один из его потомков продал письмо штату Техас за 85 $.","После окончания Техасской революции оригинал письма был доставлен семье Тревиса в Алабаму, а в 1893 году один из его потомков продал письмо штату Техас за 85 долларов."
"Компания потратила 18000$ на улучшение системы безопасности и защиты данных.","Компания потратила 18000 долларов на улучшение системы безопасности и защиты данных."
"На обновление офисных помещений и улучшение рабочих условий для сотрудников выделили 15000$, включая дизайн интерьера.","На обновление офисных помещений и улучшение рабочих условий для сотрудников выделили 15000 долларов, включая дизайн интерьера."
"Билет на международную конференцию стоил 650$, включая доступ к закрытым сессиям.","Билет на международную конференцию стоил 650 долларов, включая доступ к закрытым сессиям."
"Компания инвестировала 25000$ на проведение тренингов по улучшению командной работы среди сотрудников.","Компания инвестировала 25000 долларов на проведение тренингов по улучшению командной работы среди сотрудников."
"Компания выделила 22000$ на проведение тренингов по эффективному управлению проектами.","Компания выделила 22000 долларов на проведение тренингов по эффективному управлению проектами."
"Компания инвестировала 45000$ на запуск нового рекламного проекта в цифровых каналах.","Компания инвестировала 45000 долларов на запуск нового рекламного проекта в цифровых каналах."
"Мы выделили 23000$ на проведение обучения для улучшения технических навыков сотрудников.","Мы выделили 23000 долларов на проведение обучения для улучшения технических навыков сотрудников."
"Мы вложили 30000$ в маркетинговую кампанию для продвижения нового продукта на рынке.","Мы вложили 30000 долларов в маркетинговую кампанию для продвижения нового продукта на рынке."
"Компания выделила 30000$ на улучшение работы с корпоративными клиентами через внедрение новых сервисов.","Компания выделила 30000 долларов на улучшение работы с корпоративными клиентами через внедрение новых сервисов."
"Для оптимизации финансовых процессов было выделено 35000$, чтобы улучшить внутреннюю отчетность.","Для оптимизации финансовых процессов было выделено 35000 долларов, чтобы улучшить внутреннюю отчетность."
"Для модернизации производства было выделено 20000$ на закупку нового оборудования.","Для модернизации производства было выделено 20000 долларов на закупку нового оборудования."
"Компания инвестировала 317000$ на закупку нового оборудования для улучшения качества обслуживания клиентов.","Компания инвестировала 317000 долларов на закупку нового оборудования для улучшения качества обслуживания клиентов."
"Компания инвестировала 30000$ в развитие новых продуктов и технологий.","Компания инвестировала 30000 долларов в развитие новых продуктов и технологий."
"Компания выделила 182000$ на создание нового центра инноваций.","Компания выделила 182000 долларов на создание нового центра инноваций."
"На закупку нового оборудования для отдела производства было потрачено 40000$, чтобы повысить качество продукции.","На закупку нового оборудования для отдела производства было потрачено 40000 долларов, чтобы повысить качество продукции."
"Стоимость ремонта офисного помещения составила 45 000$, включая замену мебели.","Стоимость ремонта офисного помещения составила 45 000 долларов, включая замену мебели."
"Мы приобрели партию новых автомобилей для компании за 3 750,000$, чтобы обновить автопарк.","Мы приобрели партию новых автомобилей для компании за 3 750 000 долларов, чтобы обновить автопарк."
"Компания потратила 35000$ на закупку новых машин для улучшения производственного процесса.","Компания потратила 35000 долларов на закупку новых машин для улучшения производственного процесса."
"Мы инвестировали 20000$ на создание нового рекламного контента для социальных сетей.","Мы инвестировали 20000 долларов на создание нового рекламного контента для социальных сетей."
"Мы потратили 22000$ на улучшение системы безопасности и защиты данных компании.","Мы потратили 22000 долларов на улучшение системы безопасности и защиты данных компании."
"На реализацию программы энергоэффективности выделили 310000$, включая установку новых котлов.","На реализацию программы энергоэффективности выделили 310000 долларов, включая установку новых котлов."
"21 ноября 2008 года фильм «Сумерки» вышел в прокат, он собрал более 393 миллионов $ США по всему миру.","21 ноября 2008 года фильм «Сумерки» вышел в прокат, он собрал более 393 миллионов долларов США по всему миру."
"Мы потратили 22000$ на улучшение системы контроля качества продукции на всех этапах производства.","Мы потратили 22000 долларов на улучшение системы контроля качества продукции на всех этапах производства."
"Мы инвестировали 83000$ на разработку новой маркетинговой стратегии для улучшения позиций на рынке.","Мы инвестировали 83000 долларов на разработку новой маркетинговой стратегии для улучшения позиций на рынке."
"Для улучшения финансовых процессов было выделено 27000$ на внедрение новых систем учета и отчетности.","Для улучшения финансовых процессов было выделено 27000 долларов на внедрение новых систем учета и отчетности."
"Мы оплатили 5600$ за корпоративный тренинг для сотрудников отдела продаж.","Мы оплатили 5600 долларов за корпоративный тренинг для сотрудников отдела продаж."
"Стоимость разработки и изготовления камеры составила 101 млн $ США.","Стоимость разработки и изготовления камеры составила 101 млн долларов США."
"На создание интерактивной выставки выделили 48000$, включая разработку программного обеспечения.","На создание интерактивной выставки выделили 48000 долларов, включая разработку программного обеспечения."
"Мы инвестировали 27000$ на повышение уровня безопасности для защиты данных наших клиентов.","Мы инвестировали 27000 долларов на повышение уровня безопасности для защиты данных наших клиентов."
"Текущая стоимость проекта составляет около 2 млн $, что выше изначально запланированного бюджета.", "Текущая стоимость проекта составляет около 2 млн долларов, что выше изначально запланированного бюджета."
"На запуск рекламной кампании в социальных сетях было потрачено 15000$, чтобы привлечь целевую аудиторию.","На запуск рекламной кампании в социальных сетях было потрачено 15000 долларов, чтобы привлечь целевую аудиторию."
"Для расширения производства было выделено 37000$ на закупку новых роботов.","Для расширения производства было выделено 37000 долларов на закупку новых роботов."
"По оценке Forbes личное состояние 1,3 млрд $ (2020 год)","По оценке Forbes личное состояние 1,3 млрд долларов (2020 год)"
"В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд $, уступив первое место бренду Tesla.","В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд долларов, уступив первое место бренду Tesla."
"Для повышения квалификации сотрудников было выделено 25000$ на курсы по лидерству и менеджменту.","Для повышения квалификации сотрудников было выделено 25000 долларов на курсы по лидерству и менеджменту."
"Компания инвестировала 233000$ в развитие нового филиала в Азиатском регионе.","Компания инвестировала 233000 долларов в развитие нового филиала в Азиатском регионе."
"Мы инвестировали 358000$ в покупку новых систем для повышения производительности на всех этапах работы.","Мы инвестировали 358000 долларов в покупку новых систем для повышения производительности на всех этапах работы."
"Компания инвестировала 50000$ в модернизацию своих производственных мощностей.","Компания инвестировала 50000 долларов в модернизацию своих производственных мощностей."
"Мы потратили 20000$ на исследование новых тенденций в нашем секторе для создания инновационных продуктов.","Мы потратили 20000 долларов на исследование новых тенденций в нашем секторе для создания инновационных продуктов."
"Мы инвестировали 27000$ в запуск нового маркетингового проекта для увеличения узнаваемости бренда.","Мы инвестировали 27000 долларов в запуск нового маркетингового проекта для увеличения узнаваемости бренда."
"Мы потратили 301000$ на создание нового отдела по разработке инновационных решений для рынка.","Мы потратили 301000 долларов на создание нового отдела по разработке инновационных решений для рынка."
"Для создания нового логистического хаба было выделено 35000$ для увеличения объемов поставок.","Для создания нового логистического хаба было выделено 35000 долларов для увеличения объемов поставок."
"Мы инвестировали 25000$ в покупку нового оборудования для ускорения производства.","Мы инвестировали 25000 долларов в покупку нового оборудования для ускорения производства."
"На покупку дорогостоящего медицинского оборудования затратили 1 800,000$, что помогло улучшить диагностику.","На покупку дорогостоящего медицинского оборудования затратили 1 800 000 долларов, что помогло улучшить диагностику."
"Ремонт офиса обошелся в 70 000$, что полностью преобразило пространство.","Ремонт офиса обошелся в 70 000 долларов, что полностью преобразило пространство."
"Мы вложили 670000$ в строительство нового офисного здания с открытыми пространствами.","Мы вложили 670000 долларов в строительство нового офисного здания с открытыми пространствами."
"Мы инвестировали 22000$ на улучшение маркетинговой стратегии и продвижение бренда на новых рынках.","Мы инвестировали 22000 долларов на улучшение маркетинговой стратегии и продвижение бренда на новых рынках."
"Стоимость проведения экологической акции составила 7800$, включая транспортные расходы.","Стоимость проведения экологической акции составила 7800 долларов, включая транспортные расходы."
"Компания инвестировала 25000$ в создание нового отдела по развитию и внедрению инноваций.","Компания инвестировала 25000 долларов в создание нового отдела по развитию и внедрению инноваций."
"В июне 2019 году — 4,8 миллиарда $.","В июне 2019 году — 4,8 миллиарда долларов."
"В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд $, уступив первое место бренду Tesla.","В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд долларов, уступив первое место бренду Tesla."
"Для расширения сети магазинов было выделено 30000$ на аренду новых торговых площадей.","Для расширения сети магазинов было выделено 30000 долларов на аренду новых торговых площадей."
"Для улучшения клиентской поддержки было выделено 20000$ на создание нового контакт-центра.","Для улучшения клиентской поддержки было выделено 20000 долларов на создание нового контакт-центра."
"Мы вложили 15000$ в автоматизацию процессов для повышения производительности.","Мы вложили 15000 долларов в автоматизацию процессов для повышения производительности."
"Компания инвестировала 30000$ на улучшение логистических процессов и сокращение сроков доставки.","Компания инвестировала 30000 долларов на улучшение логистических процессов и сокращение сроков доставки."
"12 мая 2016 года SanDisk была приобретена производителем жёстких дисков Western Digital за 19 млрд $ США.","12 мая 2016 года SanDisk была приобретена производителем жёстких дисков Western Digital за 19 млрд долларов США."
"Компания выделила 25000$ на исследование рынка перед запуском новой линейки продуктов.","Компания выделила 25000 долларов на исследование рынка перед запуском новой линейки продуктов."
"По данным издания Forbes, в списке богатейших бизнесменов России в 2021 году занимал 32-е место с состоянием 4,7 миллиарда $, в списке наиболее состоятельных людей мира — 608-е место.","По данным издания Forbes, в списке богатейших бизнесменов России в 2021 году занимал 32-е место с состоянием 4,7 миллиарда долларов, в списке наиболее состоятельных людей мира — 608-е место."
"На покупку новых компьютеров для офиса потратили 9 300$, что ускорило рабочие процессы.","На покупку новых компьютеров для офиса потратили 9 300 долларов, что ускорило рабочие процессы."
"Компания потратила 304000$ на модернизацию системы управления складами для улучшения логистики.","Компания потратила 304000 долларов на модернизацию системы управления складами для улучшения логистики."
"Компания выделила 25000$ на организацию нового отдела для улучшения клиентского сервиса.","Компания выделила 25000 долларов на организацию нового отдела для улучшения клиентского сервиса."
"Для создания нового подразделения выделено 155000$ на набор новых сотрудников и создание рабочих мест.","Для создания нового подразделения выделено 155000 долларов на набор новых сотрудников и создание рабочих мест."
"Мы потратили 25000$ на создание системы управления качеством для соблюдения международных стандартов.","Мы потратили 25000 долларов на создание системы управления качеством для соблюдения международных стандартов."
"Принглс (англ. Pringles) — ® пшенично-картофельных чипсов, производимых компанией Kellanova (до 5 апреля 2011 года — Procter & Gamble; в феврале 2012 года ведущий производитель продуктов питания в США компания Kellanova договорилась с Procter & Gamble о приобретении у неё бизнеса по производству чипсов Pringles за 2,7 миллиарда $).","Принглс (англ. Pringles) — торговая марка пшенично-картофельных чипсов, производимых компанией Kellanova (до 5 апреля 2011 года — Procter & Gamble; в феврале 2012 года ведущий производитель продуктов питания в США компания Kellanova договорилась с Procter & Gamble о приобретении у неё бизнеса по производству чипсов Pringles за 2,7 миллиарда долларов)."
"Для расширения производства было выделено 25000$, чтобы создать дополнительные рабочие места.","Для расширения производства было выделено 25000 долларов, чтобы создать дополнительные рабочие места."
"Компания потратила 18000$ на улучшение своих цифровых сервисов.","Компания потратила 18000 долларов на улучшение своих цифровых сервисов."
"Я вложил 2100$ в интенсивный курс программирования, чтобы повысить квалификацию.","Я вложил 2100 долларов в интенсивный курс программирования, чтобы повысить квалификацию."
"Для ускорения работы с клиентами было вложено 15000$ в создание чат-бота.","Для ускорения работы с клиентами было вложено 15000 долларов в создание чат-бота."
"Для создания нового центра обучения сотрудников было выделено 25000$ на закупку оборудования.","Для создания нового центра обучения сотрудников было выделено 25000 долларов на закупку оборудования."
"Стоимость установки новых систем кондиционирования составила 22000$, включая монтаж.","Стоимость установки новых систем кондиционирования составила 22000 долларов, включая монтаж."
"Разработка мобильной игры стоила 120 000$, и она стала хитом в своем жанре.","Разработка мобильной игры стоила 120 000 долларов, и она стала хитом в своем жанре."
"Мы инвестировали 149000$ на создание платформы для предоставления онлайн-услуг по консультациям.","Мы инвестировали 149000 долларов на создание платформы для предоставления онлайн-услуг по консультациям."
"Компания выиграла тендер на сумму 6 500,000$, что обеспечило стабильную работу на год.","Компания выиграла тендер на сумму 6 500 000 долларов, что обеспечило стабильную работу на год."
