question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"Farbrausch также известны включением № релиза (вида «fr-0#») в названия своих работ.","Farbrausch также известны включением номера релиза (вида «fr-0#») в названия своих работ.",0,0,0,0,1,0
"После победы Октябрьской революции Ленин непродолжительное время занимал вместе с Надеждой Крупской один из № гостиницы «Националь», однако вскоре супруги переехали в достаточно скромную пятикомнатную квартиру с одной спальней в Кремле (в официальной биографии Ленина она была указана, как «четырёхкомнатная квартира с кабинетом»), ставшую их основным местом жительства.","После победы Октябрьской революции Ленин непродолжительное время занимал вместе с Надеждой Крупской один из номеров гостиницы «Националь», однако вскоре супруги переехали в достаточно скромную пятикомнатную квартиру с одной спальней в Кремле (в официальной биографии Ленина она была указана, как «четырёхкомнатная квартира с кабинетом»), ставшую их основным местом жительства.",0,0,0,0,1,0
"Гадоли́ний (химический символ — Gd, от новолат. Gadolinium) — химический элемент 3-й группы (по устаревшей классификации — побочной подгруппы третьей группы, IIIB) шестого периода периодической системы химических элементов Д.И. Менделеева с атомным № 64.","Гадоли́ний (химический символ — Gd, от новолат. Gadolinium) — химический элемент 3-й группы (по устаревшей классификации — побочной подгруппы третьей группы, IIIB) шестого периода периодической системы химических элементов Д.И. Менделеева с атомным номером 64.",0,0,0,0,1,0
"«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн $ США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название.","«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн долларов США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название.",0,0,0,0,1,0
"Флаг утверждён 18 февраля 1998 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 230.","Флаг утверждён 18 февраля 1998 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 230.",0,0,0,0,1,0
"Флаг утверждён 30 июня 2009 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 5705.","Флаг утверждён 30 июня 2009 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 5705.",0,0,0,0,1,0
"Линзы (диоптрии) огней делятся на симметричные — огонь кругового излучения, полуасимметричные диоптрии — лучи преимущественно направлены в одну сторону под определённым углом к горизонту (обычно 3 °) и асимметричные линзы — лучи направлены преимущественно в две противоположные стороны под определёнными углами.","Линзы (диоптрии) огней делятся на симметричные — огонь кругового излучения, полуасимметричные диоптрии — лучи преимущественно направлены в одну сторону под определённым углом к горизонту (обычно 3 градуса) и асимметричные линзы — лучи направлены преимущественно в две противоположные стороны под определёнными углами.",0,0,0,0,1,0
"Данный герб утверждён 9 февраля 2005 года решением Новочебоксарского городского Собрания депутатов Чувашской Республики и 23 марта 2005 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 1799.","Данный герб утверждён 9 февраля 2005 года решением Новочебоксарского городского Собрания депутатов Чувашской Республики и 23 марта 2005 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 1799.",0,0,0,0,1,0
"В 1982 году «Селтикс» вывели из обращения № 10, под которым он играл.","В 1982 году «Селтикс» вывели из обращения номер 10, под которым он играл.",0,0,0,0,1,0
"Этот препарат является одним из самых дорогих лекарств, годовой курс лечения в США может обойтись более чем в 200 тысяч $.","Этот препарат является одним из самых дорогих лекарств, годовой курс лечения в США может обойтись более чем в 200 тысяч долларов.",0,0,0,0,1,0
"В 2021 году Ракова стала обвиняемой по делу о мошенничестве с госконтрактами и растрате 50 млн ₽.","В 2021 году Ракова стала обвиняемой по делу о мошенничестве с госконтрактами и растрате 50 млн рублей.",0,0,0,0,1,0
"На 31 декабря 2013 года в епархии Айзенштадта числилось 201.260 католиков (70,3 % от населения Бургенланда).","На 31 декабря 2013 года в епархии Айзенштадта числилось 201.260 католиков (70,3 процента от населения Бургенланда).",0,0,0,0,1,0
"Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона ₽, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.","Согласно распоряжению Правительства Российской Федерации вознаграждение за каждую золотую медаль для российских спортсменов составит 4 миллиона рублей, за серебряную — 2,5 млн, за бронзовую — 1,7 млн.",0,0,0,0,1,0
"«Мелодия» (фр. Mélodie de Gluck) — фортепианная пьеса итальянского композитора Джованни Сгамбати (1881), представляющая собой переложение «Танца блаженных духов» (фр. Danse des Esprits bienheureux), вставного балетного №, написанного Кристофом Виллибальдом Глюком для парижской редакции (1774) его оперы «Орфей и Эвридика».","«Мелодия» (фр. Mélodie de Gluck) — фортепианная пьеса итальянского композитора Джованни Сгамбати (1881), представляющая собой переложение «Танца блаженных духов» (фр. Danse des Esprits bienheureux), вставного балетного номера, написанного Кристофом Виллибальдом Глюком для парижской редакции (1774) его оперы «Орфей и Эвридика».",0,0,0,0,1,0
"Флаг утверждён 24 февраля 1995 года и 26 декабря 2002 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 1055.","Флаг утверждён 24 февраля 1995 года и 26 декабря 2002 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 1055.",0,0,0,0,1,0
"Значения IRE представляют собой относительное измерение (в %), так как видеосигнал может быть любой амплитудой.","Значения IRE представляют собой относительное измерение (в процентах), так как видеосигнал может быть любой амплитудой.",0,0,0,0,1,0
"«На цезарианцев и Цезаря» — условное название стихотворения римского поэта Гая Валерия Катулла, включённого в состав посмертного сборника («Книги Катулла Веронского») под № 54 и написанного предположительно в 55 или 54 году до н. э.","«На цезарианцев и Цезаря» — условное название стихотворения римского поэта Гая Валерия Катулла, включённого в состав посмертного сборника («Книги Катулла Веронского») под номером 54 и написанного предположительно в 55 или 54 году до н. э.",0,0,0,0,1,0
"Остров Пипса (англ. Pepys Island) — остров-призрак, который предположительно находился в 230 морских милях (260 обычных миль или 430 км) к северу от Фолклендских островов, на 47 ° южной широты.","Остров Пипса (англ. Pepys Island) — остров-призрак, который предположительно находился в 230 морских милях (260 обычных миль или 430 км) к северу от Фолклендских островов, на 47 градусе южной широты.",0,0,0,0,1,0
"По системе классификации сказочных сюжетов Аарне-Томпсона имеет № 465А «Красавица-жена» («Пойди туда, не знаю куда»): царский стрелок (папский егерь, бедный мужик) женится на чудесной красавице и искуснице; царь (барин) хочет овладеть ею и посылает мужа выполнить трудные поручения; жена стрелку помогает; намерение царя не сбывается.","По системе классификации сказочных сюжетов Аарне-Томпсона имеет номер 465А «Красавица-жена» («Пойди туда, не знаю куда»): царский стрелок (папский егерь, бедный мужик) женится на чудесной красавице и искуснице; царь (барин) хочет овладеть ею и посылает мужа выполнить трудные поручения; жена стрелку помогает; намерение царя не сбывается.",0,0,0,0,1,0
"Торговый $ США — монета, выпущенная для торговли с Китаем, так как в нём в отличие от других стран сохранялся серебряный стандарт.","Торговый доллар США — монета, выпущенная для торговли с Китаем, так как в нём в отличие от других стран сохранялся серебряный стандарт.",0,0,0,0,1,0
"Дом Вердеревского (также Дом Протопопова, Центральные №) — особняк в историческом центре Перми.","Дом Вердеревского (также Дом Протопопова, Центральные номера) — особняк в историческом центре Перми.",0,0,0,0,1,0
"Кастор измеряется в ° и представляет собой ∠ в продольной плоскости автомобиля между вертикальной линией и линией, проходящей через центры поворота колеса.","Кастор измеряется в градусах и представляет собой угол в продольной плоскости автомобиля между вертикальной линией и линией, проходящей через центры поворота колеса.",0,1,0,0,1,0
"В 2014 году клиенты Teosto собрал с пользователей около 52,3 млн €.","В 2014 году клиенты Teosto собрал с пользователей около 52,3 млн евро.",0,0,0,0,1,0
"Ныне действующий флаг утверждён 14 ноября 2008 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 4603.","Ныне действующий флаг утверждён 14 ноября 2008 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 4603.",0,0,0,0,1,0
"Результаты голосования были опубликованы в № 666 France Football 16 декабря 1958 года.","Результаты голосования были опубликованы в номере 666 France Football 16 декабря 1958 года.",0,0,0,0,1,0
"Артиллерийская батарея № 460 - бывшая советская береговая батарея на мысе Песоцкий нос в юго-западной части Ладожского озера времен ВОВ в районе деревни Кобона, Кировского района Ленинградской области.","Артиллерийская батарея номер 460 - бывшая советская береговая батарея на мысе Песоцкий нос в юго-западной части Ладожского озера времен ВОВ в районе деревни Кобона, Кировского района Ленинградской области.",0,0,0,0,1,0
"Кайносимметрия (др.-греч. καινός новый и симметрия) — термин обозначает орбитали новой симметрии, то есть нового их расположения в пространстве — такого явления, когда электронные орбитали в атомах химических элементов появляются впервые по мере увеличения атомного №, а именно орбитали 1s, 2p, 3d, 4f, 5g.","Кайносимметрия (др.-греч. καινός новый и симметрия) — термин обозначает орбитали новой симметрии, то есть нового их расположения в пространстве — такого явления, когда электронные орбитали в атомах химических элементов появляются впервые по мере увеличения атомного номера, а именно орбитали 1s, 2p, 3d, 4f, 5g.",0,0,0,0,1,0
"Жизнь группы была запечатлена очень подробно — показаны их выступления на концертах и на телевидении (в частности, выступление на шоу Эда Салливана, отмеченное рекордным количеством телезрителей), ответы на вопросы репортёров во время пресс-конференций, сцены в гостиничных №.","Жизнь группы была запечатлена очень подробно — показаны их выступления на концертах и на телевидении (в частности, выступление на шоу Эда Салливана, отмеченное рекордным количеством телезрителей), ответы на вопросы репортёров во время пресс-конференций, сцены в гостиничных номерах.",0,0,0,0,1,0
"Чемпионат Европы по футболу 2024 года (англ. 2024 UEFA European Football Championship или €-2024, UEFA Euro 2024 нем. 2024 UEFA-Fußball-Europameisterschaft) — 17-й розыгрыш чемпионата Европы по футболу, футбольного турнира, проводимого каждые четыре года среди национальных сборных, входящих в УЕФА.","Чемпионат Европы по футболу 2024 года (англ. 2024 UEFA European Football Championship или Евро-2024, UEFA Euro 2024 нем. 2024 UEFA-Fußball-Europameisterschaft) — 17-й розыгрыш чемпионата Европы по футболу, футбольного турнира, проводимого каждые четыре года среди национальных сборных, входящих в УЕФА.",0,0,0,0,1,0
"Чемпионом €-2024 стала сборная Испании, в заключительном матче победившая сборную Англии со счётом 2:1 в основное время.","Чемпионом Евро-2024 стала сборная Испании, в заключительном матче победившая сборную Англии со счётом 2:1 в основное время.",0,0,0,0,1,0
"В 1832 году композитор Жан-Мадлен Шнейцхоффер отталкивался от концертного № «Ведьмы» в исполнении автора при создании картины «Шабаш», открывающей II акт балета «Сильфида»:173.","В 1832 году композитор Жан-Мадлен Шнейцхоффер отталкивался от концертного номера «Ведьмы» в исполнении автора при создании картины «Шабаш», открывающей II акт балета «Сильфида»:173.",0,0,0,0,1,0
"Регистрационный избирательный № партии Бразилии — «12».","Регистрационный избирательный номер партии Бразилии — «12».",0,0,0,0,1,0
"Копе́йка (устаревшая форма копейная денга) — разменная монета России, Приднестровья, Белоруссии (1⁄100 ₽), Украины (1⁄100 ₴).","Копе́йка (устаревшая форма копейная денга) — разменная монета России, Приднестровья, Белоруссии (1⁄100 рубля), Украины (1⁄100 гривны).",0,0,0,0,2,0
"Укегту Махагургис-хан (1447—1465) — великий хан Монгольской империи из династии Северная ¥ (1454—1455), старший сын монгольского хана Тайсун-хана (Тохта-Буги).","Укегту Махагургис-хан (1447—1465) — великий хан Монгольской империи из династии Северная Юань (1454—1455), старший сын монгольского хана Тайсун-хана (Тохта-Буги).",0,0,0,0,1,0
"Эфиопский $, быр — ¤ Федерации Эфиопии и Эритреи в 1945—1962 годах, Эфиопии в 1962—1976 годах, а также Эритреи в период войны за независимость (1962—1976).","Эфиопский доллар, быр — денежная единица Федерации Эфиопии и Эритреи в 1945—1962 годах, Эфиопии в 1962—1976 годах, а также Эритреи в период войны за независимость (1962—1976).",0,0,0,0,1,1
"Третий студийный альбом Are You Gonna Go My Way (1993) превзошёл успех предшественника, возглавив чарты в Великобритании (где он до сих пор является единственным альбомом № один Кравица), а также в Канаде, Австралии и Швейцарии.","Третий студийный альбом Are You Gonna Go My Way (1993) превзошёл успех предшественника, возглавив чарты в Великобритании (где он до сих пор является единственным альбомом номер один Кравица), а также в Канаде, Австралии и Швейцарии.",0,0,0,0,1,0
"Выходит три раза в неделю количеством 150 № в год на русском языке.","Выходит три раза в неделю количеством 150 номеров в год на русском языке.",0,0,0,0,1,0
"Флаг утверждён 24 февраля 1995 года и 26 декабря 2002 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 1055.","Флаг утверждён 24 февраля 1995 года и 26 декабря 2002 года внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 1055.",0,0,0,0,1,0
"Флаг утверждён 25 июня 2008 года и внесён в Государственный геральдический регистр Российской Федерации под № 4253.","Флаг утверждён 25 июня 2008 года и внесён в Государственный геральдический регистр Российской Федерации под номером 4253.",0,0,0,0,1,0
"«Джой» (англ. Joey) — австралийский комедийный фильм 1997 года режиссёра ¥ Бэрри.","«Джой» (англ. Joey) — австралийский комедийный фильм 1997 года режиссёра Йена Бэрри.",0,0,0,0,1,0
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро.",0,0,0,0,1,0
"Здание Министерства сельского хозяйства и продовольствия Республики Беларусь — историческое здание середины XX века в Минске, памятник архитектуры (№ 713Г000072).","Здание Министерства сельского хозяйства и продовольствия Республики Беларусь — историческое здание середины XX века в Минске, памятник архитектуры (номер 713Г000072).",0,0,0,0,1,0
"Флаг утверждён 14 октября 1999 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 570.","Флаг утверждён 14 октября 1999 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 570.",0,0,0,0,1,0
"Премиальные выплаты за призовые места в Казахстане — самые высокие на Паралимпиаде-2018: за «золото» — 250 тысяч $, за «серебро» — 150 тысяч, за «бронзу» — 75 тысяч.","Премиальные выплаты за призовые места в Казахстане — самые высокие на Паралимпиаде-2018: за «золото» — 250 тысяч долларов, за «серебро» — 150 тысяч, за «бронзу» — 75 тысяч.",0,0,0,0,1,0
"На драфте НБА 1957 года под первым № клубом «Цинциннати Роялз» был выбран атакующий защитник Род Хандли из университета Западной Виргинии, однако сразу же был обменян в «Миннеаполис Лейкерс».","На драфте НБА 1957 года под первым номером клубом «Цинциннати Роялз» был выбран атакующий защитник Род Хандли из университета Западной Виргинии, однако сразу же был обменян в «Миннеаполис Лейкерс».",0,0,0,0,1,0
"Учился в Вене, ¥ и Лейпциге.","Учился в Вене, Йене и Лейпциге.",0,0,0,0,1,0
"Greed (с англ. — «Алчность») — американская азартная телеигра, выходившая на телеканале Fox с 4 ноября 1999 по 14 июля 2000, в которой команда из пяти человек боролась за приз в 2 миллиона $ США, отвечая на вопросы с несколькими вариантами ответов.","Greed (с англ. — «Алчность») — американская азартная телеигра, выходившая на телеканале Fox с 4 ноября 1999 по 14 июля 2000, в которой команда из пяти человек боролась за приз в 2 миллиона долларов США, отвечая на вопросы с несколькими вариантами ответов.",0,0,0,0,1,0
"Флаг утверждён 30 июня 2011 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 7117.","Флаг утверждён 30 июня 2011 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 7117.",0,0,0,0,1,0
"Песня «She’s Got It All» стала ведущим синглом альбома, а также первым синглом Чесни № один в чартах кантри-музыки Billboard.","Песня «She’s Got It All» стала ведущим синглом альбома, а также первым синглом Чесни номер один в чартах кантри-музыки Billboard.",0,0,0,0,1,0
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро.",0,0,0,0,1,0
"В 1957 году журнал Fortune назвал его самым богатым американцем, а в Книге рекордов Гиннесса за 1966 год он был признан самым богатым человеком в мире с состоянием в 1,2 млрд $ США.","В 1957 году журнал Fortune назвал его самым богатым американцем, а в Книге рекордов Гиннесса за 1966 год он был признан самым богатым человеком в мире с состоянием в 1,2 млрд долларов США.",0,0,0,0,1,0
"Эффекти́вность узла́ — остаточная прочность верёвки, каната, троса в узле от номинальной прочности, выраженная в %.","Эффекти́вность узла́ — остаточная прочность верёвки, каната, троса в узле от номинальной прочности, выраженная в процентах.",0,0,0,0,1,0
"На драфте НХЛ 1994 года был выбран в 1 раунде под общим 5 № командой «Хартфорд Уэйлерс».","На драфте НХЛ 1994 года был выбран в 1 раунде под общим 5 номером командой «Хартфорд Уэйлерс».",0,0,0,0,1,0
"Усадьба Пшездецких — историческое здание XVIII века в Минске, памятник архитектуры (№ 712Г000236).","Усадьба Пшездецких — историческое здание XVIII века в Минске, памятник архитектуры (номер 712Г000236).",0,0,0,0,1,0
"В январе 2011 года перешёл в английский «Ливерпуль» за 26,5 млн € (22,8 млн фунтов).","В январе 2011 года перешёл в английский «Ливерпуль» за 26,5 млн евро (22,8 млн фунтов).",0,0,0,0,1,0
"В июле 2014 года было объявлено о переходе форварда в испанскую «Барселону» за 81 млн €.","В июле 2014 года было объявлено о переходе форварда в испанскую «Барселону» за 81 млн евро.",0,0,0,0,1,0
"Бань или бан, устар. бани или бану (мн. бани; рум. ban/бан, мн. bani/бань) — разменная ¤ нижнедунайских княжеств с XVII века, а также современных республик Молдавия и Румыния.","Бань или бан, устар. бани или бану (мн. бани; рум. ban/бан, мн. bani/бань) — разменная денежная единица нижнедунайских княжеств с XVII века, а также современных республик Молдавия и Румыния.",0,0,0,0,0,1
"На драфте НХЛ 1995 года выбран в 5 раунде под общим 129 № командой «Колорадо Эвеланш».","На драфте НХЛ 1995 года выбран в 5 раунде под общим 129 номером командой «Колорадо Эвеланш».",0,0,0,0,1,0
"Радо́н (химический символ — Rn, от лат. Radon) — химический элемент 18-й группы (по устаревшей классификации — главной подгруппы восьмой группы, VIIIА) шестого периода периодической системы химических элементов Д. И. Менделеева с атомным № 86.","Радо́н (химический символ — Rn, от лат. Radon) — химический элемент 18-й группы (по устаревшей классификации — главной подгруппы восьмой группы, VIIIА) шестого периода периодической системы химических элементов Д. И. Менделеева с атомным номером 86.",0,0,0,0,1,0
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро.",0,0,0,0,1,0
"April (кор. 에이프릴; часто стилизуется как APRIL, произносится как Эйприл (Апрель) — южнокорейская гёрл-группа, сформированная в 2015 году компанией DSP Media Состоит из шести участниц: Чэкён, Чэвон, Наын, ¥, Рейчел и Джинсоль.","April (кор. 에이프릴; часто стилизуется как APRIL, произносится как Эйприл (Апрель) — южнокорейская гёрл-группа, сформированная в 2015 году компанией DSP Media Состоит из шести участниц: Чэкён, Чэвон, Наын, Йена, Рейчел и Джинсоль.",0,0,0,0,1,0
"Двигатели, используемые в автобусах Autosan, отвечают нормам €-5 и EEV.","Двигатели, используемые в автобусах Autosan, отвечают нормам Евро-5 и EEV.",0,0,0,0,1,0
