question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"Николай Гаврилович Нечипоренко (6 декабря 1896 — 26 мая 1975) — орудийный № 260-го гвардейского пушечного артиллерийского полка 17-й гвардейской Ленинградской пушечной артиллерийской бригады, 2-й Украинский фронт, гвардии красноармеец.","Николай Гаврилович Нечипоренко (6 декабря 1896 — 26 мая 1975) — орудийный номер 260-го гвардейского пушечного артиллерийского полка 17-й гвардейской Ленинградской пушечной артиллерийской бригады, 2-й Украинский фронт, гвардии красноармеец.",0,0,0,0,1,0
"«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн $ США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название.","«Форд Филд» был открыт в апреле 2002 года, а цена строительства составила 430 млн долларов США и финансировался в основном из общественных денег и денег, полученных от продажи прав на название.",0,0,0,0,1,0
"Флаг утверждён 27 мая 2011 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 6905.","Флаг утверждён 27 мая 2011 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 6905.",0,0,0,0,1,0
"В 2018 году бренд Mercedes-Benz оценивался в 48,601 млрд $, удерживая второе место (после Toyota) среди компаний-производителей автомобилей и восьмое место среди всех брендов мира.","В 2018 году бренд Mercedes-Benz оценивался в 48,601 млрд долларов, удерживая второе место (после Toyota) среди компаний-производителей автомобилей и восьмое место среди всех брендов мира.",0,0,0,0,1,0
"В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд $, уступив первое место бренду Tesla.","В январе 2023 года бренд Mercedes-Benz по оценке Brand Finance среди автобрендов занял второе место, оцениваясь в 58,8 млрд долларов, уступив первое место бренду Tesla.",0,0,0,0,1,0
"Флаг утверждён 19 февраля 2009 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 4766.","Флаг утверждён 19 февраля 2009 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 4766.",0,0,0,0,1,0
"Обозначения Флемстида подобны обозначениям Байера, однако вместо греческих букв используются №.","Обозначения Флемстида подобны обозначениям Байера, однако вместо греческих букв используются номера.",0,0,0,0,1,0
"поддиапазонах «Б» и «В» – только на ФЧ, имеющих нечётные №.","поддиапазонах «Б» и «В» – только на ФЧ, имеющих нечётные номера.",0,0,0,0,1,0
"Флаг утверждён 14 ноября 2008 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 4513.","Флаг утверждён 14 ноября 2008 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 4513.",0,0,0,0,1,0
"Учреждена в 1959 году в размере 15 000 ₽ (после денежной реформы 1961 года — 1500 ₽).","Учреждена в 1959 году в размере 15 000 рублей (после денежной реформы 1961 года — 1500 рублей).",0,0,0,0,2,0
"Ганский фунт (англ. Ghanaian pound) — ¤ Ганы в 1958—1965 годах.","Ганский фунт (англ. Ghanaian pound) — денежная единица Ганы в 1958—1965 годах.",0,0,0,0,0,1
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро.",0,0,0,0,1,0
