"Причиной заболевания и смерти Смайли стало переохлаждение: в городе проводилась кампания по снижению затрат, и в целях экономии энергии температура в аквариуме морского музея была понижена с 27 °C до 22.","Причиной заболевания и смерти Смайли стало переохлаждение: в городе проводилась кампания по снижению затрат, и в целях экономии энергии температура в аквариуме морского музея была понижена с 27 градусов цельсия до 22."
"Скорость течения реки составляла 1,2 м/с, ее средняя температура 10,2 °C.","Скорость течения реки составляла 1,2 м/с, ее средняя температура 10,2 градусов цельсия."
"Жёсткость погоды по ветро-холодовому индексу рассчитывается следующим образом: к температуре воздуха в °C прибавляется скорость ветра, помноженная на коэффициент жёсткости.","Жёсткость погоды по ветро-холодовому индексу рассчитывается следующим образом: к температуре воздуха в градусах цельсия прибавляется скорость ветра, помноженная на коэффициент жёсткости."
"Климат в Аззане сухой, зависит от пустыни, с очень высокими летними температурами близки к достижению 50 °C.","Климат в Аззане сухой, зависит от пустыни, с очень высокими летними температурами близки к достижению 50 градусов цельсия."
"Температура в комнате достигла 25°C, что является комфортной для большинства людей.","Температура в комнате достигла 25 градусов Цельсия, что является комфортной для большинства людей."
"Для работы реактора требуется поддерживать температуру на уровне 300°C.","Для работы реактора требуется поддерживать температуру на уровне 300 градусов Цельсия."
"Вода закипает при 100°C, что является ключевым этапом в процессе дистилляции.","Вода закипает при 100 градусах Цельсия, что является ключевым этапом в процессе дистилляции."
"Сегодня на улице температура колебалась от -5°C до 3°C.","Сегодня на улице температура колебалась от минус 5 градусов Цельсия до 3 градусов Цельсия."
"Для этой химической реакции требуется температура выше 150°C.","Для этой химической реакции требуется температура выше 150 градусов Цельсия."
"Температура на улице опустилась до -15°C, что заставило жителей надеть теплую одежду.","Температура на улице опустилась до минус 15 градусов Цельсия, что заставило жителей надеть теплую одежду."
"Вода в реке остыла до 12°C, поэтому купаться стало холодно.","Вода в реке остыла до 12 градусов Цельсия, поэтому купаться стало холодно."
"При 37°C в организме поддерживаются оптимальные условия для функционирования органов.","При 37 градусах Цельсия в организме поддерживаются оптимальные условия для функционирования органов."
"Если температура поднимется до 38°C, работа устройства будет нестабильной.","Если температура поднимется до 38 градусов Цельсия, работа устройства будет нестабильной."
"Продукция должна храниться при 5-8°C, чтобы сохранить свежесть.","Продукция должна храниться при 5-8 градусах Цельсия, чтобы сохранить свежесть."
"Реакция запускается только при нагреве до 200°C.","Реакция запускается только при нагреве до 200 градусов Цельсия."
"Летом температура почвы достигала 45°C, что делало её раскалённой на ощупь.","Летом температура почвы достигала 45 градусов Цельсия, что делало её раскалённой на ощупь."
"При температуре свыше 1000°C металл начинает плавиться.","При температуре свыше 1000 градусов Цельсия металл начинает плавиться."
"Температура в помещении варьируется от 15 до 25°C, что комфортно для большинства сотрудников.","Температура в помещении варьируется от 15 до 25 градусов Цельсия, что комфортно для большинства сотрудников."
"Чтобы приступить к испытаниям, прибор нагрели до 400°C.","Чтобы приступить к испытаниям, прибор нагрели до 400 градусов Цельсия."
"Температура повышается до 50°C, что может привести к повреждению поверхности.","Температура повышается до 50 градусов Цельсия, что может привести к повреждению поверхности."
"Вода начинает замерзать при 0°C.","Вода начинает замерзать при нуле градусов Цельсия."
"Тепловая обработка происходит при температуре свыше 80°C.","Тепловая обработка происходит при температуре свыше 80 градусов Цельсия."
"В зимние месяцы температура может достигать -30°C.","В зимние месяцы температура может достигать минус 30 градусов Цельсия."
"Сохранение продуктов при температуре 4-6°C помогает предотвратить их порчу.","Сохранение продуктов при температуре 4-6 градусов Цельсия помогает предотвратить их порчу."
"Температура воздуха в горах опускалась до -20°C, и туристам пришлось утеплиться.","Температура воздуха в горах опускалась до минус 20 градусов Цельсия, и туристам пришлось утеплиться."
"Процесс варки требует постоянной температуры около 100°C.","Процесс варки требует постоянной температуры около 100 градусов Цельсия."
"Температура в помещении контролируется в пределах 20-23°C, что идеально для оборудования.","Температура в помещении контролируется в пределах 20-23 градусов Цельсия, что идеально для оборудования."
"Во время эксперимента вещество нагрелось до 250°C, вызвав реакцию.","Во время эксперимента вещество нагрелось до 250 градусов Цельсия, вызвав реакцию."
"Температура окружающей среды варьировалась от -5 до 15°C в течение дня.","Температура окружающей среды варьировалась от минус 5 до 15 градусов Цельсия в течение дня."
"Для полного разложения органического материала необходимо поддерживать температуру около 200°C в течение двух часов.","Для полного разложения органического материала необходимо поддерживать температуру около 200 градусов Цельсия в течение двух часов."
"Хранение вакцины должно проходить при строгом соблюдении температуры от 2 до 8°C, иначе препарат может потерять эффективность.","Хранение вакцины должно проходить при строгом соблюдении температуры от 2 до 8 градусов Цельсия, иначе препарат может потерять эффективность."
"Экстремальные условия Арктики, где температура опускается ниже -50°C, требуют специального снаряжения для исследователей.","Экстремальные условия Арктики, где температура опускается ниже минус 50 градусов Цельсия, требуют специального снаряжения для исследователей."
"Для дезинфекции используется горячий пар, нагретый до 140°C, что уничтожает большинство бактерий.","Для дезинфекции используется горячий пар, нагретый до 140 градусов Цельсия, что уничтожает большинство бактерий."
"Исследования показали, что при температуре ниже -10°C клеточная активность резко падает.","Исследования показали, что при температуре ниже минус 10 градусов Цельсия клеточная активность резко падает."
"С целью повышения производительности установлено, что оптимальная температура для работы оборудования составляет 40°C.","С целью повышения производительности установлено, что оптимальная температура для работы оборудования составляет 40 градусов Цельсия."
"Чтобы предотвратить порчу продуктов, они были заморожены до температуры -18°C, что позволило сохранить их свежесть.","Чтобы предотвратить порчу продуктов, они были заморожены до температуры минус 18 градусов Цельсия, что позволило сохранить их свежесть."
