"Сто % пожертвований используются, чтобы помочь нуждающимся; накладные расходы на администрирование оплачиваются из общих фондов церкви Святых последних дней.","Сто процентов пожертвований используются, чтобы помочь нуждающимся; накладные расходы на администрирование оплачиваются из общих фондов церкви Святых последних дней."
"По состоянию на февраль 2015 года около 54 миллионов пользователей (46,4 % из тех, у кого есть телевидение) получали Ovation.","По состоянию на февраль 2015 года около 54 миллионов пользователей (46,4 процента из тех, у кого есть телевидение) получали Ovation."
"Термин «% занятости рецепторов» (receptor occupancy) описывает % рецепторов, связавшихся с лигандом, от общего количества доступных рецепторов (вернее, их участков связывания).","Термин «процент занятости рецепторов» (receptor occupancy) описывает процент рецепторов, связавшихся с лигандом, от общего количества доступных рецепторов (вернее, их участков связывания)."
"Ввиду своего исключительного значения для христианства (согласно вероучению абсолютного большинства христианских конфессий Иерусалим — место распятия, смерти и воскресения Иисуса Христа), город, несмотря на не слишком большой % христианского населения в настоящее время, продолжает оставаться местом массового паломничества верующих со всего мира.","Ввиду своего исключительного значения для христианства (согласно вероучению абсолютного большинства христианских конфессий Иерусалим — место распятия, смерти и воскресения Иисуса Христа), город, несмотря на не слишком большой процент христианского населения в настоящее время, продолжает оставаться местом массового паломничества верующих со всего мира."
"% говорящих на испанском, несмотря на близость Венесуэлы и других испаноязычных стран, незначителен, но этот язык является первым иностранным: государственная кампания SAFFL (Spanish As the First Foreign Language — Испанский как первый иностранный язык), запущенная в 2005, предусматривает преподавание испанского в большинстве начальных школ и обучение ему не менее трети государственных чиновников страны.","Процент говорящих на испанском, несмотря на близость Венесуэлы и других испаноязычных стран, незначителен, но этот язык является первым иностранным: государственная кампания SAFFL (Spanish As the First Foreign Language — Испанский как первый иностранный язык), запущенная в 2005, предусматривает преподавание испанского в большинстве начальных школ и обучение ему не менее трети государственных чиновников страны."
"В настоящее время литейная сварка применяется редко, иногда — для исправления чугунных отливок, однако при этом высок % вероятности выпадения белого чугуна, по сравнению с другими видами сварки.","В настоящее время литейная сварка применяется редко, иногда — для исправления чугунных отливок, однако при этом высок процент вероятности выпадения белого чугуна, по сравнению с другими видами сварки."
"Коэффициент Джини является числом между 0 и 1 (или выражен в % - тогда это индекс), где нулю соответствует полное равенство (когда все имеют одинаковый доход), а единице — абсолютное неравенство (когда весь доход имеет один человек, а все остальные — нулевой).","Коэффициент Джини является числом между 0 и 1 (или выражен в процентах - тогда это индекс), где нулю соответствует полное равенство (когда все имеют одинаковый доход), а единице — абсолютное неравенство (когда весь доход имеет один человек, а все остальные — нулевой)."
"В фармакологии молярная активность (также употребляется термин «потентность», являющийся калькой с potency) — это числовая мера активности химического вещества или лекарства, выражаемая в терминах количества (дозы) вещества или его концентрации, требуемой для получения желаемого клинического или экспериментально-фармакологического эффекта определённой заданной интенсивности (эффект этот измеряется, например, по изменению под влиянием вещества или лекарства тех или иных физиологических или биохимических параметров в экспериментальной системе, или, в клинических испытаниях, измеряется как % пациентов, достигших заранее определённых первичных конечных точек исследования, например, достигших ремиссии).","В фармакологии молярная активность (также употребляется термин «потентность», являющийся калькой с potency) — это числовая мера активности химического вещества или лекарства, выражаемая в терминах количества (дозы) вещества или его концентрации, требуемой для получения желаемого клинического или экспериментально-фармакологического эффекта определённой заданной интенсивности (эффект этот измеряется, например, по изменению под влиянием вещества или лекарства тех или иных физиологических или биохимических параметров в экспериментальной системе, или, в клинических испытаниях, измеряется как процент пациентов, достигших заранее определённых первичных конечных точек исследования, например, достигших ремиссии)."
"Расходы Римской державы: 1) поддержка культа богов, постройка храмов, устройство жертвоприношений и т. п.; 2) сооружение и сохранение общественных зданий и дорог; в республиканское время на это шел определенный % дохода, императоры строили дороги и др. за счет фиска и трудом солдат; 3) с 406 года до н. э. — жалованье войску; во времена Полибия легионер получал 1200, центурион 2400, всадник 3600 асов ежегодно; при императорах легион стоил ежегодно 1566000 денариев.","Расходы Римской державы: 1) поддержка культа богов, постройка храмов, устройство жертвоприношений и т. п.; 2) сооружение и сохранение общественных зданий и дорог; в республиканское время на это шел определенный процент дохода, императоры строили дороги и др. за счет фиска и трудом солдат; 3) с 406 года до н. э. — жалованье войску; во времена Полибия легионер получал 1200, центурион 2400, всадник 3600 асов ежегодно; при императорах легион стоил ежегодно 1566000 денариев."
"Для привлечения клиентов банк предлагает вклад с повышенной процентной ставкой — 7%, что значительно выше среднерыночного уровня.", "Для привлечения клиентов банк предлагает вклад с повышенной процентной ставкой — 7 процентов, что значительно выше среднерыночного уровня."
"В этом году рост доходов компании составил 15%, что является отличным показателем в сравнении с прошлогодними результатами.", "В этом году рост доходов компании составил 15 процентов, что является отличным показателем в сравнении с прошлогодними результатами."
"Ставка по кредиту составляет 9%, что позволяет заемщикам более гибко планировать свои расходы на обслуживание долга.", "Ставка по кредиту составляет 9 процентов, что позволяет заемщикам более гибко планировать свои расходы на обслуживание долга."
"Их доходы за последний квартал увеличились на 5%, и это дает повод для оптимистичных прогнозов на будущее.", "Их доходы за последний квартал увеличились на 5 процентов, и это дает повод для оптимистичных прогнозов на будущее."
"Скидка на товары в период акции достигает 21%, что делает их покупку особенно выгодной.", "Скидка на товары в период акции достигает 21 процента, что делает их покупку особенно выгодной."
"По прогнозам аналитиков, инфляция в следующем году составит около 3%, что считается стабильным показателем для экономики страны.", "По прогнозам аналитиков, инфляция в следующем году составит около 3 процентов, что считается стабильным показателем для экономики страны."
