"В последние годы существования империи Хань город стал оплотом ¥ Шао.","В последние годы существования империи Хань город стал оплотом Юань Шао."
"Премьера состоялась 22 мая 1999 года в ¥.","Премьера состоялась 22 мая 1999 года в Йене."
"Цветноглазые (кит. упр. 色目人, пиньинь sèmùrén, полностью 各色名目之人) — обозначение людей разных национальностей как отдельной группы населения при династии ¥ со стороны монгольской администрации.","Цветноглазые (кит. упр. 色目人, пиньинь sèmùrén, полностью 各色名目之人) — обозначение людей разных национальностей как отдельной группы населения при династии Юань со стороны монгольской администрации."
"Юаньлинь ¥ (англ. Yuanling Yuan, кит. упр. 袁元凌, пиньинь Yuán Yuánlíng; род.","Юаньлинь Юань (англ. Yuanling Yuan, кит. упр. 袁元凌, пиньинь Yuán Yuánlíng; род."
"Иоганн Вольфганг Дёберейнер (нем. Johann Wolfgang Döbereiner; 13 декабря 1780, Хоф — 24 марта 1849, ¥) — немецкий химик.","Иоганн Вольфганг Дёберейнер (нем. Johann Wolfgang Döbereiner; 13 декабря 1780, Хоф — 24 марта 1849, Йена) — немецкий химик."
"Макс Вин (нем. Max Wien; 25 декабря 1866, Кёнигсберг, Пруссия — 22 февраля 1938, ¥, Германия) — немецкий физик, директор института физики Йенского университета имени Фридриха Шиллера.","Макс Вин (нем. Max Wien; 25 декабря 1866, Кёнигсберг, Пруссия — 22 февраля 1938, Йена, Германия) — немецкий физик, директор института физики Йенского университета имени Фридриха Шиллера."
"Элбэг Нигулэсугчи-хан (1361—1399) — великий хан Монгольского ханства (Северной ¥) (1394—1399), согласно Саган-Сэцэну младший брат и преемник монгольского Дзоригту-хана из рода Ариг-Буги.","Элбэг Нигулэсугчи-хан (1361—1399) — великий хан Монгольского ханства (Северной Юань) (1394—1399), согласно Саган-Сэцэну младший брат и преемник монгольского Дзоригту-хана из рода Ариг-Буги."
"«Карл Цейсс» — немецкий футбольный клуб из города ¥.","«Карл Цейсс» — немецкий футбольный клуб из города Йена."
"Йенская школа — группа деятелей романтического движения, оформившаяся в 1796 году в университетском городе ¥: братья Август Вильгельм и Фридрих Шлегели, Людвиг Тик, Новалис.","Йенская школа — группа деятелей романтического движения, оформившаяся в 1796 году в университетском городе Йена: братья Август Вильгельм и Фридрих Шлегели, Людвиг Тик, Новалис."
"Рейнгольд Траутман (нем. Reinhold Trautmann; 16 января 1883, Кёнигсберг — 4 октября 1951, ¥) — немецкий языковед, лингвист, русист, переводчик, педагог, профессор (с 1920), политик.","Рейнгольд Траутман (нем. Reinhold Trautmann; 16 января 1883, Кёнигсберг — 4 октября 1951, Йена) — немецкий языковед, лингвист, русист, переводчик, педагог, профессор (с 1920), политик."
"Оставшись сиротой, Минна воспитывалась в доме издателя Карла Эрнста Фридриха Фромана в ¥.","Оставшись сиротой, Минна воспитывалась в доме издателя Карла Эрнста Фридриха Фромана в Йене."
