"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Размер премии составляет 5 тысяч € и она вручается начиная с 2014 года один раз в два года выдающимся деятелям серболужицкой культуры и науки.","Размер премии составляет 5 тысяч евро и она вручается начиная с 2014 года один раз в два года выдающимся деятелям серболужицкой культуры и науки."
"Чемпионат Европы по футболу 2008 года, обычно называемый «€-2008», — 13-й по счёту футбольный турнир для европейских стран, проходящий раз в четыре года под эгидой УЕФА.","Чемпионат Европы по футболу 2008 года, обычно называемый «Евро-2008», — 13-й по счёту футбольный турнир для европейских стран, проходящий раз в четыре года под эгидой УЕФА."
"Банкноты € — банкноты валюты еврозоны (€).","Банкноты евро — банкноты валюты еврозоны (евро)."
"В настоящее время Золотой киноприз (фонд 500 000 €), Серебряный киноприз (425 000 €) и Бронзовый киноприз (375 000 €) присуждаются за три лучших художественных фильма в порядке убывания.","В настоящее время Золотой киноприз (фонд 500 000 евро), Серебряный киноприз (425 000 евро) и Бронзовый киноприз (375 000 евро) присуждаются за три лучших художественных фильма в порядке убывания."
"Ватикан как уникальное государство не участвует в большинстве проектов ЕС, но использует € в качестве валюты и выпускает собственные монеты €.","Ватикан как уникальное государство не участвует в большинстве проектов ЕС, но использует евро в качестве валюты и выпускает собственные монеты евро."
"Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2012 — вторая стадия высшей группы регионального турнира Кубка Федерации в €-африканской зоне.","Игры на выбывание группы I зоны Европа/Африка Кубка Федерации 2012 — вторая стадия высшей группы регионального турнира Кубка Федерации в евро-африканской зоне."
"Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда €.","Ожидалось, что организация и проведение Олимпиады обойдётся Франции в 8,3 миллиарда евро."
"Летом 2012 года фреску огородили, и церковь стала водить к ней экскурсии, взимая символическую плату в 3 €.","Летом 2012 года фреску огородили, и церковь стала водить к ней экскурсии, взимая символическую плату в 3 евро."
"Плата за вход на территорию парка, которая ранее варьировалась от 5 до 32 € с человека, в 2014 году отменена, а новинкой сезона стал аттракцион под названием «High Voltage».","Плата за вход на территорию парка, которая ранее варьировалась от 5 до 32 евро с человека, в 2014 году отменена, а новинкой сезона стал аттракцион под названием «High Voltage»."
"По состоянию на начало 2019 года объём находящихся в обращении обеспеченных облигаций по всему миру составлял 2 577 млрд €, в то время как крупнейшими рынками были Дания (406 млрд €), Германия (370 млрд €), Франция (321 млрд €) и Испания (232 млрд €).","По состоянию на начало 2019 года объём находящихся в обращении обеспеченных облигаций по всему миру составлял 2 577 млрд евро, в то время как крупнейшими рынками были Дания (406 млрд евро), Германия (370 млрд евро), Франция (321 млрд евро) и Испания (232 млрд евро)."
