question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"Μ-34 (по кодификации НАТО: Hermit — «Отшельник») — лёгкий многоцелевой вертолёт.","Ми-34 (по кодификации НАТО: Hermit — «Отшельник») — лёгкий многоцелевой вертолёт.",0,1,0,0,0,0
"∃ мнение, что эльфы и феи — одни и те же существа, однако, несмотря на часто встречающуюся схожесть описания, традиционные кельтские «эльфы» — sidhe — например, могли изображаться крылатыми, в отличие от фей, которые в кельтских мифах мало чем отличаются от обычных людей.","Существует мнение, что эльфы и феи — одни и те же существа, однако, несмотря на часто встречающуюся схожесть описания, традиционные кельтские «эльфы» — sidhe — например, могли изображаться крылатыми, в отличие от фей, которые в кельтских мифах мало чем отличаются от обычных людей.",0,1,0,0,0,0
"В скандинавской мифологии существовали два типа альвов: верхние (светлые) и нижние (тёмные, или свартальвы), причём последним в «Эддах» уделяется значительно > внимания.","В скандинавской мифологии существовали два типа альвов: верхние (светлые) и нижние (тёмные, или свартальвы), причём последним в «Эддах» уделяется значительно больше внимания.",0,1,0,0,0,0
question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"Епархия в Эгере ∈ к числу исторических епархий, создана около 1000 года королём Иштваном Святым в период христианизации Венгрии.","Епархия в Эгере принадлежит к числу исторических епархий, создана около 1000 года королём Иштваном Святым в период христианизации Венгрии.",0,1,0,0,0,0
"Первый этаж «Эксподонбасса» ∋ два зала: «зелёный» и «жёлтый».","Первый этаж «Эксподонбасса» содержит два зала: «зелёный» и «жёлтый».",0,1,0,0,0,0
"Джи́на Дже́рсон (англ. Gina Gerson, также До́рис А́йви, Doris Ivy; настоящее имя — Валенти́на Алексе́евна Лашке́ева; род. 17 мая 1991 года в Прокопьевске, Кемеровская область, РСФСР, СССР) — российская порноактриса и модель ν.","Джи́на Дже́рсон (англ. Gina Gerson, также До́рис А́йви, Doris Ivy; настоящее имя — Валенти́на Алексе́евна Лашке́ева; род. 17 мая 1991 года в Прокопьевске, Кемеровская область, РСФСР, СССР) — российская порноактриса и модель ню.",0,1,0,0,0,0
"17-я возду́шная а́рмия (17 ВА) — оперативное ∪ Военно-Воздушных сил Вооружённых сил СССР, сформированное во время Великой Отечественной войны.","17-я возду́шная а́рмия (17 ВА) — оперативное объединение Военно-Воздушных сил Вооружённых сил СССР, сформированное во время Великой Отечественной войны.",0,1,0,0,0,0
'Ричард Уэсли «Рич» Джонс (англ. Richard Wesley "Rich" Jones; родился 27 декабря 1946 года в Мемфисе, Теннесси, США) — американский профессиональный баскетболист, играл в Американской баскетбольной ассоциации, отыграв семь неполных из девяти сезонов её существования, + один сезон в Национальной баскетбольной ассоциации.','Ричард Уэсли «Рич» Джонс (англ. Richard Wesley "Rich" Jones; родился 27 декабря 1946 года в Мемфисе, Теннесси, США) — американский профессиональный баскетболист, играл в Американской баскетбольной ассоциации, отыграв семь неполных из девяти сезонов её существования, плюс один сезон в Национальной баскетбольной ассоциации.',0,1,0,0,0,0
"26 апреля 1937 года арестован и > двух лет находился под следствием.","26 апреля 1937 года арестован и больше двух лет находился под следствием.",0,1,0,0,0,0
